I (218245) mpu6050 stream: AX:-0.268 AY:0.106 AZ:-0.914 | GX:-1.115 GY:-2.824 GZ:0.260 | T:25.19 C
I (218255) mpu6050 stream: AX:-0.277 AY:0.110 AZ:-0.929 | GX:-1.618 GY:-2.321 GZ:0.290 | T:25.19 C
I (218265) mpu6050 stream: AX:-0.289 AY:0.111 AZ:-0.946 | GX:-1.511 GY:-1.099 GZ:0.397 | T:25.28 C
I (218275) mpu6050 stream: AX:-0.285 AY:0.111 AZ:-0.942 | GX:-0.702 GY:0.473 GZ:0.489 | T:25.24 C
I (218285) mpu6050 stream: AX:-0.278 AY:0.112 AZ:-0.928 | GX:-0.031 GY:1.221 GZ:0.214 | T:25.33 C
I (218295) mpu6050 stream: AX:-0.277 AY:0.104 AZ:-0.927 | GX:0.412 GY:1.740 GZ:0.229 | T:25.33 C
I (218305) mpu6050 stream: AX:-0.267 AY:0.108 AZ:-0.921 | GX:0.168 GY:2.092 GZ:0.137 | T:25.14 C
I (218315) mpu6050 stream: AX:-0.265 AY:0.108 AZ:-0.905 | GX:-0.321 GY:1.725 GZ:0.000 | T:25.14 C
I (218325) mpu6050 stream: AX:-0.262 AY:0.103 AZ:-0.905 | GX:-0.718 GY:0.962 GZ:-0.214 | T:25.14 C
I (218335) mpu6050 stream: AX:-0.263 AY:0.105 AZ:-0.913 | GX:-1.145 GY:0.656 GZ:-0.137 | T:25.24 C
I (218345) mpu6050 stream: AX:-0.267 AY:0.109 AZ:-0.919 | GX:-1.069 GY:0.855 GZ:-0.244 | T:25.24 C
I (218355) mpu6050 stream: AX:-0.260 AY:0.120 AZ:-0.920 | GX:-0.672 GY:0.763 GZ:-0.168 | T:25.24 C
I (218365) mpu6050 stream: AX:-0.264 AY:0.113 AZ:-0.929 | GX:-0.305 GY:1.038 GZ:-0.061 | T:25.14 C
I (218375) mpu6050 stream: AX:-0.269 AY:0.111 AZ:-0.913 | GX:-0.458 GY:1.481 GZ:0.137 | T:25.24 C
I (218385) mpu6050 stream: AX:-0.262 AY:0.116 AZ:-0.921 | GX:-0.519 GY:1.328 GZ:0.366 | T:25.24 C
I (218395) mpu6050 stream: AX:-0.259 AY:0.114 AZ:-0.915 | GX:-0.427 GY:0.855 GZ:0.473 | T:25.33 C
I (218405) mpu6050 stream: AX:-0.260 AY:0.118 AZ:-0.908 | GX:0.229 GY:0.595 GZ:0.824 | T:25.33 C
I (218415) mpu6050 stream: AX:-0.263 AY:0.110 AZ:-0.904 | GX:0.901 GY:0.061 GZ:0.626 | T:25.24 C
I (218425) mpu6050 stream: AX:-0.259 AY:0.111 AZ:-0.916 | GX:1.145 GY:-0.275 GZ:0.855 | T:25.24 C
I (218435) mpu6050 stream: AX:-0.265 AY:0.111 AZ:-0.920 | GX:0.321 GY:-0.092 GZ:0.779 | T:25.24 C
I (218445) mpu6050 stream: AX:-0.275 AY:0.108 AZ:-0.921 | GX:-0.626 GY:0.168 GZ:0.977 | T:25.14 C
I (218455) mpu6050 stream: AX:-0.266 AY:0.115 AZ:-0.913 | GX:-0.947 GY:0.321 GZ:0.947 | T:25.24 C
I (218465) mpu6050 stream: AX:-0.269 AY:0.114 AZ:-0.917 | GX:-0.473 GY:0.183 GZ:1.053 | T:25.33 C
I (218475) mpu6050 stream: AX:-0.268 AY:0.110 AZ:-0.918 | GX:0.260 GY:0.427 GZ:1.160 | T:25.14 C
I (218485) mpu6050 stream: AX:-0.266 AY:0.104 AZ:-0.910 | GX:0.519 GY:0.702 GZ:1.313 | T:25.24 C
I (218495) mpu6050 stream: AX:-0.262 AY:0.108 AZ:-0.911 | GX:0.366 GY:0.702 GZ:1.252 | T:25.14 C
I (218505) mpu6050 stream: AX:-0.255 AY:0.105 AZ:-0.900 | GX:-0.061 GY:-0.092 GZ:1.267 | T:25.24 C
I (218515) mpu6050 stream: AX:-0.261 AY:0.111 AZ:-0.908 | GX:-0.351 GY:-0.443 GZ:1.298 | T:25.14 C
I (218525) mpu6050 stream: AX:-0.263 AY:0.109 AZ:-0.917 | GX:-0.550 GY:-0.687 GZ:1.038 | T:25.24 C
I (218535) mpu6050 stream: AX:-0.270 AY:0.108 AZ:-0.927 | GX:-0.443 GY:-0.382 GZ:1.008 | T:25.24 C
I (218545) mpu6050 stream: AX:-0.266 AY:0.109 AZ:-0.920 | GX:-0.305 GY:-0.321 GZ:0.779 | T:25.14 C
I (218555) mpu6050 stream: AX:-0.272 AY:0.110 AZ:-0.916 | GX:-0.275 GY:0.229 GZ:0.641 | T:25.24 C
I (218565) mpu6050 stream: AX:-0.263 AY:0.108 AZ:-0.910 | GX:-0.015 GY:0.214 GZ:0.473 | T:25.14 C
I (218575) mpu6050 stream: AX:-0.269 AY:0.105 AZ:-0.909 | GX:-0.122 GY:0.015 GZ:0.550 | T:25.24 C
I (218585) mpu6050 stream: AX:-0.261 AY:0.105 AZ:-0.910 | GX:-0.443 GY:-0.168 GZ:0.458 | T:25.24 C
I (218595) mpu6050 stream: AX:-0.258 AY:0.107 AZ:-0.919 | GX:-0.702 GY:-0.534 GZ:0.229 | T:25.19 C
I (218605) mpu6050 stream: AX:-0.261 AY:0.105 AZ:-0.914 | GX:-1.069 GY:-0.397 GZ:0.290 | T:25.19 C
I (218615) mpu6050 stream: AX:-0.267 AY:0.105 AZ:-0.907 | GX:-1.328 GY:-0.473 GZ:0.198 | T:25.19 C
I (218625) mpu6050 stream: AX:-0.257 AY:0.111 AZ:-0.902 | GX:-1.695 GY:-0.779 GZ:0.061 | T:25.09 C
I (218635) mpu6050 stream: AX:-0.257 AY:0.118 AZ:-0.916 | GX:-1.466 GY:-1.573 GZ:0.000 | T:25.19 C
I (218645) mpu6050 stream: AX:-0.266 AY:0.124 AZ:-0.924 | GX:-1.023 GY:-2.076 GZ:-0.031 | T:25.19 C
I (218655) mpu6050 stream: AX:-0.271 AY:0.123 AZ:-0.934 | GX:-0.626 GY:-1.206 GZ:0.214 | T:25.19 C
I (218665) mpu6050 stream: AX:-0.271 AY:0.121 AZ:-0.936 | GX:0.290 GY:-0.458 GZ:0.473 | T:25.19 C
I (218675) mpu6050 stream: AX:-0.273 AY:0.115 AZ:-0.928 | GX:1.115 GY:0.489 GZ:0.824 | T:25.28 C
I (218685) mpu6050 stream: AX:-0.270 AY:0.110 AZ:-0.921 | GX:1.221 GY:0.687 GZ:0.718 | T:25.19 C
I (218695) mpu6050 stream: AX:-0.263 AY:0.113 AZ:-0.915 | GX:0.519 GY:0.748 GZ:0.611 | T:25.19 C
I (218705) mpu6050 stream: AX:-0.266 AY:0.111 AZ:-0.912 | GX:-0.229 GY:0.580 GZ:0.870 | T:25.28 C
I (218715) mpu6050 stream: AX:-0.264 AY:0.111 AZ:-0.906 | GX:-0.794 GY:0.260 GZ:0.916 | T:25.28 C
I (218725) mpu6050 stream: AX:-0.265 AY:0.111 AZ:-0.907 | GX:-0.916 GY:0.153 GZ:0.809 | T:25.28 C
I (218735) mpu6050 stream: AX:-0.266 AY:0.115 AZ:-0.910 | GX:-0.061 GY:-0.015 GZ:1.115 | T:25.09 C
I (218745) mpu6050 stream: AX:-0.275 AY:0.113 AZ:-0.923 | GX:0.672 GY:0.153 GZ:0.901 | T:25.28 C
I (218755) mpu6050 stream: AX:-0.274 AY:0.116 AZ:-0.928 | GX:0.992 GY:0.687 GZ:1.344 | T:25.28 C
I (218765) mpu6050 stream: AX:-0.275 AY:0.115 AZ:-0.925 | GX:1.053 GY:0.855 GZ:1.237 | T:25.28 C
I (218775) mpu6050 stream: AX:-0.271 AY:0.109 AZ:-0.921 | GX:0.901 GY:1.099 GZ:1.252 | T:25.19 C
I (218785) mpu6050 stream: AX:-0.270 AY:0.108 AZ:-0.926 | GX:0.382 GY:1.221 GZ:1.053 | T:25.19 C
I (218795) mpu6050 stream: AX:-0.263 AY:0.107 AZ:-0.920 | GX:0.366 GY:1.099 GZ:1.176 | T:25.19 C
I (218805) mpu6050 stream: AX:-0.264 AY:0.106 AZ:-0.920 | GX:0.427 GY:1.252 GZ:1.191 | T:25.28 C
I (218815) mpu6050 stream: AX:-0.264 AY:0.105 AZ:-0.913 | GX:0.382 GY:1.267 GZ:1.344 | T:25.19 C
I (218825) mpu6050 stream: AX:-0.260 AY:0.109 AZ:-0.910 | GX:0.366 GY:1.008 GZ:1.206 | T:25.28 C
I (218835) mpu6050 stream: AX:-0.264 AY:0.110 AZ:-0.908 | GX:0.519 GY:1.115 GZ:1.450 | T:25.28 C
I (218845) mpu6050 stream: AX:-0.261 AY:0.112 AZ:-0.924 | GX:0.366 GY:0.809 GZ:1.511 | T:25.28 C
I (218855) mpu6050 stream: AX:-0.266 AY:0.107 AZ:-0.913 | GX:0.489 GY:0.748 GZ:1.557 | T:25.19 C
I (218865) mpu6050 stream: AX:-0.266 AY:0.103 AZ:-0.916 | GX:0.473 GY:1.252 GZ:1.527 | T:25.28 C
I (218875) mpu6050 stream: AX:-0.263 AY:0.104 AZ:-0.924 | GX:0.748 GY:1.313 GZ:1.634 | T:25.14 C
I (218885) mpu6050 stream: AX:-0.264 AY:0.102 AZ:-0.916 | GX:0.641 GY:1.344 GZ:1.496 | T:25.28 C
I (218895) mpu6050 stream: AX:-0.265 AY:0.100 AZ:-0.921 | GX:0.565 GY:1.527 GZ:1.817 | T:25.24 C
I (218905) mpu6050 stream: AX:-0.266 AY:0.101 AZ:-0.917 | GX:0.427 GY:1.771 GZ:1.603 | T:25.24 C
I (218915) mpu6050 stream: AX:-0.254 AY:0.094 AZ:-0.917 | GX:0.015 GY:1.817 GZ:1.496 | T:25.33 C
I (218925) mpu6050 stream: AX:-0.256 AY:0.093 AZ:-0.914 | GX:-0.504 GY:1.389 GZ:1.435 | T:25.14 C
I (218935) mpu6050 stream: AX:-0.257 AY:0.097 AZ:-0.909 | GX:-0.611 GY:1.191 GZ:1.069 | T:25.24 C
I (218945) mpu6050 stream: AX:-0.258 AY:0.102 AZ:-0.922 | GX:-0.840 GY:0.824 GZ:0.962 | T:25.24 C
I (218955) mpu6050 stream: AX:-0.260 AY:0.104 AZ:-0.914 | GX:-0.809 GY:0.626 GZ:0.687 | T:25.24 C
I (218965) mpu6050 stream: AX:-0.264 AY:0.104 AZ:-0.929 | GX:-0.901 GY:0.718 GZ:0.580 | T:25.24 C
I (218975) mpu6050 stream: AX:-0.274 AY:0.107 AZ:-0.930 | GX:-0.702 GY:1.145 GZ:0.473 | T:25.33 C
I (218985) mpu6050 stream: AX:-0.274 AY:0.115 AZ:-0.924 | GX:-0.351 GY:1.618 GZ:0.229 | T:25.24 C
I (218995) mpu6050 stream: AX:-0.264 AY:0.114 AZ:-0.916 | GX:-0.046 GY:1.802 GZ:0.351 | T:25.24 C
I (219005) mpu6050 stream: AX:-0.259 AY:0.112 AZ:-0.918 | GX:0.244 GY:2.061 GZ:0.260 | T:25.24 C
I (219015) mpu6050 stream: AX:-0.257 AY:0.107 AZ:-0.926 | GX:0.061 GY:2.076 GZ:0.382 | T:25.24 C
I (219025) mpu6050 stream: AX:-0.262 AY:0.111 AZ:-0.913 | GX:-0.366 GY:1.481 GZ:0.153 | T:25.33 C
I (219035) mpu6050 stream: AX:-0.262 AY:0.106 AZ:-0.918 | GX:-0.626 GY:1.145 GZ:0.015 | T:25.24 C
I (219045) mpu6050 stream: AX:-0.261 AY:0.115 AZ:-0.920 | GX:-0.702 GY:0.824 GZ:0.305 | T:25.24 C
I (219055) mpu6050 stream: AX:-0.262 AY:0.115 AZ:-0.916 | GX:-0.443 GY:0.794 GZ:0.427 | T:25.24 C
I (219065) mpu6050 stream: AX:-0.259 AY:0.113 AZ:-0.921 | GX:0.015 GY:1.176 GZ:0.656 | T:25.14 C
I (219075) mpu6050 stream: AX:-0.257 AY:0.115 AZ:-0.917 | GX:0.366 GY:1.038 GZ:0.687 | T:25.24 C
I (219085) mpu6050 stream: AX:-0.259 AY:0.111 AZ:-0.912 | GX:0.244 GY:1.298 GZ:1.176 | T:25.24 C
I (219095) mpu6050 stream: AX:-0.258 AY:0.104 AZ:-0.912 | GX:0.061 GY:1.099 GZ:1.008 | T:25.33 C
I (219105) mpu6050 stream: AX:-0.253 AY:0.109 AZ:-0.914 | GX:-0.427 GY:1.115 GZ:0.947 | T:25.24 C
I (219115) mpu6050 stream: AX:-0.251 AY:0.105 AZ:-0.907 | GX:-0.611 GY:1.252 GZ:1.328 | T:25.24 C
I (219125) mpu6050 stream: AX:-0.247 AY:0.101 AZ:-0.907 | GX:-0.718 GY:0.718 GZ:1.053 | T:25.24 C
I (219135) mpu6050 stream: AX:-0.247 AY:0.098 AZ:-0.927 | GX:-1.053 GY:-0.183 GZ:0.794 | T:25.24 C
I (219145) mpu6050 stream: AX:-0.260 AY:0.103 AZ:-0.930 | GX:-1.420 GY:0.122 GZ:0.641 | T:25.14 C
I (219155) mpu6050 stream: AX:-0.261 AY:0.112 AZ:-0.932 | GX:-1.817 GY:0.794 GZ:0.840 | T:25.19 C
I (219165) mpu6050 stream: AX:-0.253 AY:0.116 AZ:-0.911 | GX:-0.840 GY:0.977 GZ:0.580 | T:25.28 C
I (219175) mpu6050 stream: AX:-0.255 AY:0.119 AZ:-0.922 | GX:0.489 GY:0.275 GZ:0.534 | T:25.19 C
I (219185) mpu6050 stream: AX:-0.252 AY:0.110 AZ:-0.911 | GX:1.496 GY:0.076 GZ:0.458 | T:25.19 C
I (219195) mpu6050 stream: AX:-0.250 AY:0.103 AZ:-0.906 | GX:1.710 GY:0.092 GZ:0.702 | T:25.19 C
I (219205) mpu6050 stream: AX:-0.255 AY:0.101 AZ:-0.908 | GX:0.977 GY:-0.763 GZ:0.748 | T:25.19 C
I (219215) mpu6050 stream: AX:-0.263 AY:0.106 AZ:-0.928 | GX:-0.198 GY:-0.427 GZ:0.779 | T:25.19 C
I (219225) mpu6050 stream: AX:-0.274 AY:0.107 AZ:-0.929 | GX:-0.992 GY:-0.046 GZ:0.870 | T:25.28 C
I (219235) mpu6050 stream: AX:-0.270 AY:0.112 AZ:-0.930 | GX:-0.885 GY:0.672 GZ:0.962 | T:25.19 C
I (219245) mpu6050 stream: AX:-0.269 AY:0.107 AZ:-0.924 | GX:-0.275 GY:1.099 GZ:1.145 | T:25.19 C
