I (224255) mpu6050 stream: AX:-0.204 AY:0.095 AZ:-0.951 | GX:0.656 GY:3.588 GZ:1.588 | T:25.24 C
I (224265) mpu6050 stream: AX:-0.205 AY:0.101 AZ:-0.958 | GX:1.008 GY:4.321 GZ:1.725 | T:25.24 C
I (224275) mpu6050 stream: AX:-0.193 AY:0.096 AZ:-0.942 | GX:1.450 GY:4.687 GZ:1.817 | T:25.14 C
I (224285) mpu6050 stream: AX:-0.187 AY:0.098 AZ:-0.928 | GX:1.511 GY:4.473 GZ:1.939 | T:25.24 C
I (224295) mpu6050 stream: AX:-0.181 AY:0.086 AZ:-0.915 | GX:1.389 GY:4.336 GZ:1.954 | T:25.24 C
I (224305) mpu6050 stream: AX:-0.181 AY:0.091 AZ:-0.923 | GX:0.885 GY:3.511 GZ:2.000 | T:25.24 C
I (224315) mpu6050 stream: AX:-0.183 AY:0.083 AZ:-0.926 | GX:0.931 GY:2.687 GZ:1.725 | T:25.24 C
I (224325) mpu6050 stream: AX:-0.184 AY:0.083 AZ:-0.932 | GX:0.427 GY:2.168 GZ:1.527 | T:25.24 C
I (224335) mpu6050 stream: AX:-0.187 AY:0.091 AZ:-0.936 | GX:0.076 GY:2.046 GZ:1.344 | T:25.24 C
I (224345) mpu6050 stream: AX:-0.186 AY:0.086 AZ:-0.947 | GX:-0.168 GY:2.321 GZ:1.008 | T:25.24 C
I (224355) mpu6050 stream: AX:-0.189 AY:0.079 AZ:-0.939 | GX:0.061 GY:2.366 GZ:0.855 | T:25.24 C
I (224365) mpu6050 stream: AX:-0.183 AY:0.085 AZ:-0.939 | GX:0.275 GY:2.260 GZ:0.656 | T:25.24 C
I (224375) mpu6050 stream: AX:-0.196 AY:0.088 AZ:-0.948 | GX:0.183 GY:2.214 GZ:0.626 | T:25.24 C
I (224385) mpu6050 stream: AX:-0.199 AY:0.090 AZ:-0.948 | GX:0.244 GY:2.702 GZ:0.748 | T:25.24 C
I (224395) mpu6050 stream: AX:-0.207 AY:0.091 AZ:-0.958 | GX:-0.168 GY:3.130 GZ:0.534 | T:25.24 C
I (224405) mpu6050 stream: AX:-0.212 AY:0.095 AZ:-0.965 | GX:-0.672 GY:4.305 GZ:0.534 | T:25.24 C
I (224415) mpu6050 stream: AX:-0.206 AY:0.098 AZ:-0.963 | GX:-0.244 GY:5.420 GZ:0.901 | T:25.24 C
I (224425) mpu6050 stream: AX:-0.202 AY:0.095 AZ:-0.961 | GX:0.565 GY:6.672 GZ:0.809 | T:25.24 C
I (224435) mpu6050 stream: AX:-0.196 AY:0.086 AZ:-0.948 | GX:1.496 GY:7.206 GZ:0.748 | T:25.24 C
I (224445) mpu6050 stream: AX:-0.190 AY:0.080 AZ:-0.930 | GX:1.405 GY:7.374 GZ:0.748 | T:25.24 C
I (224455) mpu6050 stream: AX:-0.172 AY:0.088 AZ:-0.931 | GX:0.672 GY:7.389 GZ:0.718 | T:25.24 C
I (224465) mpu6050 stream: AX:-0.166 AY:0.079 AZ:-0.935 | GX:-0.473 GY:6.931 GZ:0.489 | T:25.14 C
I (224475) mpu6050 stream: AX:-0.163 AY:0.080 AZ:-0.917 | GX:-1.496 GY:6.443 GZ:0.397 | T:25.24 C
I (224485) mpu6050 stream: AX:-0.149 AY:0.082 AZ:-0.922 | GX:-1.740 GY:5.389 GZ:0.183 | T:25.24 C
I (224495) mpu6050 stream: AX:-0.155 AY:0.084 AZ:-0.904 | GX:-1.282 GY:3.725 GZ:-0.076 | T:25.24 C
I (224505) mpu6050 stream: AX:-0.157 AY:0.094 AZ:-0.909 | GX:-0.565 GY:1.908 GZ:-0.061 | T:25.24 C
I (224515) mpu6050 stream: AX:-0.160 AY:0.090 AZ:-0.925 | GX:-0.779 GY:0.504 GZ:0.214 | T:25.24 C
I (224525) mpu6050 stream: AX:-0.166 AY:0.090 AZ:-0.932 | GX:-1.298 GY:-0.321 GZ:0.122 | T:25.24 C
I (224535) mpu6050 stream: AX:-0.161 AY:0.093 AZ:-0.931 | GX:-1.756 GY:-0.611 GZ:0.351 | T:25.24 C
I (224545) mpu6050 stream: AX:-0.156 AY:0.089 AZ:-0.939 | GX:-1.878 GY:-0.962 GZ:0.229 | T:25.24 C
I (224555) mpu6050 stream: AX:-0.166 AY:0.090 AZ:-0.942 | GX:-1.603 GY:-1.191 GZ:0.397 | T:25.19 C
I (224565) mpu6050 stream: AX:-0.167 AY:0.092 AZ:-0.945 | GX:-1.405 GY:-1.191 GZ:0.702 | T:25.19 C
I (224575) mpu6050 stream: AX:-0.165 AY:0.097 AZ:-0.935 | GX:-1.221 GY:-0.702 GZ:0.794 | T:25.28 C
I (224585) mpu6050 stream: AX:-0.171 AY:0.093 AZ:-0.935 | GX:-1.160 GY:-1.237 GZ:0.931 | T:25.28 C
I (224595) mpu6050 stream: AX:-0.181 AY:0.107 AZ:-0.947 | GX:-1.588 GY:-1.450 GZ:0.855 | T:25.28 C
I (224605) mpu6050 stream: AX:-0.180 AY:0.101 AZ:-0.947 | GX:-1.618 GY:-0.916 GZ:0.962 | T:25.28 C
