I (230275) mpu6050 stream: AX:-0.154 AY:0.096 AZ:-0.908 | GX:-0.916 GY:1.389 GZ:0.977 | T:25.38 C
I (230285) mpu6050 stream: AX:-0.168 AY:0.100 AZ:-0.916 | GX:-1.221 GY:0.351 GZ:0.656 | T:25.28 C
I (230295) mpu6050 stream: AX:-0.177 AY:0.101 AZ:-0.932 | GX:-1.481 GY:-0.244 GZ:0.290 | T:25.19 C
I (230305) mpu6050 stream: AX:-0.195 AY:0.094 AZ:-0.953 | GX:-1.725 GY:0.611 GZ:-0.076 | T:25.19 C
I (230315) mpu6050 stream: AX:-0.196 AY:0.105 AZ:-0.941 | GX:-1.221 GY:1.573 GZ:-0.366 | T:25.19 C
I (230325) mpu6050 stream: AX:-0.195 AY:0.107 AZ:-0.942 | GX:-0.244 GY:2.656 GZ:-0.595 | T:25.28 C
I (230335) mpu6050 stream: AX:-0.185 AY:0.105 AZ:-0.929 | GX:0.473 GY:2.550 GZ:-0.763 | T:25.19 C
I (230345) mpu6050 stream: AX:-0.182 AY:0.101 AZ:-0.928 | GX:0.641 GY:1.908 GZ:-0.794 | T:25.19 C
I (230355) mpu6050 stream: AX:-0.178 AY:0.101 AZ:-0.936 | GX:-0.107 GY:1.160 GZ:-1.160 | T:25.19 C
I (230365) mpu6050 stream: AX:-0.181 AY:0.112 AZ:-0.932 | GX:-0.992 GY:0.382 GZ:-1.069 | T:25.19 C
I (230375) mpu6050 stream: AX:-0.186 AY:0.110 AZ:-0.959 | GX:-1.588 GY:0.122 GZ:-1.145 | T:25.19 C
I (230385) mpu6050 stream: AX:-0.203 AY:0.116 AZ:-0.962 | GX:-1.481 GY:1.252 GZ:-1.053 | T:25.28 C
I (230395) mpu6050 stream: AX:-0.206 AY:0.111 AZ:-0.963 | GX:-0.519 GY:3.221 GZ:-0.595 | T:25.28 C
I (230405) mpu6050 stream: AX:-0.199 AY:0.116 AZ:-0.966 | GX:0.931 GY:4.412 GZ:-0.397 | T:25.19 C
I (230415) mpu6050 stream: AX:-0.188 AY:0.112 AZ:-0.945 | GX:1.664 GY:4.916 GZ:-0.168 | T:25.28 C
I (230425) mpu6050 stream: AX:-0.182 AY:0.107 AZ:-0.946 | GX:1.374 GY:4.855 GZ:0.046 | T:25.28 C
I (230435) mpu6050 stream: AX:-0.162 AY:0.105 AZ:-0.927 | GX:0.443 GY:4.412 GZ:0.183 | T:25.28 C
I (230445) mpu6050 stream: AX:-0.161 AY:0.100 AZ:-0.912 | GX:-0.519 GY:2.931 GZ:0.305 | T:25.28 C
I (230455) mpu6050 stream: AX:-0.161 AY:0.110 AZ:-0.896 | GX:-0.580 GY:1.420 GZ:0.244 | T:25.19 C
I (230465) mpu6050 stream: AX:-0.167 AY:0.109 AZ:-0.898 | GX:-0.321 GY:-0.351 GZ:0.550 | T:25.28 C
I (230475) mpu6050 stream: AX:-0.173 AY:0.104 AZ:-0.915 | GX:-0.092 GY:-1.863 GZ:0.519 | T:25.19 C
I (230485) mpu6050 stream: AX:-0.182 AY:0.104 AZ:-0.925 | GX:-0.275 GY:-2.748 GZ:0.656 | T:25.28 C
I (230495) mpu6050 stream: AX:-0.183 AY:0.111 AZ:-0.931 | GX:-1.099 GY:-2.656 GZ:0.702 | T:25.28 C
I (230505) mpu6050 stream: AX:-0.190 AY:0.104 AZ:-0.953 | GX:-1.634 GY:-2.412 GZ:0.748 | T:25.28 C
I (230515) mpu6050 stream: AX:-0.196 AY:0.110 AZ:-0.957 | GX:-1.756 GY:-1.573 GZ:0.931 | T:25.19 C
I (230525) mpu6050 stream: AX:-0.193 AY:0.119 AZ:-0.956 | GX:-1.023 GY:-0.366 GZ:1.023 | T:25.28 C
I (230535) mpu6050 stream: AX:-0.191 AY:0.120 AZ:-0.944 | GX:-0.046 GY:0.504 GZ:1.267 | T:25.19 C
I (230545) mpu6050 stream: AX:-0.190 AY:0.114 AZ:-0.934 | GX:0.702 GY:0.366 GZ:1.344 | T:25.28 C
I (230555) mpu6050 stream: AX:-0.180 AY:0.113 AZ:-0.931 | GX:0.855 GY:0.168 GZ:1.435 | T:25.24 C
I (230565) mpu6050 stream: AX:-0.179 AY:0.112 AZ:-0.924 | GX:0.305 GY:-0.229 GZ:1.603 | T:25.24 C
I (230575) mpu6050 stream: AX:-0.184 AY:0.111 AZ:-0.927 | GX:-0.198 GY:-0.840 GZ:1.099 | T:25.24 C
I (230585) mpu6050 stream: AX:-0.183 AY:0.107 AZ:-0.929 | GX:-0.550 GY:-1.374 GZ:0.977 | T:25.24 C
I (230595) mpu6050 stream: AX:-0.187 AY:0.108 AZ:-0.933 | GX:-0.473 GY:-1.298 GZ:0.748 | T:25.33 C
I (230605) mpu6050 stream: AX:-0.200 AY:0.120 AZ:-0.955 | GX:0.092 GY:-1.053 GZ:0.672 | T:25.24 C
I (230615) mpu6050 stream: AX:-0.201 AY:0.120 AZ:-0.957 | GX:0.702 GY:-0.305 GZ:0.641 | T:25.24 C
