I (310495) mpu6050 stream: AX:-0.134 AY:0.116 AZ:-0.944 | GX:-0.733 GY:0.061 GZ:-0.534 | T:25.24 C
I (310505) mpu6050 stream: AX:-0.139 AY:0.117 AZ:-0.942 | GX:-0.534 GY:0.092 GZ:-0.397 | T:25.33 C
I (310515) mpu6050 stream: AX:-0.137 AY:0.105 AZ:-0.941 | GX:-0.458 GY:-0.031 GZ:-0.366 | T:25.33 C
I (310525) mpu6050 stream: AX:-0.136 AY:0.106 AZ:-0.946 | GX:-0.443 GY:0.122 GZ:-0.580 | T:25.24 C
I (310535) mpu6050 stream: AX:-0.144 AY:0.115 AZ:-0.950 | GX:-0.504 GY:0.168 GZ:-0.290 | T:25.33 C
I (310545) mpu6050 stream: AX:-0.140 AY:0.115 AZ:-0.950 | GX:-0.824 GY:0.168 GZ:-0.183 | T:25.33 C
I (310555) mpu6050 stream: AX:-0.132 AY:0.115 AZ:-0.941 | GX:-0.840 GY:0.107 GZ:-0.382 | T:25.33 C
I (310565) mpu6050 stream: AX:-0.135 AY:0.115 AZ:-0.949 | GX:-0.473 GY:-0.031 GZ:-0.305 | T:25.24 C
I (310575) mpu6050 stream: AX:-0.142 AY:0.108 AZ:-0.950 | GX:-0.458 GY:-0.351 GZ:-0.382 | T:25.33 C
I (310585) mpu6050 stream: AX:-0.140 AY:0.116 AZ:-0.947 | GX:-0.427 GY:-0.092 GZ:-0.107 | T:25.14 C
I (310595) mpu6050 stream: AX:-0.135 AY:0.111 AZ:-0.937 | GX:-0.595 GY:-0.366 GZ:-0.382 | T:25.24 C
I (310605) mpu6050 stream: AX:-0.138 AY:0.112 AZ:-0.939 | GX:-0.534 GY:-0.489 GZ:-0.275 | T:25.24 C
I (310615) mpu6050 stream: AX:-0.138 AY:0.114 AZ:-0.951 | GX:-0.580 GY:-0.718 GZ:-0.290 | T:25.24 C
I (310625) mpu6050 stream: AX:-0.139 AY:0.115 AZ:-0.949 | GX:-0.244 GY:-0.290 GZ:-0.168 | T:25.33 C
I (310635) mpu6050 stream: AX:-0.146 AY:0.114 AZ:-0.946 | GX:-0.244 GY:0.244 GZ:-0.275 | T:25.24 C
I (310645) mpu6050 stream: AX:-0.139 AY:0.111 AZ:-0.948 | GX:0.107 GY:0.962 GZ:-0.137 | T:25.24 C
I (310655) mpu6050 stream: AX:-0.137 AY:0.114 AZ:-0.948 | GX:0.031 GY:0.595 GZ:-0.153 | T:25.33 C
I (310665) mpu6050 stream: AX:-0.137 AY:0.110 AZ:-0.946 | GX:-0.336 GY:0.809 GZ:0.092 | T:25.33 C
I (310675) mpu6050 stream: AX:-0.128 AY:0.114 AZ:-0.956 | GX:-1.084 GY:0.794 GZ:0.031 | T:25.24 C
I (310685) mpu6050 stream: AX:-0.137 AY:0.124 AZ:-0.951 | GX:-1.221 GY:1.344 GZ:0.321 | T:25.24 C
I (310695) mpu6050 stream: AX:-0.124 AY:0.123 AZ:-0.937 | GX:-0.550 GY:0.595 GZ:0.412 | T:25.24 C
I (310705) mpu6050 stream: AX:-0.121 AY:0.127 AZ:-0.933 | GX:0.504 GY:-0.443 GZ:0.534 | T:25.33 C
I (310715) mpu6050 stream: AX:-0.126 AY:0.115 AZ:-0.929 | GX:1.450 GY:-1.313 GZ:0.565 | T:25.33 C
I (310725) mpu6050 stream: AX:-0.132 AY:0.116 AZ:-0.939 | GX:1.466 GY:-1.466 GZ:0.809 | T:25.24 C
I (310735) mpu6050 stream: AX:-0.138 AY:0.114 AZ:-0.946 | GX:0.427 GY:-1.603 GZ:0.733 | T:25.24 C
I (310745) mpu6050 stream: AX:-0.145 AY:0.107 AZ:-0.954 | GX:-0.656 GY:-1.130 GZ:0.580 | T:25.19 C
I (310755) mpu6050 stream: AX:-0.146 AY:0.109 AZ:-0.940 | GX:-1.328 GY:-1.053 GZ:0.611 | T:25.28 C
I (310765) mpu6050 stream: AX:-0.146 AY:0.114 AZ:-0.945 | GX:-0.977 GY:-0.824 GZ:0.351 | T:25.28 C
I (310775) mpu6050 stream: AX:-0.146 AY:0.112 AZ:-0.951 | GX:-0.275 GY:-0.595 GZ:0.412 | T:25.28 C
I (310785) mpu6050 stream: AX:-0.150 AY:0.115 AZ:-0.944 | GX:0.443 GY:-0.229 GZ:0.458 | T:25.19 C
I (310795) mpu6050 stream: AX:-0.146 AY:0.113 AZ:-0.948 | GX:0.611 GY:-0.122 GZ:0.397 | T:25.28 C
I (310805) mpu6050 stream: AX:-0.146 AY:0.116 AZ:-0.945 | GX:0.489 GY:0.107 GZ:0.656 | T:25.28 C
I (310815) mpu6050 stream: AX:-0.143 AY:0.117 AZ:-0.945 | GX:0.198 GY:0.305 GZ:0.702 | T:25.19 C
I (310825) mpu6050 stream: AX:-0.137 AY:0.115 AZ:-0.937 | GX:0.137 GY:0.305 GZ:0.885 | T:25.28 C
I (310835) mpu6050 stream: AX:-0.139 AY:0.111 AZ:-0.940 | GX:-0.061 GY:0.229 GZ:1.023 | T:25.19 C
I (310845) mpu6050 stream: AX:-0.143 AY:0.117 AZ:-0.936 | GX:-0.107 GY:-0.198 GZ:0.947 | T:25.28 C
I (310855) mpu6050 stream: AX:-0.134 AY:0.118 AZ:-0.937 | GX:-0.351 GY:-0.412 GZ:1.115 | T:25.19 C
I (310865) mpu6050 stream: AX:-0.143 AY:0.111 AZ:-0.932 | GX:-0.565 GY:-0.412 GZ:0.947 | T:25.28 C
I (310875) mpu6050 stream: AX:-0.140 AY:0.116 AZ:-0.954 | GX:-0.305 GY:-0.412 GZ:0.947 | T:25.28 C
I (310885) mpu6050 stream: AX:-0.138 AY:0.117 AZ:-0.940 | GX:0.092 GY:-0.504 GZ:0.763 | T:25.38 C
I (310895) mpu6050 stream: AX:-0.138 AY:0.113 AZ:-0.950 | GX:0.351 GY:-0.901 GZ:0.718 | T:25.28 C
I (310905) mpu6050 stream: AX:-0.140 AY:0.110 AZ:-0.948 | GX:0.031 GY:-0.107 GZ:0.672 | T:25.19 C
I (310915) mpu6050 stream: AX:-0.150 AY:0.104 AZ:-0.955 | GX:-0.336 GY:0.275 GZ:0.550 | T:25.19 C
I (310925) mpu6050 stream: AX:-0.144 AY:0.112 AZ:-0.947 | GX:-0.672 GY:0.489 GZ:0.305 | T:25.28 C
I (310935) mpu6050 stream: AX:-0.137 AY:0.117 AZ:-0.942 | GX:-0.275 GY:0.443 GZ:0.397 | T:25.28 C
I (310945) mpu6050 stream: AX:-0.140 AY:0.116 AZ:-0.934 | GX:0.214 GY:0.305 GZ:0.153 | T:25.19 C
I (310955) mpu6050 stream: AX:-0.136 AY:0.117 AZ:-0.941 | GX:0.916 GY:0.122 GZ:0.443 | T:25.38 C
I (310965) mpu6050 stream: AX:-0.140 AY:0.118 AZ:-0.948 | GX:1.435 GY:0.031 GZ:0.412 | T:25.19 C
I (310975) mpu6050 stream: AX:-0.132 AY:0.105 AZ:-0.940 | GX:1.450 GY:0.122 GZ:0.321 | T:25.28 C
I (310985) mpu6050 stream: AX:-0.140 AY:0.105 AZ:-0.940 | GX:0.901 GY:-0.198 GZ:0.290 | T:25.19 C
I (310995) mpu6050 stream: AX:-0.133 AY:0.105 AZ:-0.942 | GX:0.198 GY:-0.244 GZ:0.366 | T:25.19 C
