I (316515) mpu6050 stream: AX:-0.135 AY:0.120 AZ:-0.956 | GX:0.229 GY:-0.153 GZ:0.641 | T:25.14 C
I (316525) mpu6050 stream: AX:-0.143 AY:0.121 AZ:-0.943 | GX:0.855 GY:0.321 GZ:0.870 | T:25.24 C
I (316535) mpu6050 stream: AX:-0.135 AY:0.118 AZ:-0.951 | GX:0.763 GY:0.519 GZ:0.763 | T:25.24 C
I (316545) mpu6050 stream: AX:-0.141 AY:0.114 AZ:-0.944 | GX:0.473 GY:0.779 GZ:0.840 | T:25.24 C
I (316555) mpu6050 stream: AX:-0.132 AY:0.118 AZ:-0.951 | GX:0.076 GY:0.687 GZ:0.840 | T:25.33 C
I (316565) mpu6050 stream: AX:-0.137 AY:0.124 AZ:-0.938 | GX:-0.229 GY:0.458 GZ:0.656 | T:25.24 C
I (316575) mpu6050 stream: AX:-0.135 AY:0.124 AZ:-0.943 | GX:-0.229 GY:0.351 GZ:0.565 | T:25.24 C
I (316585) mpu6050 stream: AX:-0.140 AY:0.125 AZ:-0.936 | GX:0.153 GY:0.214 GZ:0.779 | T:25.14 C
I (316595) mpu6050 stream: AX:-0.140 AY:0.125 AZ:-0.949 | GX:0.580 GY:0.473 GZ:0.901 | T:25.33 C
I (316605) mpu6050 stream: AX:-0.135 AY:0.121 AZ:-0.944 | GX:0.855 GY:0.611 GZ:1.099 | T:25.14 C
I (316615) mpu6050 stream: AX:-0.135 AY:0.119 AZ:-0.947 | GX:1.099 GY:0.702 GZ:1.435 | T:25.24 C
I (316625) mpu6050 stream: AX:-0.137 AY:0.117 AZ:-0.939 | GX:1.069 GY:0.351 GZ:1.252 | T:25.24 C
I (316635) mpu6050 stream: AX:-0.130 AY:0.123 AZ:-0.944 | GX:0.687 GY:0.794 GZ:1.511 | T:25.33 C
I (316645) mpu6050 stream: AX:-0.136 AY:0.119 AZ:-0.946 | GX:0.427 GY:0.397 GZ:1.374 | T:25.24 C
I (316655) mpu6050 stream: AX:-0.134 AY:0.115 AZ:-0.947 | GX:0.168 GY:0.031 GZ:1.389 | T:25.24 C
I (316665) mpu6050 stream: AX:-0.135 AY:0.119 AZ:-0.943 | GX:0.779 GY:0.168 GZ:1.450 | T:25.24 C
I (316675) mpu6050 stream: AX:-0.137 AY:0.121 AZ:-0.945 | GX:0.809 GY:0.321 GZ:1.481 | T:25.33 C
I (316685) mpu6050 stream: AX:-0.134 AY:0.117 AZ:-0.943 | GX:0.718 GY:0.229 GZ:1.405 | T:25.24 C
I (316695) mpu6050 stream: AX:-0.135 AY:0.107 AZ:-0.955 | GX:0.580 GY:0.305 GZ:1.420 | T:25.33 C
I (316705) mpu6050 stream: AX:-0.136 AY:0.117 AZ:-0.946 | GX:0.321 GY:0.626 GZ:1.466 | T:25.33 C
I (316715) mpu6050 stream: AX:-0.139 AY:0.114 AZ:-0.944 | GX:0.214 GY:0.702 GZ:1.282 | T:25.24 C
I (316725) mpu6050 stream: AX:-0.138 AY:0.116 AZ:-0.948 | GX:0.351 GY:0.840 GZ:1.481 | T:25.24 C
I (316735) mpu6050 stream: AX:-0.132 AY:0.116 AZ:-0.949 | GX:0.641 GY:1.145 GZ:1.252 | T:25.24 C
I (316745) mpu6050 stream: AX:-0.135 AY:0.111 AZ:-0.936 | GX:0.641 GY:1.237 GZ:1.145 | T:25.24 C
I (316755) mpu6050 stream: AX:-0.135 AY:0.116 AZ:-0.943 | GX:0.870 GY:1.252 GZ:1.099 | T:25.24 C
