I (334565) mpu6050 stream: AX:-0.143 AY:0.089 AZ:-0.942 | GX:0.183 GY:0.824 GZ:0.885 | T:25.14 C
I (334575) mpu6050 stream: AX:-0.152 AY:0.093 AZ:-0.946 | GX:0.031 GY:1.023 GZ:0.794 | T:25.14 C
I (334585) mpu6050 stream: AX:-0.152 AY:0.095 AZ:-0.950 | GX:-0.168 GY:0.977 GZ:0.656 | T:25.24 C
I (334595) mpu6050 stream: AX:-0.138 AY:0.101 AZ:-0.949 | GX:-0.473 GY:1.237 GZ:0.305 | T:25.24 C
I (334605) mpu6050 stream: AX:-0.138 AY:0.097 AZ:-0.949 | GX:-0.305 GY:1.511 GZ:0.229 | T:25.24 C
I (334615) mpu6050 stream: AX:-0.141 AY:0.092 AZ:-0.952 | GX:-0.458 GY:1.328 GZ:0.183 | T:25.24 C
I (334625) mpu6050 stream: AX:-0.147 AY:0.100 AZ:-0.954 | GX:-0.321 GY:1.420 GZ:-0.015 | T:25.33 C
I (334635) mpu6050 stream: AX:-0.138 AY:0.104 AZ:-0.949 | GX:-0.534 GY:1.573 GZ:-0.122 | T:25.24 C
I (334645) mpu6050 stream: AX:-0.139 AY:0.097 AZ:-0.941 | GX:-0.305 GY:1.008 GZ:-0.260 | T:25.05 C
I (334655) mpu6050 stream: AX:-0.137 AY:0.102 AZ:-0.936 | GX:-0.092 GY:0.809 GZ:-0.290 | T:25.24 C
I (334665) mpu6050 stream: AX:-0.133 AY:0.102 AZ:-0.933 | GX:-0.092 GY:0.656 GZ:-0.412 | T:25.24 C
I (334675) mpu6050 stream: AX:-0.135 AY:0.107 AZ:-0.940 | GX:-0.092 GY:0.366 GZ:-0.244 | T:25.24 C
I (334685) mpu6050 stream: AX:-0.132 AY:0.105 AZ:-0.945 | GX:-0.076 GY:-0.076 GZ:-0.275 | T:25.33 C
I (334695) mpu6050 stream: AX:-0.136 AY:0.102 AZ:-0.939 | GX:-0.076 GY:0.336 GZ:-0.260 | T:25.19 C
I (334705) mpu6050 stream: AX:-0.136 AY:0.098 AZ:-0.948 | GX:0.000 GY:0.153 GZ:-0.046 | T:25.19 C
I (334715) mpu6050 stream: AX:-0.135 AY:0.101 AZ:-0.943 | GX:-0.275 GY:0.168 GZ:-0.183 | T:25.28 C
I (334725) mpu6050 stream: AX:-0.143 AY:0.105 AZ:-0.948 | GX:-0.321 GY:0.031 GZ:-0.061 | T:25.28 C
I (334735) mpu6050 stream: AX:-0.139 AY:0.100 AZ:-0.948 | GX:-0.275 GY:0.473 GZ:0.137 | T:25.28 C
I (334745) mpu6050 stream: AX:-0.136 AY:0.102 AZ:-0.948 | GX:-0.305 GY:0.183 GZ:0.107 | T:25.19 C
I (334755) mpu6050 stream: AX:-0.134 AY:0.103 AZ:-0.943 | GX:-0.061 GY:0.290 GZ:0.229 | T:25.28 C
I (334765) mpu6050 stream: AX:-0.140 AY:0.104 AZ:-0.938 | GX:-0.092 GY:0.244 GZ:0.168 | T:25.28 C
I (334775) mpu6050 stream: AX:-0.139 AY:0.103 AZ:-0.935 | GX:-0.092 GY:0.031 GZ:0.336 | T:25.19 C
I (334785) mpu6050 stream: AX:-0.144 AY:0.102 AZ:-0.941 | GX:-0.137 GY:-0.336 GZ:0.351 | T:25.28 C
I (334795) mpu6050 stream: AX:-0.140 AY:0.100 AZ:-0.945 | GX:-0.122 GY:0.061 GZ:0.519 | T:25.38 C
I (334805) mpu6050 stream: AX:-0.142 AY:0.096 AZ:-0.944 | GX:-0.260 GY:-0.092 GZ:0.427 | T:25.28 C
I (334815) mpu6050 stream: AX:-0.142 AY:0.100 AZ:-0.962 | GX:-0.489 GY:0.107 GZ:0.427 | T:25.28 C
I (334825) mpu6050 stream: AX:-0.145 AY:0.096 AZ:-0.952 | GX:-0.275 GY:0.244 GZ:0.443 | T:25.09 C
I (334835) mpu6050 stream: AX:-0.136 AY:0.096 AZ:-0.947 | GX:-0.183 GY:0.351 GZ:0.580 | T:25.19 C
I (334845) mpu6050 stream: AX:-0.142 AY:0.097 AZ:-0.956 | GX:-0.031 GY:0.290 GZ:0.443 | T:25.19 C
I (334855) mpu6050 stream: AX:-0.138 AY:0.100 AZ:-0.958 | GX:-0.229 GY:0.382 GZ:0.427 | T:25.19 C
I (334865) mpu6050 stream: AX:-0.139 AY:0.101 AZ:-0.952 | GX:-0.550 GY:0.321 GZ:0.443 | T:25.19 C
I (334875) mpu6050 stream: AX:-0.138 AY:0.095 AZ:-0.955 | GX:-1.221 GY:0.687 GZ:0.260 | T:25.28 C
I (334885) mpu6050 stream: AX:-0.136 AY:0.101 AZ:-0.957 | GX:-1.405 GY:0.947 GZ:0.290 | T:25.19 C
I (334895) mpu6050 stream: AX:-0.132 AY:0.105 AZ:-0.947 | GX:-0.809 GY:0.901 GZ:0.275 | T:25.19 C
I (334905) mpu6050 stream: AX:-0.132 AY:0.103 AZ:-0.934 | GX:0.550 GY:0.321 GZ:0.321 | T:25.09 C
I (334915) mpu6050 stream: AX:-0.135 AY:0.103 AZ:-0.938 | GX:1.557 GY:-0.458 GZ:0.168 | T:25.38 C
I (334925) mpu6050 stream: AX:-0.137 AY:0.100 AZ:-0.943 | GX:1.679 GY:-0.534 GZ:0.305 | T:25.28 C
I (334935) mpu6050 stream: AX:-0.141 AY:0.093 AZ:-0.938 | GX:0.794 GY:-0.595 GZ:0.443 | T:25.19 C
I (334945) mpu6050 stream: AX:-0.139 AY:0.102 AZ:-0.944 | GX:-0.305 GY:-0.885 GZ:0.321 | T:25.28 C
I (334955) mpu6050 stream: AX:-0.146 AY:0.099 AZ:-0.940 | GX:-1.359 GY:-1.267 GZ:0.565 | T:25.19 C
I (334965) mpu6050 stream: AX:-0.146 AY:0.102 AZ:-0.948 | GX:-1.405 GY:-1.282 GZ:0.565 | T:25.19 C
I (334975) mpu6050 stream: AX:-0.145 AY:0.103 AZ:-0.946 | GX:-0.992 GY:-1.344 GZ:0.794 | T:25.19 C
I (334985) mpu6050 stream: AX:-0.152 AY:0.105 AZ:-0.947 | GX:-0.336 GY:-0.809 GZ:1.130 | T:25.28 C
I (334995) mpu6050 stream: AX:-0.153 AY:0.101 AZ:-0.943 | GX:0.122 GY:-0.595 GZ:1.084 | T:25.28 C
I (335005) mpu6050 stream: AX:-0.141 AY:0.099 AZ:-0.946 | GX:0.275 GY:-0.275 GZ:0.916 | T:25.19 C
I (335015) mpu6050 stream: AX:-0.147 AY:0.102 AZ:-0.942 | GX:0.137 GY:-0.489 GZ:0.794 | T:25.28 C
I (335025) mpu6050 stream: AX:-0.147 AY:0.095 AZ:-0.929 | GX:-0.183 GY:-0.641 GZ:0.809 | T:25.19 C
