I (370635) mpu6050 stream: AX:-0.064 AY:0.078 AZ:-0.954 | GX:-0.031 GY:-0.275 GZ:-0.290 | T:25.19 C
I (370645) mpu6050 stream: AX:-0.069 AY:0.080 AZ:-0.964 | GX:-0.443 GY:-0.183 GZ:-0.321 | T:25.19 C
I (370655) mpu6050 stream: AX:-0.066 AY:0.079 AZ:-0.972 | GX:-0.626 GY:0.214 GZ:-0.260 | T:25.28 C
I (370665) mpu6050 stream: AX:-0.055 AY:0.079 AZ:-0.961 | GX:-0.824 GY:0.397 GZ:-0.382 | T:25.19 C
I (370675) mpu6050 stream: AX:-0.058 AY:0.081 AZ:-0.959 | GX:-0.550 GY:0.168 GZ:-0.366 | T:25.09 C
I (370685) mpu6050 stream: AX:-0.061 AY:0.084 AZ:-0.957 | GX:-0.275 GY:0.107 GZ:-0.321 | T:25.19 C
I (370695) mpu6050 stream: AX:-0.054 AY:0.081 AZ:-0.950 | GX:0.168 GY:-0.015 GZ:-0.473 | T:25.19 C
I (370705) mpu6050 stream: AX:-0.065 AY:0.074 AZ:-0.961 | GX:0.397 GY:-0.519 GZ:-0.473 | T:25.19 C
I (370715) mpu6050 stream: AX:-0.058 AY:0.074 AZ:-0.953 | GX:0.183 GY:-0.229 GZ:-0.458 | T:25.19 C
I (370725) mpu6050 stream: AX:-0.065 AY:0.073 AZ:-0.962 | GX:-0.137 GY:0.015 GZ:-0.305 | T:25.09 C
I (370735) mpu6050 stream: AX:-0.054 AY:0.076 AZ:-0.962 | GX:-0.473 GY:0.275 GZ:-0.534 | T:25.19 C
I (370745) mpu6050 stream: AX:-0.056 AY:0.079 AZ:-0.959 | GX:-0.458 GY:0.275 GZ:-0.489 | T:25.19 C
I (370755) mpu6050 stream: AX:-0.055 AY:0.083 AZ:-0.949 | GX:-0.046 GY:0.290 GZ:-0.336 | T:25.19 C
I (370765) mpu6050 stream: AX:-0.065 AY:0.081 AZ:-0.945 | GX:0.458 GY:0.260 GZ:0.107 | T:25.28 C
I (370775) mpu6050 stream: AX:-0.064 AY:0.084 AZ:-0.954 | GX:0.870 GY:0.687 GZ:0.611 | T:25.28 C
I (370785) mpu6050 stream: AX:-0.062 AY:0.078 AZ:-0.952 | GX:0.840 GY:0.840 GZ:0.702 | T:25.19 C
I (370795) mpu6050 stream: AX:-0.053 AY:0.073 AZ:-0.954 | GX:0.198 GY:0.412 GZ:0.733 | T:25.19 C
I (370805) mpu6050 stream: AX:-0.057 AY:0.071 AZ:-0.946 | GX:-0.489 GY:0.473 GZ:0.672 | T:25.09 C
I (370815) mpu6050 stream: AX:-0.053 AY:0.083 AZ:-0.957 | GX:-1.053 GY:0.290 GZ:0.702 | T:25.19 C
I (370825) mpu6050 stream: AX:-0.059 AY:0.084 AZ:-0.949 | GX:-1.176 GY:-0.092 GZ:0.748 | T:25.28 C
I (370835) mpu6050 stream: AX:-0.058 AY:0.086 AZ:-0.944 | GX:-0.748 GY:-0.489 GZ:1.069 | T:25.09 C
I (370845) mpu6050 stream: AX:-0.061 AY:0.083 AZ:-0.949 | GX:-0.183 GY:-0.611 GZ:1.328 | T:25.19 C
I (370855) mpu6050 stream: AX:-0.055 AY:0.084 AZ:-0.955 | GX:0.397 GY:-0.809 GZ:1.359 | T:25.19 C
I (370865) mpu6050 stream: AX:-0.062 AY:0.086 AZ:-0.954 | GX:0.687 GY:-0.656 GZ:1.237 | T:25.19 C
I (370875) mpu6050 stream: AX:-0.056 AY:0.083 AZ:-0.965 | GX:0.718 GY:-0.855 GZ:1.374 | T:25.19 C
I (370885) mpu6050 stream: AX:-0.052 AY:0.073 AZ:-0.961 | GX:0.534 GY:-0.809 GZ:1.511 | T:25.19 C
I (370895) mpu6050 stream: AX:-0.056 AY:0.080 AZ:-0.961 | GX:0.534 GY:-0.702 GZ:1.573 | T:25.19 C
I (370905) mpu6050 stream: AX:-0.062 AY:0.081 AZ:-0.948 | GX:0.473 GY:-0.916 GZ:1.725 | T:25.19 C
I (370915) mpu6050 stream: AX:-0.066 AY:0.074 AZ:-0.960 | GX:0.656 GY:-0.977 GZ:1.802 | T:25.19 C
I (370925) mpu6050 stream: AX:-0.061 AY:0.077 AZ:-0.967 | GX:1.023 GY:-0.840 GZ:1.939 | T:25.19 C
I (370935) mpu6050 stream: AX:-0.070 AY:0.081 AZ:-0.971 | GX:0.489 GY:-0.305 GZ:1.893 | T:25.19 C
I (370945) mpu6050 stream: AX:-0.067 AY:0.071 AZ:-0.963 | GX:0.855 GY:0.031 GZ:1.863 | T:25.19 C
I (370955) mpu6050 stream: AX:-0.059 AY:0.072 AZ:-0.957 | GX:0.641 GY:-0.061 GZ:1.832 | T:25.19 C
I (370965) mpu6050 stream: AX:-0.061 AY:0.071 AZ:-0.955 | GX:0.565 GY:-0.015 GZ:1.588 | T:25.19 C
I (370975) mpu6050 stream: AX:-0.071 AY:0.073 AZ:-0.962 | GX:0.489 GY:-0.107 GZ:1.481 | T:25.24 C
I (370985) mpu6050 stream: AX:-0.063 AY:0.069 AZ:-0.961 | GX:-0.153 GY:0.214 GZ:1.313 | T:25.24 C
I (370995) mpu6050 stream: AX:-0.056 AY:0.067 AZ:-0.952 | GX:-0.076 GY:0.351 GZ:1.252 | T:25.05 C
