I (438765) mpu6050 stream: AX:-0.088 AY:0.087 AZ:-0.949 | GX:-1.130 GY:-1.649 GZ:3.084 | T:25.09 C
I (438775) mpu6050 stream: AX:-0.094 AY:0.093 AZ:-0.948 | GX:-1.435 GY:-1.649 GZ:2.840 | T:25.19 C
I (438785) mpu6050 stream: AX:-0.096 AY:0.085 AZ:-0.951 | GX:-2.000 GY:-1.939 GZ:2.412 | T:25.09 C
I (438795) mpu6050 stream: AX:-0.101 AY:0.094 AZ:-0.947 | GX:-0.534 GY:-1.405 GZ:2.214 | T:25.19 C
I (438805) mpu6050 stream: AX:-0.090 AY:0.097 AZ:-0.948 | GX:0.473 GY:-1.344 GZ:1.969 | T:25.19 C
I (438815) mpu6050 stream: AX:-0.098 AY:0.095 AZ:-0.959 | GX:0.687 GY:-1.389 GZ:1.359 | T:25.19 C
I (438825) mpu6050 stream: AX:-0.099 AY:0.093 AZ:-0.962 | GX:0.977 GY:-1.191 GZ:1.023 | T:25.19 C
I (438835) mpu6050 stream: AX:-0.098 AY:0.096 AZ:-0.953 | GX:0.290 GY:-1.221 GZ:0.947 | T:25.09 C
I (438845) mpu6050 stream: AX:-0.103 AY:0.096 AZ:-0.957 | GX:0.275 GY:-0.931 GZ:0.885 | T:25.19 C
I (438855) mpu6050 stream: AX:-0.096 AY:0.100 AZ:-0.964 | GX:-0.061 GY:-0.763 GZ:0.977 | T:25.09 C
I (438865) mpu6050 stream: AX:-0.095 AY:0.101 AZ:-0.950 | GX:0.076 GY:-0.748 GZ:1.206 | T:25.09 C
I (438875) mpu6050 stream: AX:-0.092 AY:0.102 AZ:-0.948 | GX:0.672 GY:-0.824 GZ:1.374 | T:25.09 C
I (438885) mpu6050 stream: AX:-0.102 AY:0.099 AZ:-0.962 | GX:0.840 GY:-0.748 GZ:1.481 | T:25.19 C
I (438895) mpu6050 stream: AX:-0.106 AY:0.097 AZ:-0.965 | GX:0.443 GY:-0.412 GZ:1.786 | T:25.09 C
I (438905) mpu6050 stream: AX:-0.100 AY:0.094 AZ:-0.962 | GX:-0.351 GY:-0.275 GZ:1.939 | T:25.19 C
I (438915) mpu6050 stream: AX:-0.097 AY:0.094 AZ:-0.955 | GX:-0.855 GY:-0.290 GZ:1.924 | T:25.09 C
I (438925) mpu6050 stream: AX:-0.104 AY:0.096 AZ:-0.949 | GX:-1.115 GY:-0.489 GZ:1.863 | T:25.09 C
