I (456805) mpu6050 stream: AX:-0.090 AY:0.073 AZ:-0.955 | GX:1.145 GY:-0.092 GZ:1.832 | T:25.19 C
I (456815) mpu6050 stream: AX:-0.083 AY:0.073 AZ:-0.958 | GX:0.779 GY:-0.229 GZ:1.725 | T:25.09 C
I (456825) mpu6050 stream: AX:-0.090 AY:0.067 AZ:-0.958 | GX:0.427 GY:-0.076 GZ:1.756 | T:25.09 C
I (456835) mpu6050 stream: AX:-0.087 AY:0.069 AZ:-0.958 | GX:-0.427 GY:-0.137 GZ:1.435 | T:25.09 C
I (456845) mpu6050 stream: AX:-0.094 AY:0.073 AZ:-0.963 | GX:-0.443 GY:0.092 GZ:1.496 | T:25.19 C
I (456855) mpu6050 stream: AX:-0.096 AY:0.073 AZ:-0.965 | GX:-0.504 GY:0.153 GZ:1.282 | T:25.19 C
I (456865) mpu6050 stream: AX:-0.089 AY:0.076 AZ:-0.952 | GX:-0.321 GY:0.443 GZ:1.221 | T:25.19 C
I (456875) mpu6050 stream: AX:-0.090 AY:0.075 AZ:-0.963 | GX:0.031 GY:0.748 GZ:1.084 | T:25.19 C
I (456885) mpu6050 stream: AX:-0.094 AY:0.075 AZ:-0.957 | GX:0.107 GY:0.962 GZ:0.779 | T:25.19 C
I (456895) mpu6050 stream: AX:-0.083 AY:0.077 AZ:-0.962 | GX:-0.107 GY:0.855 GZ:0.870 | T:25.19 C
I (456905) mpu6050 stream: AX:-0.092 AY:0.074 AZ:-0.959 | GX:-0.412 GY:0.916 GZ:0.870 | T:25.19 C
I (456915) mpu6050 stream: AX:-0.081 AY:0.079 AZ:-0.955 | GX:-0.656 GY:0.779 GZ:0.702 | T:25.09 C
I (456925) mpu6050 stream: AX:-0.079 AY:0.075 AZ:-0.952 | GX:-0.718 GY:0.855 GZ:0.733 | T:25.19 C
I (456935) mpu6050 stream: AX:-0.080 AY:0.076 AZ:-0.947 | GX:-0.641 GY:0.855 GZ:0.763 | T:25.09 C
I (456945) mpu6050 stream: AX:-0.084 AY:0.074 AZ:-0.954 | GX:-0.489 GY:0.489 GZ:0.427 | T:25.19 C
I (456955) mpu6050 stream: AX:-0.084 AY:0.080 AZ:-0.961 | GX:-0.550 GY:0.489 GZ:0.565 | T:25.09 C
I (456965) mpu6050 stream: AX:-0.082 AY:0.081 AZ:-0.956 | GX:-0.550 GY:0.672 GZ:0.565 | T:25.28 C
I (456975) mpu6050 stream: AX:-0.080 AY:0.078 AZ:-0.958 | GX:-0.595 GY:0.519 GZ:0.595 | T:25.09 C
I (456985) mpu6050 stream: AX:-0.083 AY:0.079 AZ:-0.948 | GX:-0.626 GY:0.550 GZ:0.443 | T:25.09 C
I (456995) mpu6050 stream: AX:-0.079 AY:0.084 AZ:-0.953 | GX:-0.641 GY:0.336 GZ:0.214 | T:25.09 C
I (457005) mpu6050 stream: AX:-0.075 AY:0.083 AZ:-0.949 | GX:-0.519 GY:0.321 GZ:0.427 | T:25.09 C
I (457015) mpu6050 stream: AX:-0.082 AY:0.084 AZ:-0.958 | GX:-0.550 GY:0.076 GZ:0.366 | T:25.19 C
I (457025) mpu6050 stream: AX:-0.083 AY:0.078 AZ:-0.952 | GX:-0.687 GY:-0.092 GZ:0.336 | T:25.09 C
I (457035) mpu6050 stream: AX:-0.079 AY:0.080 AZ:-0.948 | GX:-0.473 GY:-0.687 GZ:0.153 | T:25.19 C
I (457045) mpu6050 stream: AX:-0.075 AY:0.079 AZ:-0.952 | GX:-0.489 GY:-0.824 GZ:0.244 | T:25.19 C
I (457055) mpu6050 stream: AX:-0.082 AY:0.076 AZ:-0.956 | GX:-0.351 GY:-1.252 GZ:0.443 | T:25.19 C
I (457065) mpu6050 stream: AX:-0.081 AY:0.081 AZ:-0.953 | GX:-0.382 GY:-1.191 GZ:0.305 | T:25.09 C
I (457075) mpu6050 stream: AX:-0.086 AY:0.081 AZ:-0.944 | GX:-0.534 GY:-1.038 GZ:0.382 | T:25.09 C
I (457085) mpu6050 stream: AX:-0.086 AY:0.081 AZ:-0.957 | GX:-0.214 GY:-0.855 GZ:0.443 | T:25.19 C
I (457095) mpu6050 stream: AX:-0.087 AY:0.083 AZ:-0.952 | GX:-0.412 GY:-0.931 GZ:0.458 | T:25.28 C
I (457105) mpu6050 stream: AX:-0.090 AY:0.080 AZ:-0.956 | GX:-0.183 GY:-0.916 GZ:0.366 | T:25.19 C
I (457115) mpu6050 stream: AX:-0.087 AY:0.078 AZ:-0.955 | GX:-0.229 GY:-0.916 GZ:0.458 | T:25.09 C
I (457125) mpu6050 stream: AX:-0.090 AY:0.083 AZ:-0.955 | GX:-0.153 GY:-0.824 GZ:0.519 | T:25.19 C
I (457135) mpu6050 stream: AX:-0.089 AY:0.083 AZ:-0.967 | GX:-0.214 GY:-0.580 GZ:0.702 | T:25.09 C
I (457145) mpu6050 stream: AX:-0.099 AY:0.084 AZ:-0.954 | GX:-0.565 GY:-0.489 GZ:0.534 | T:25.09 C
I (457155) mpu6050 stream: AX:-0.093 AY:0.082 AZ:-0.962 | GX:-0.351 GY:-0.290 GZ:0.534 | T:25.09 C
I (457165) mpu6050 stream: AX:-0.088 AY:0.084 AZ:-0.957 | GX:0.275 GY:-0.229 GZ:0.580 | T:25.09 C
I (457175) mpu6050 stream: AX:-0.094 AY:0.078 AZ:-0.952 | GX:0.840 GY:0.260 GZ:0.580 | T:25.19 C
I (457185) mpu6050 stream: AX:-0.091 AY:0.070 AZ:-0.953 | GX:-0.031 GY:0.397 GZ:0.641 | T:25.09 C
I (457195) mpu6050 stream: AX:-0.080 AY:0.077 AZ:-0.961 | GX:-0.366 GY:0.443 GZ:0.656 | T:25.19 C
I (457205) mpu6050 stream: AX:-0.083 AY:0.074 AZ:-0.967 | GX:-1.221 GY:0.137 GZ:0.611 | T:25.09 C
I (457215) mpu6050 stream: AX:-0.088 AY:0.092 AZ:-0.964 | GX:-2.000 GY:0.443 GZ:0.534 | T:25.09 C
I (457225) mpu6050 stream: AX:-0.081 AY:0.094 AZ:-0.958 | GX:-1.893 GY:0.305 GZ:0.351 | T:25.09 C
I (457235) mpu6050 stream: AX:-0.086 AY:0.092 AZ:-0.950 | GX:0.153 GY:0.183 GZ:0.565 | T:25.09 C
I (457245) mpu6050 stream: AX:-0.087 AY:0.086 AZ:-0.957 | GX:0.809 GY:0.412 GZ:0.962 | T:25.09 C
I (457255) mpu6050 stream: AX:-0.082 AY:0.082 AZ:-0.949 | GX:1.924 GY:0.107 GZ:1.298 | T:25.19 C
I (457265) mpu6050 stream: AX:-0.085 AY:0.068 AZ:-0.957 | GX:1.328 GY:-0.122 GZ:0.992 | T:25.09 C
I (457275) mpu6050 stream: AX:-0.089 AY:0.074 AZ:-0.951 | GX:0.107 GY:-0.412 GZ:0.901 | T:25.09 C
I (457285) mpu6050 stream: AX:-0.088 AY:0.069 AZ:-0.943 | GX:-1.313 GY:-0.641 GZ:0.718 | T:25.19 C
I (457295) mpu6050 stream: AX:-0.092 AY:0.076 AZ:-0.956 | GX:-2.489 GY:-1.053 GZ:0.779 | T:25.09 C
I (457305) mpu6050 stream: AX:-0.097 AY:0.077 AZ:-0.953 | GX:-2.122 GY:-0.977 GZ:0.855 | T:25.19 C
I (457315) mpu6050 stream: AX:-0.094 AY:0.089 AZ:-0.957 | GX:-1.267 GY:-0.901 GZ:0.748 | T:25.19 C
I (457325) mpu6050 stream: AX:-0.087 AY:0.085 AZ:-0.953 | GX:-0.443 GY:-0.580 GZ:0.824 | T:25.19 C
I (457335) mpu6050 stream: AX:-0.090 AY:0.081 AZ:-0.956 | GX:0.427 GY:-0.504 GZ:0.733 | T:25.09 C
I (457345) mpu6050 stream: AX:-0.086 AY:0.083 AZ:-0.956 | GX:0.366 GY:-0.260 GZ:0.656 | T:25.19 C
I (457355) mpu6050 stream: AX:-0.086 AY:0.078 AZ:-0.960 | GX:-0.122 GY:-0.305 GZ:0.656 | T:25.09 C
I (457365) mpu6050 stream: AX:-0.088 AY:0.074 AZ:-0.958 | GX:-0.992 GY:-0.305 GZ:0.504 | T:25.19 C
I (457375) mpu6050 stream: AX:-0.090 AY:0.079 AZ:-0.955 | GX:-1.130 GY:-0.305 GZ:0.290 | T:25.09 C
I (457385) mpu6050 stream: AX:-0.092 AY:0.080 AZ:-0.957 | GX:-1.542 GY:-0.565 GZ:-0.168 | T:25.09 C
I (457395) mpu6050 stream: AX:-0.084 AY:0.087 AZ:-0.947 | GX:-1.481 GY:-0.855 GZ:-0.305 | T:25.19 C
I (457405) mpu6050 stream: AX:-0.088 AY:0.087 AZ:-0.954 | GX:-0.611 GY:-0.931 GZ:-0.229 | T:25.09 C
I (457415) mpu6050 stream: AX:-0.091 AY:0.087 AZ:-0.943 | GX:-0.244 GY:-1.099 GZ:-0.443 | T:25.09 C
I (457425) mpu6050 stream: AX:-0.095 AY:0.086 AZ:-0.965 | GX:-0.153 GY:-0.458 GZ:-0.290 | T:25.09 C
I (457435) mpu6050 stream: AX:-0.089 AY:0.083 AZ:-0.964 | GX:-1.237 GY:-0.214 GZ:-0.198 | T:25.19 C
I (457445) mpu6050 stream: AX:-0.094 AY:0.082 AZ:-0.960 | GX:-1.527 GY:0.122 GZ:-0.290 | T:25.19 C
I (457455) mpu6050 stream: AX:-0.086 AY:0.097 AZ:-0.948 | GX:-1.267 GY:-0.504 GZ:-0.183 | T:25.09 C
I (457465) mpu6050 stream: AX:-0.093 AY:0.097 AZ:-0.955 | GX:-0.809 GY:-0.687 GZ:-0.260 | T:25.09 C
I (457475) mpu6050 stream: AX:-0.094 AY:0.095 AZ:-0.951 | GX:0.198 GY:-0.580 GZ:0.137 | T:25.09 C
I (457485) mpu6050 stream: AX:-0.094 AY:0.091 AZ:-0.958 | GX:1.069 GY:-0.366 GZ:0.641 | T:25.09 C
I (457495) mpu6050 stream: AX:-0.091 AY:0.085 AZ:-0.962 | GX:1.450 GY:-0.321 GZ:0.687 | T:25.19 C
I (457505) mpu6050 stream: AX:-0.094 AY:0.081 AZ:-0.951 | GX:1.588 GY:-0.107 GZ:0.565 | T:25.09 C
I (457515) mpu6050 stream: AX:-0.091 AY:0.079 AZ:-0.956 | GX:-0.214 GY:-0.244 GZ:0.580 | T:25.09 C
I (457525) mpu6050 stream: AX:-0.098 AY:0.076 AZ:-0.952 | GX:-0.870 GY:-0.290 GZ:0.702 | T:25.09 C
I (457535) mpu6050 stream: AX:-0.091 AY:0.086 AZ:-0.957 | GX:-1.069 GY:-0.244 GZ:0.824 | T:25.00 C
I (457545) mpu6050 stream: AX:-0.096 AY:0.084 AZ:-0.949 | GX:-0.412 GY:-0.260 GZ:1.221 | T:25.19 C
I (457555) mpu6050 stream: AX:-0.094 AY:0.087 AZ:-0.966 | GX:0.443 GY:-0.168 GZ:1.298 | T:25.14 C
I (457565) mpu6050 stream: AX:-0.104 AY:0.090 AZ:-0.958 | GX:0.702 GY:0.473 GZ:1.527 | T:25.19 C
I (457575) mpu6050 stream: AX:-0.099 AY:0.076 AZ:-0.963 | GX:0.992 GY:0.855 GZ:1.588 | T:25.05 C
I (457585) mpu6050 stream: AX:-0.098 AY:0.081 AZ:-0.964 | GX:0.870 GY:1.084 GZ:1.374 | T:25.09 C
I (457595) mpu6050 stream: AX:-0.093 AY:0.076 AZ:-0.960 | GX:0.397 GY:0.901 GZ:1.542 | T:25.05 C
I (457605) mpu6050 stream: AX:-0.093 AY:0.076 AZ:-0.955 | GX:-0.168 GY:0.931 GZ:1.496 | T:25.09 C
I (457615) mpu6050 stream: AX:-0.095 AY:0.076 AZ:-0.947 | GX:-0.092 GY:0.672 GZ:1.374 | T:25.05 C
I (457625) mpu6050 stream: AX:-0.092 AY:0.077 AZ:-0.944 | GX:-0.229 GY:0.519 GZ:1.557 | T:25.14 C
