I (480845) mpu6050 stream: AX:-0.104 AY:0.093 AZ:-0.961 | GX:0.000 GY:-0.641 GZ:-0.229 | T:25.05 C
I (480855) mpu6050 stream: AX:-0.102 AY:0.094 AZ:-0.958 | GX:0.092 GY:-0.382 GZ:-0.305 | T:25.14 C
I (480865) mpu6050 stream: AX:-0.101 AY:0.090 AZ:-0.966 | GX:0.000 GY:0.305 GZ:-0.153 | T:25.05 C
I (480875) mpu6050 stream: AX:-0.107 AY:0.090 AZ:-0.951 | GX:-0.321 GY:-0.153 GZ:-0.046 | T:25.05 C
I (480885) mpu6050 stream: AX:-0.105 AY:0.093 AZ:-0.954 | GX:-0.443 GY:-0.061 GZ:0.092 | T:25.05 C
I (480895) mpu6050 stream: AX:-0.105 AY:0.091 AZ:-0.955 | GX:-0.458 GY:-0.031 GZ:0.076 | T:25.14 C
I (480905) mpu6050 stream: AX:-0.109 AY:0.098 AZ:-0.958 | GX:-0.198 GY:-0.061 GZ:0.260 | T:25.05 C
I (480915) mpu6050 stream: AX:-0.103 AY:0.100 AZ:-0.954 | GX:-0.198 GY:0.244 GZ:0.855 | T:25.14 C
I (480925) mpu6050 stream: AX:-0.106 AY:0.094 AZ:-0.954 | GX:-0.122 GY:0.260 GZ:0.962 | T:25.05 C
I (480935) mpu6050 stream: AX:-0.107 AY:0.092 AZ:-0.950 | GX:0.321 GY:0.305 GZ:1.206 | T:25.14 C
I (480945) mpu6050 stream: AX:-0.102 AY:0.086 AZ:-0.954 | GX:0.275 GY:1.145 GZ:1.237 | T:25.05 C
I (480955) mpu6050 stream: AX:-0.099 AY:0.093 AZ:-0.950 | GX:-1.542 GY:0.840 GZ:1.176 | T:25.14 C
I (480965) mpu6050 stream: AX:-0.095 AY:0.101 AZ:-0.945 | GX:-0.595 GY:0.870 GZ:1.221 | T:25.05 C
I (480975) mpu6050 stream: AX:-0.102 AY:0.094 AZ:-0.957 | GX:-0.855 GY:0.977 GZ:1.252 | T:25.05 C
I (480985) mpu6050 stream: AX:-0.103 AY:0.097 AZ:-0.949 | GX:-0.092 GY:1.252 GZ:1.145 | T:25.05 C
I (480995) mpu6050 stream: AX:-0.095 AY:0.104 AZ:-0.954 | GX:-0.137 GY:0.931 GZ:1.359 | T:25.05 C
I (481005) mpu6050 stream: AX:-0.096 AY:0.097 AZ:-0.946 | GX:0.809 GY:1.389 GZ:1.298 | T:25.05 C
I (481015) mpu6050 stream: AX:-0.095 AY:0.100 AZ:-0.955 | GX:1.115 GY:0.763 GZ:1.527 | T:25.00 C
I (481025) mpu6050 stream: AX:-0.095 AY:0.096 AZ:-0.952 | GX:0.336 GY:0.168 GZ:1.557 | T:25.09 C
I (481035) mpu6050 stream: AX:-0.097 AY:0.098 AZ:-0.954 | GX:0.519 GY:0.046 GZ:1.511 | T:25.09 C
I (481045) mpu6050 stream: AX:-0.098 AY:0.093 AZ:-0.945 | GX:0.412 GY:-0.107 GZ:1.817 | T:25.00 C
I (481055) mpu6050 stream: AX:-0.106 AY:0.098 AZ:-0.951 | GX:0.840 GY:-0.015 GZ:1.664 | T:25.00 C
I (481065) mpu6050 stream: AX:-0.096 AY:0.094 AZ:-0.958 | GX:1.695 GY:0.000 GZ:1.771 | T:25.00 C
I (481075) mpu6050 stream: AX:-0.094 AY:0.088 AZ:-0.956 | GX:-0.046 GY:0.321 GZ:2.031 | T:25.09 C
I (481085) mpu6050 stream: AX:-0.094 AY:0.092 AZ:-0.945 | GX:1.221 GY:0.305 GZ:1.969 | T:25.00 C
I (481095) mpu6050 stream: AX:-0.094 AY:0.087 AZ:-0.962 | GX:0.733 GY:0.153 GZ:1.786 | T:25.09 C
I (481105) mpu6050 stream: AX:-0.098 AY:0.092 AZ:-0.956 | GX:0.672 GY:0.321 GZ:1.618 | T:25.09 C
I (481115) mpu6050 stream: AX:-0.091 AY:0.088 AZ:-0.951 | GX:0.122 GY:-0.015 GZ:1.664 | T:25.09 C
I (481125) mpu6050 stream: AX:-0.097 AY:0.090 AZ:-0.945 | GX:-0.153 GY:0.031 GZ:1.725 | T:25.09 C
I (481135) mpu6050 stream: AX:-0.098 AY:0.096 AZ:-0.952 | GX:0.565 GY:0.198 GZ:1.679 | T:25.09 C
I (481145) mpu6050 stream: AX:-0.091 AY:0.091 AZ:-0.953 | GX:0.061 GY:-0.366 GZ:1.542 | T:25.00 C
I (481155) mpu6050 stream: AX:-0.093 AY:0.091 AZ:-0.953 | GX:0.122 GY:-0.412 GZ:1.740 | T:25.09 C
I (481165) mpu6050 stream: AX:-0.101 AY:0.094 AZ:-0.953 | GX:0.443 GY:-0.275 GZ:1.695 | T:25.09 C
I (481175) mpu6050 stream: AX:-0.100 AY:0.095 AZ:-0.955 | GX:0.321 GY:0.382 GZ:1.664 | T:25.09 C
I (481185) mpu6050 stream: AX:-0.101 AY:0.088 AZ:-0.949 | GX:0.443 GY:0.290 GZ:1.802 | T:25.00 C
I (481195) mpu6050 stream: AX:-0.097 AY:0.091 AZ:-0.947 | GX:0.305 GY:0.412 GZ:1.588 | T:25.19 C
I (481205) mpu6050 stream: AX:-0.101 AY:0.089 AZ:-0.944 | GX:0.489 GY:0.214 GZ:1.710 | T:25.09 C
I (481215) mpu6050 stream: AX:-0.101 AY:0.086 AZ:-0.949 | GX:0.443 GY:0.137 GZ:1.542 | T:25.00 C
I (481225) mpu6050 stream: AX:-0.097 AY:0.094 AZ:-0.947 | GX:0.336 GY:0.275 GZ:1.664 | T:25.09 C
I (481235) mpu6050 stream: AX:-0.104 AY:0.095 AZ:-0.955 | GX:0.061 GY:-0.137 GZ:1.466 | T:25.09 C
I (481245) mpu6050 stream: AX:-0.105 AY:0.087 AZ:-0.956 | GX:0.015 GY:0.122 GZ:1.527 | T:25.09 C
I (481255) mpu6050 stream: AX:-0.100 AY:0.089 AZ:-0.957 | GX:-0.137 GY:0.214 GZ:1.557 | T:25.00 C
I (481265) mpu6050 stream: AX:-0.103 AY:0.085 AZ:-0.966 | GX:-0.015 GY:-0.015 GZ:1.603 | T:25.09 C
I (481275) mpu6050 stream: AX:-0.107 AY:0.090 AZ:-0.957 | GX:-0.092 GY:-0.107 GZ:1.649 | T:25.09 C
I (481285) mpu6050 stream: AX:-0.102 AY:0.092 AZ:-0.952 | GX:0.107 GY:0.809 GZ:1.573 | T:25.09 C
