I (510905) mpu6050 stream: AX:-0.073 AY:0.081 AZ:-0.947 | GX:0.015 GY:0.733 GZ:0.809 | T:25.05 C
I (510915) mpu6050 stream: AX:-0.069 AY:0.083 AZ:-0.950 | GX:0.061 GY:0.947 GZ:0.687 | T:24.95 C
I (510925) mpu6050 stream: AX:-0.072 AY:0.079 AZ:-0.949 | GX:-0.229 GY:0.702 GZ:0.626 | T:25.05 C
I (510935) mpu6050 stream: AX:-0.066 AY:0.079 AZ:-0.955 | GX:0.076 GY:0.534 GZ:0.473 | T:24.95 C
I (510945) mpu6050 stream: AX:-0.069 AY:0.078 AZ:-0.952 | GX:-0.824 GY:0.305 GZ:0.443 | T:24.95 C
I (510955) mpu6050 stream: AX:-0.066 AY:0.086 AZ:-0.955 | GX:-0.763 GY:0.076 GZ:0.351 | T:25.05 C
I (510965) mpu6050 stream: AX:-0.062 AY:0.090 AZ:-0.946 | GX:-0.489 GY:-0.244 GZ:0.183 | T:25.05 C
I (510975) mpu6050 stream: AX:-0.068 AY:0.085 AZ:-0.960 | GX:0.031 GY:-0.153 GZ:0.336 | T:25.05 C
I (510985) mpu6050 stream: AX:-0.070 AY:0.083 AZ:-0.950 | GX:-0.244 GY:-0.580 GZ:0.031 | T:24.95 C
I (510995) mpu6050 stream: AX:-0.071 AY:0.090 AZ:-0.955 | GX:-0.458 GY:-0.321 GZ:0.092 | T:25.05 C
I (511005) mpu6050 stream: AX:-0.074 AY:0.091 AZ:-0.953 | GX:-0.443 GY:-0.366 GZ:-0.015 | T:24.95 C
I (511015) mpu6050 stream: AX:-0.069 AY:0.098 AZ:-0.961 | GX:-0.687 GY:-0.885 GZ:-0.031 | T:25.05 C
I (511025) mpu6050 stream: AX:-0.075 AY:0.099 AZ:-0.955 | GX:-0.382 GY:-0.962 GZ:0.351 | T:25.05 C
I (511035) mpu6050 stream: AX:-0.072 AY:0.092 AZ:-0.953 | GX:0.183 GY:-0.611 GZ:0.718 | T:25.05 C
I (511045) mpu6050 stream: AX:-0.073 AY:0.096 AZ:-0.961 | GX:0.656 GY:-0.366 GZ:0.947 | T:24.95 C
I (511055) mpu6050 stream: AX:-0.065 AY:0.091 AZ:-0.955 | GX:0.794 GY:-0.336 GZ:1.053 | T:25.05 C
I (511065) mpu6050 stream: AX:-0.063 AY:0.089 AZ:-0.952 | GX:0.565 GY:-0.672 GZ:0.992 | T:25.05 C
I (511075) mpu6050 stream: AX:-0.068 AY:0.090 AZ:-0.958 | GX:-0.305 GY:-0.855 GZ:1.298 | T:25.05 C
I (511085) mpu6050 stream: AX:-0.064 AY:0.095 AZ:-0.971 | GX:-0.977 GY:-0.855 GZ:1.481 | T:24.95 C
I (511095) mpu6050 stream: AX:-0.074 AY:0.090 AZ:-0.967 | GX:-0.962 GY:-1.008 GZ:1.420 | T:25.05 C
I (511105) mpu6050 stream: AX:-0.073 AY:0.102 AZ:-0.954 | GX:-0.519 GY:-1.023 GZ:1.374 | T:25.05 C
I (511115) mpu6050 stream: AX:-0.079 AY:0.093 AZ:-0.948 | GX:1.450 GY:-0.809 GZ:1.267 | T:25.05 C
I (511125) mpu6050 stream: AX:-0.072 AY:0.083 AZ:-0.952 | GX:2.382 GY:-0.427 GZ:1.160 | T:25.14 C
I (511135) mpu6050 stream: AX:-0.077 AY:0.073 AZ:-0.952 | GX:2.305 GY:-0.550 GZ:0.992 | T:25.05 C
I (511145) mpu6050 stream: AX:-0.074 AY:0.072 AZ:-0.958 | GX:1.008 GY:-0.702 GZ:0.626 | T:25.05 C
I (511155) mpu6050 stream: AX:-0.078 AY:0.077 AZ:-0.956 | GX:-0.534 GY:-0.794 GZ:0.351 | T:25.05 C
I (511165) mpu6050 stream: AX:-0.068 AY:0.081 AZ:-0.943 | GX:-1.802 GY:-1.069 GZ:0.137 | T:25.05 C
I (511175) mpu6050 stream: AX:-0.083 AY:0.081 AZ:-0.953 | GX:-1.847 GY:-1.344 GZ:-0.198 | T:24.95 C
I (511185) mpu6050 stream: AX:-0.075 AY:0.087 AZ:-0.958 | GX:-0.870 GY:-1.267 GZ:-0.198 | T:24.95 C
I (511195) mpu6050 stream: AX:-0.079 AY:0.095 AZ:-0.948 | GX:-0.107 GY:-0.947 GZ:-0.076 | T:25.05 C
I (511205) mpu6050 stream: AX:-0.079 AY:0.086 AZ:-0.954 | GX:0.550 GY:-0.840 GZ:0.031 | T:25.05 C
I (511215) mpu6050 stream: AX:-0.079 AY:0.089 AZ:-0.967 | GX:0.504 GY:-0.901 GZ:0.031 | T:24.95 C
I (511225) mpu6050 stream: AX:-0.081 AY:0.083 AZ:-0.959 | GX:-0.351 GY:-0.718 GZ:-0.229 | T:25.05 C
I (511235) mpu6050 stream: AX:-0.083 AY:0.082 AZ:-0.958 | GX:-0.366 GY:-1.084 GZ:-0.061 | T:25.00 C
I (511245) mpu6050 stream: AX:-0.085 AY:0.080 AZ:-0.960 | GX:-1.740 GY:-0.824 GZ:-0.183 | T:25.00 C
I (511255) mpu6050 stream: AX:-0.084 AY:0.091 AZ:-0.958 | GX:-1.313 GY:-0.794 GZ:-0.443 | T:25.00 C
I (511265) mpu6050 stream: AX:-0.084 AY:0.090 AZ:-0.952 | GX:-1.008 GY:-0.656 GZ:-0.458 | T:25.00 C
I (511275) mpu6050 stream: AX:-0.078 AY:0.092 AZ:-0.953 | GX:0.046 GY:-0.427 GZ:-0.260 | T:25.00 C
I (511285) mpu6050 stream: AX:-0.083 AY:0.092 AZ:-0.965 | GX:0.122 GY:-0.580 GZ:-0.244 | T:25.00 C
I (511295) mpu6050 stream: AX:-0.086 AY:0.087 AZ:-0.963 | GX:-0.656 GY:-0.183 GZ:-0.260 | T:25.00 C
I (511305) mpu6050 stream: AX:-0.078 AY:0.090 AZ:-0.963 | GX:-1.206 GY:-0.061 GZ:-0.031 | T:25.09 C
I (511315) mpu6050 stream: AX:-0.080 AY:0.090 AZ:-0.962 | GX:-1.863 GY:0.214 GZ:-0.244 | T:25.09 C
I (511325) mpu6050 stream: AX:-0.075 AY:0.094 AZ:-0.952 | GX:-1.450 GY:-0.366 GZ:-0.046 | T:25.00 C
I (511335) mpu6050 stream: AX:-0.075 AY:0.094 AZ:-0.951 | GX:-0.733 GY:-0.427 GZ:-0.015 | T:25.09 C
I (511345) mpu6050 stream: AX:-0.082 AY:0.102 AZ:-0.964 | GX:0.092 GY:-0.305 GZ:0.504 | T:25.09 C
I (511355) mpu6050 stream: AX:-0.076 AY:0.090 AZ:-0.951 | GX:0.885 GY:0.107 GZ:0.763 | T:25.09 C
I (511365) mpu6050 stream: AX:-0.075 AY:0.084 AZ:-0.963 | GX:0.733 GY:0.168 GZ:0.733 | T:25.00 C
I (511375) mpu6050 stream: AX:-0.078 AY:0.082 AZ:-0.959 | GX:0.336 GY:0.351 GZ:0.641 | T:25.00 C
I (511385) mpu6050 stream: AX:-0.082 AY:0.084 AZ:-0.967 | GX:-0.595 GY:0.473 GZ:0.519 | T:25.00 C
I (511395) mpu6050 stream: AX:-0.085 AY:0.094 AZ:-0.952 | GX:-1.099 GY:0.473 GZ:0.275 | T:25.09 C
I (511405) mpu6050 stream: AX:-0.082 AY:0.099 AZ:-0.952 | GX:-1.099 GY:0.550 GZ:0.458 | T:25.00 C
I (511415) mpu6050 stream: AX:-0.078 AY:0.096 AZ:-0.960 | GX:-0.519 GY:0.656 GZ:0.641 | T:25.00 C
I (511425) mpu6050 stream: AX:-0.078 AY:0.090 AZ:-0.957 | GX:0.305 GY:0.611 GZ:0.748 | T:25.00 C
I (511435) mpu6050 stream: AX:-0.082 AY:0.088 AZ:-0.953 | GX:0.977 GY:0.565 GZ:0.779 | T:25.00 C
I (511445) mpu6050 stream: AX:-0.074 AY:0.089 AZ:-0.957 | GX:1.115 GY:0.504 GZ:0.916 | T:24.91 C
I (511455) mpu6050 stream: AX:-0.077 AY:0.093 AZ:-0.949 | GX:0.962 GY:0.718 GZ:0.916 | T:25.09 C
I (511465) mpu6050 stream: AX:-0.068 AY:0.077 AZ:-0.954 | GX:0.351 GY:0.489 GZ:1.145 | T:25.00 C
I (511475) mpu6050 stream: AX:-0.074 AY:0.091 AZ:-0.953 | GX:0.092 GY:0.137 GZ:1.191 | T:25.00 C
I (511485) mpu6050 stream: AX:-0.080 AY:0.090 AZ:-0.958 | GX:-0.168 GY:-0.168 GZ:1.511 | T:25.00 C
I (511495) mpu6050 stream: AX:-0.075 AY:0.089 AZ:-0.955 | GX:-0.031 GY:0.107 GZ:1.405 | T:25.09 C
I (511505) mpu6050 stream: AX:-0.081 AY:0.091 AZ:-0.962 | GX:0.061 GY:-0.122 GZ:1.664 | T:25.09 C
I (511515) mpu6050 stream: AX:-0.079 AY:0.085 AZ:-0.956 | GX:0.122 GY:0.260 GZ:1.817 | T:25.00 C
I (511525) mpu6050 stream: AX:-0.078 AY:0.085 AZ:-0.964 | GX:0.214 GY:0.458 GZ:1.908 | T:25.00 C
I (511535) mpu6050 stream: AX:-0.084 AY:0.085 AZ:-0.959 | GX:0.076 GY:0.519 GZ:1.924 | T:24.91 C
I (511545) mpu6050 stream: AX:-0.078 AY:0.088 AZ:-0.957 | GX:0.153 GY:0.748 GZ:2.061 | T:25.00 C
I (511555) mpu6050 stream: AX:-0.077 AY:0.083 AZ:-0.953 | GX:0.290 GY:0.565 GZ:1.847 | T:25.00 C
I (511565) mpu6050 stream: AX:-0.082 AY:0.080 AZ:-0.956 | GX:0.366 GY:0.382 GZ:1.817 | T:25.00 C
