I (555005) mpu6050 stream: AX:-0.102 AY:0.112 AZ:-0.949 | GX:-0.733 GY:-1.130 GZ:0.809 | T:24.95 C
I (555015) mpu6050 stream: AX:-0.098 AY:0.113 AZ:-0.959 | GX:-1.053 GY:-1.115 GZ:0.840 | T:24.95 C
I (555025) mpu6050 stream: AX:-0.104 AY:0.119 AZ:-0.957 | GX:-0.901 GY:-0.611 GZ:1.099 | T:24.95 C
I (555035) mpu6050 stream: AX:-0.101 AY:0.118 AZ:-0.955 | GX:-0.244 GY:-0.275 GZ:1.221 | T:25.00 C
I (555045) mpu6050 stream: AX:-0.106 AY:0.112 AZ:-0.959 | GX:0.626 GY:0.076 GZ:1.374 | T:25.00 C
I (555055) mpu6050 stream: AX:-0.101 AY:0.110 AZ:-0.939 | GX:1.160 GY:0.229 GZ:1.405 | T:25.00 C
I (555065) mpu6050 stream: AX:-0.101 AY:0.109 AZ:-0.946 | GX:1.221 GY:0.168 GZ:1.435 | T:25.00 C
I (555075) mpu6050 stream: AX:-0.095 AY:0.111 AZ:-0.953 | GX:1.069 GY:0.092 GZ:1.496 | T:25.00 C
I (555085) mpu6050 stream: AX:-0.095 AY:0.113 AZ:-0.952 | GX:0.443 GY:-0.137 GZ:1.573 | T:24.91 C
I (555095) mpu6050 stream: AX:-0.098 AY:0.104 AZ:-0.954 | GX:0.198 GY:-0.794 GZ:1.481 | T:25.00 C
I (555105) mpu6050 stream: AX:-0.097 AY:0.110 AZ:-0.956 | GX:0.046 GY:-0.916 GZ:1.389 | T:24.91 C
I (555115) mpu6050 stream: AX:-0.095 AY:0.109 AZ:-0.955 | GX:0.290 GY:-0.809 GZ:1.573 | T:25.00 C
I (555125) mpu6050 stream: AX:-0.096 AY:0.107 AZ:-0.960 | GX:0.290 GY:-0.397 GZ:1.496 | T:25.00 C
I (555135) mpu6050 stream: AX:-0.093 AY:0.109 AZ:-0.960 | GX:0.443 GY:-0.458 GZ:1.405 | T:25.00 C
I (555145) mpu6050 stream: AX:-0.096 AY:0.112 AZ:-0.958 | GX:0.580 GY:0.046 GZ:1.496 | T:25.00 C
I (555155) mpu6050 stream: AX:-0.100 AY:0.103 AZ:-0.959 | GX:0.550 GY:0.076 GZ:1.435 | T:24.91 C
I (555165) mpu6050 stream: AX:-0.102 AY:0.105 AZ:-0.953 | GX:0.397 GY:-0.092 GZ:1.450 | T:25.09 C
I (555175) mpu6050 stream: AX:-0.096 AY:0.104 AZ:-0.955 | GX:0.275 GY:0.031 GZ:1.298 | T:25.00 C
I (555185) mpu6050 stream: AX:-0.100 AY:0.107 AZ:-0.945 | GX:0.366 GY:0.305 GZ:1.206 | T:25.09 C
I (555195) mpu6050 stream: AX:-0.101 AY:0.105 AZ:-0.955 | GX:0.107 GY:0.168 GZ:1.237 | T:24.91 C
