I (561025) mpu6050 stream: AX:-0.053 AY:0.123 AZ:-0.962 | GX:0.198 GY:1.359 GZ:1.588 | T:25.00 C
I (561035) mpu6050 stream: AX:-0.057 AY:0.121 AZ:-0.954 | GX:-0.183 GY:1.511 GZ:1.328 | T:25.00 C
I (561045) mpu6050 stream: AX:-0.049 AY:0.117 AZ:-0.953 | GX:-0.687 GY:1.969 GZ:1.221 | T:24.91 C
I (561055) mpu6050 stream: AX:-0.049 AY:0.127 AZ:-0.960 | GX:-1.267 GY:1.679 GZ:0.992 | T:25.00 C
I (561065) mpu6050 stream: AX:-0.048 AY:0.131 AZ:-0.954 | GX:-1.389 GY:1.557 GZ:0.870 | T:25.00 C
I (561075) mpu6050 stream: AX:-0.048 AY:0.137 AZ:-0.946 | GX:-0.458 GY:1.374 GZ:0.687 | T:25.00 C
I (561085) mpu6050 stream: AX:-0.046 AY:0.132 AZ:-0.943 | GX:1.160 GY:1.145 GZ:0.779 | T:25.00 C
I (561095) mpu6050 stream: AX:-0.049 AY:0.128 AZ:-0.945 | GX:2.046 GY:0.702 GZ:0.702 | T:25.00 C
I (561105) mpu6050 stream: AX:-0.054 AY:0.125 AZ:-0.956 | GX:1.771 GY:0.397 GZ:0.779 | T:25.00 C
I (561115) mpu6050 stream: AX:-0.052 AY:0.123 AZ:-0.948 | GX:0.840 GY:0.275 GZ:0.809 | T:25.00 C
I (561125) mpu6050 stream: AX:-0.045 AY:0.122 AZ:-0.939 | GX:-0.443 GY:-0.244 GZ:0.794 | T:25.00 C
I (561135) mpu6050 stream: AX:-0.056 AY:0.133 AZ:-0.947 | GX:-1.130 GY:-1.115 GZ:0.962 | T:25.00 C
I (561145) mpu6050 stream: AX:-0.052 AY:0.132 AZ:-0.963 | GX:-1.023 GY:-1.191 GZ:1.237 | T:25.00 C
I (561155) mpu6050 stream: AX:-0.053 AY:0.135 AZ:-0.951 | GX:-0.763 GY:-0.779 GZ:1.664 | T:25.00 C
I (561165) mpu6050 stream: AX:-0.061 AY:0.137 AZ:-0.956 | GX:-0.153 GY:-0.855 GZ:1.969 | T:24.91 C
I (561175) mpu6050 stream: AX:-0.054 AY:0.136 AZ:-0.952 | GX:0.824 GY:-0.275 GZ:2.305 | T:25.00 C
I (561185) mpu6050 stream: AX:-0.067 AY:0.130 AZ:-0.947 | GX:0.534 GY:-0.305 GZ:2.290 | T:25.00 C
I (561195) mpu6050 stream: AX:-0.063 AY:0.129 AZ:-0.958 | GX:0.397 GY:-0.168 GZ:2.305 | T:24.91 C
I (561205) mpu6050 stream: AX:-0.072 AY:0.123 AZ:-0.954 | GX:-0.153 GY:0.137 GZ:2.092 | T:24.91 C
I (561215) mpu6050 stream: AX:-0.064 AY:0.120 AZ:-0.955 | GX:-0.550 GY:0.183 GZ:1.893 | T:24.95 C
I (561225) mpu6050 stream: AX:-0.060 AY:0.126 AZ:-0.948 | GX:-0.901 GY:0.137 GZ:1.542 | T:24.95 C
I (561235) mpu6050 stream: AX:-0.052 AY:0.125 AZ:-0.947 | GX:-0.153 GY:0.000 GZ:1.130 | T:24.95 C
I (561245) mpu6050 stream: AX:-0.052 AY:0.131 AZ:-0.947 | GX:0.031 GY:0.092 GZ:0.916 | T:24.95 C
I (561255) mpu6050 stream: AX:-0.057 AY:0.124 AZ:-0.936 | GX:0.137 GY:-0.427 GZ:0.626 | T:24.95 C
I (561265) mpu6050 stream: AX:-0.052 AY:0.126 AZ:-0.942 | GX:0.061 GY:-0.962 GZ:0.595 | T:25.14 C
I (561275) mpu6050 stream: AX:-0.057 AY:0.129 AZ:-0.949 | GX:-0.427 GY:-0.809 GZ:0.366 | T:24.95 C
I (561285) mpu6050 stream: AX:-0.057 AY:0.127 AZ:-0.958 | GX:-1.069 GY:-1.237 GZ:0.198 | T:25.05 C
I (561295) mpu6050 stream: AX:-0.062 AY:0.133 AZ:-0.959 | GX:-1.115 GY:-1.191 GZ:0.290 | T:24.86 C
I (561305) mpu6050 stream: AX:-0.061 AY:0.137 AZ:-0.970 | GX:-0.870 GY:-0.580 GZ:0.382 | T:24.95 C
I (561315) mpu6050 stream: AX:-0.062 AY:0.141 AZ:-0.969 | GX:-0.458 GY:-0.519 GZ:0.565 | T:25.05 C
I (561325) mpu6050 stream: AX:-0.061 AY:0.147 AZ:-0.961 | GX:0.595 GY:0.046 GZ:0.779 | T:24.95 C
I (561335) mpu6050 stream: AX:-0.065 AY:0.131 AZ:-0.958 | GX:1.176 GY:0.336 GZ:1.206 | T:24.95 C
I (561345) mpu6050 stream: AX:-0.055 AY:0.128 AZ:-0.960 | GX:0.885 GY:0.260 GZ:1.405 | T:24.95 C
I (561355) mpu6050 stream: AX:-0.062 AY:0.125 AZ:-0.956 | GX:0.092 GY:0.626 GZ:1.374 | T:24.95 C
I (561365) mpu6050 stream: AX:-0.059 AY:0.122 AZ:-0.950 | GX:-0.672 GY:0.458 GZ:1.298 | T:24.86 C
I (561375) mpu6050 stream: AX:-0.056 AY:0.130 AZ:-0.943 | GX:-1.298 GY:0.015 GZ:1.313 | T:24.95 C
I (561385) mpu6050 stream: AX:-0.058 AY:0.135 AZ:-0.950 | GX:-0.580 GY:-0.168 GZ:1.481 | T:24.95 C
I (561395) mpu6050 stream: AX:-0.064 AY:0.138 AZ:-0.947 | GX:-0.046 GY:0.015 GZ:1.740 | T:24.95 C
I (561405) mpu6050 stream: AX:-0.064 AY:0.137 AZ:-0.954 | GX:0.580 GY:-0.229 GZ:1.710 | T:25.05 C
I (561415) mpu6050 stream: AX:-0.057 AY:0.134 AZ:-0.959 | GX:1.038 GY:0.137 GZ:1.771 | T:25.05 C
I (561425) mpu6050 stream: AX:-0.062 AY:0.135 AZ:-0.954 | GX:1.084 GY:0.534 GZ:1.756 | T:24.95 C
I (561435) mpu6050 stream: AX:-0.059 AY:0.124 AZ:-0.951 | GX:1.084 GY:0.336 GZ:1.740 | T:25.05 C
I (561445) mpu6050 stream: AX:-0.057 AY:0.130 AZ:-0.944 | GX:0.824 GY:0.153 GZ:1.725 | T:24.86 C
I (561455) mpu6050 stream: AX:-0.058 AY:0.126 AZ:-0.956 | GX:0.687 GY:0.092 GZ:1.466 | T:24.95 C
I (561465) mpu6050 stream: AX:-0.062 AY:0.121 AZ:-0.948 | GX:0.565 GY:-0.198 GZ:1.328 | T:24.95 C
I (561475) mpu6050 stream: AX:-0.062 AY:0.122 AZ:-0.952 | GX:0.275 GY:-0.321 GZ:1.176 | T:24.95 C
I (561485) mpu6050 stream: AX:-0.059 AY:0.128 AZ:-0.959 | GX:0.168 GY:-0.336 GZ:1.038 | T:24.95 C
I (561495) mpu6050 stream: AX:-0.057 AY:0.126 AZ:-0.968 | GX:0.275 GY:-0.260 GZ:0.901 | T:24.95 C
I (561505) mpu6050 stream: AX:-0.056 AY:0.126 AZ:-0.956 | GX:0.137 GY:-0.229 GZ:0.809 | T:25.05 C
I (561515) mpu6050 stream: AX:-0.062 AY:0.126 AZ:-0.964 | GX:0.015 GY:-0.397 GZ:0.641 | T:25.05 C
I (561525) mpu6050 stream: AX:-0.063 AY:0.125 AZ:-0.967 | GX:-0.092 GY:-0.580 GZ:0.519 | T:25.05 C
I (561535) mpu6050 stream: AX:-0.059 AY:0.132 AZ:-0.972 | GX:0.031 GY:-0.366 GZ:0.183 | T:24.86 C
I (561545) mpu6050 stream: AX:-0.052 AY:0.127 AZ:-0.965 | GX:0.137 GY:-0.779 GZ:-0.076 | T:24.95 C
I (561555) mpu6050 stream: AX:-0.053 AY:0.126 AZ:-0.988 | GX:0.000 GY:-1.740 GZ:-0.122 | T:25.00 C
I (561565) mpu6050 stream: AX:-0.057 AY:0.130 AZ:-1.007 | GX:-0.336 GY:-2.076 GZ:-0.382 | T:25.00 C
I (561575) mpu6050 stream: AX:-0.069 AY:0.130 AZ:-0.998 | GX:-0.580 GY:-2.321 GZ:-0.260 | T:25.00 C
I (561585) mpu6050 stream: AX:-0.070 AY:0.138 AZ:-0.985 | GX:-0.305 GY:-2.916 GZ:-0.397 | T:24.91 C
I (561595) mpu6050 stream: AX:-0.062 AY:0.133 AZ:-1.004 | GX:-0.336 GY:-4.763 GZ:-0.641 | T:24.91 C
I (561605) mpu6050 stream: AX:-0.085 AY:0.139 AZ:-1.019 | GX:-1.099 GY:-4.412 GZ:-0.534 | T:25.00 C
I (561615) mpu6050 stream: AX:-0.101 AY:0.145 AZ:-0.998 | GX:-1.405 GY:-2.977 GZ:-0.183 | T:24.91 C
I (561625) mpu6050 stream: AX:-0.097 AY:0.155 AZ:-0.975 | GX:-0.290 GY:-2.321 GZ:-0.076 | T:24.91 C
I (561635) mpu6050 stream: AX:-0.102 AY:0.148 AZ:-0.966 | GX:1.130 GY:-1.847 GZ:0.153 | T:25.00 C
I (561645) mpu6050 stream: AX:-0.107 AY:0.135 AZ:-0.967 | GX:2.412 GY:-0.443 GZ:0.183 | T:25.00 C
I (561655) mpu6050 stream: AX:-0.108 AY:0.130 AZ:-0.959 | GX:2.580 GY:2.107 GZ:0.626 | T:24.91 C
I (561665) mpu6050 stream: AX:-0.098 AY:0.124 AZ:-0.945 | GX:2.977 GY:4.427 GZ:0.931 | T:25.00 C
I (561675) mpu6050 stream: AX:-0.094 AY:0.126 AZ:-0.911 | GX:2.916 GY:5.817 GZ:1.145 | T:25.00 C
I (561685) mpu6050 stream: AX:-0.075 AY:0.122 AZ:-0.897 | GX:3.863 GY:5.924 GZ:1.206 | T:24.91 C
I (561695) mpu6050 stream: AX:-0.068 AY:0.114 AZ:-0.872 | GX:4.260 GY:5.099 GZ:1.389 | T:24.91 C
I (561705) mpu6050 stream: AX:-0.060 AY:0.123 AZ:-0.875 | GX:4.321 GY:4.107 GZ:1.618 | T:24.91 C
I (561715) mpu6050 stream: AX:-0.061 AY:0.119 AZ:-0.883 | GX:3.267 GY:1.939 GZ:1.954 | T:25.00 C
I (561725) mpu6050 stream: AX:-0.068 AY:0.108 AZ:-0.899 | GX:1.893 GY:0.641 GZ:2.336 | T:25.00 C
I (561735) mpu6050 stream: AX:-0.061 AY:0.111 AZ:-0.903 | GX:0.473 GY:-0.427 GZ:1.878 | T:24.91 C
I (561745) mpu6050 stream: AX:-0.062 AY:0.107 AZ:-0.919 | GX:0.046 GY:-1.954 GZ:1.527 | T:24.91 C
I (561755) mpu6050 stream: AX:-0.077 AY:0.105 AZ:-0.942 | GX:0.244 GY:-1.420 GZ:0.855 | T:25.00 C
I (561765) mpu6050 stream: AX:-0.070 AY:0.107 AZ:-0.952 | GX:0.321 GY:0.672 GZ:0.305 | T:24.91 C
I (561775) mpu6050 stream: AX:-0.071 AY:0.101 AZ:-0.947 | GX:-0.137 GY:1.924 GZ:-0.947 | T:25.00 C
I (561785) mpu6050 stream: AX:-0.059 AY:0.102 AZ:-0.942 | GX:-1.053 GY:3.191 GZ:-2.336 | T:25.00 C
I (561795) mpu6050 stream: AX:-0.056 AY:0.104 AZ:-0.944 | GX:-2.015 GY:3.634 GZ:-3.527 | T:24.81 C
I (561805) mpu6050 stream: AX:-0.044 AY:0.118 AZ:-0.937 | GX:-2.779 GY:3.374 GZ:-4.992 | T:24.91 C
I (561815) mpu6050 stream: AX:-0.036 AY:0.133 AZ:-0.931 | GX:-2.321 GY:3.069 GZ:-6.229 | T:25.00 C
I (561825) mpu6050 stream: AX:-0.031 AY:0.136 AZ:-0.903 | GX:-0.916 GY:0.763 GZ:-7.344 | T:24.91 C
I (561835) mpu6050 stream: AX:-0.026 AY:0.141 AZ:-0.889 | GX:0.901 GY:-1.481 GZ:-8.198 | T:25.00 C
I (561845) mpu6050 stream: AX:-0.029 AY:0.139 AZ:-0.909 | GX:2.061 GY:-4.412 GZ:-8.947 | T:25.09 C
I (561855) mpu6050 stream: AX:-0.036 AY:0.131 AZ:-0.932 | GX:1.573 GY:-7.099 GZ:-9.481 | T:24.91 C
I (561865) mpu6050 stream: AX:-0.050 AY:0.130 AZ:-0.954 | GX:0.336 GY:-7.939 GZ:-10.137 | T:24.95 C
I (561875) mpu6050 stream: AX:-0.059 AY:0.137 AZ:-0.946 | GX:-0.412 GY:-8.443 GZ:-10.489 | T:24.95 C
I (561885) mpu6050 stream: AX:-0.062 AY:0.145 AZ:-0.962 | GX:-0.382 GY:-8.931 GZ:-10.336 | T:24.95 C
I (561895) mpu6050 stream: AX:-0.056 AY:0.148 AZ:-0.976 | GX:0.198 GY:-8.550 GZ:-9.954 | T:25.05 C
I (561905) mpu6050 stream: AX:-0.064 AY:0.146 AZ:-0.991 | GX:1.145 GY:-7.405 GZ:-9.649 | T:24.95 C
I (561915) mpu6050 stream: AX:-0.068 AY:0.145 AZ:-0.983 | GX:1.298 GY:-6.321 GZ:-8.992 | T:24.95 C
I (561925) mpu6050 stream: AX:-0.062 AY:0.144 AZ:-0.969 | GX:1.725 GY:-5.374 GZ:-8.473 | T:24.95 C
I (561935) mpu6050 stream: AX:-0.045 AY:0.143 AZ:-0.970 | GX:2.229 GY:-6.015 GZ:-8.107 | T:25.05 C
I (561945) mpu6050 stream: AX:-0.057 AY:0.142 AZ:-0.968 | GX:2.061 GY:-6.061 GZ:-7.267 | T:24.95 C
I (561955) mpu6050 stream: AX:-0.053 AY:0.146 AZ:-0.973 | GX:2.183 GY:-5.176 GZ:-6.321 | T:24.95 C
I (561965) mpu6050 stream: AX:-0.052 AY:0.136 AZ:-0.968 | GX:2.748 GY:-4.290 GZ:-5.511 | T:24.95 C
I (561975) mpu6050 stream: AX:-0.052 AY:0.127 AZ:-0.957 | GX:3.435 GY:-3.344 GZ:-4.595 | T:25.05 C
I (561985) mpu6050 stream: AX:-0.046 AY:0.130 AZ:-0.965 | GX:3.954 GY:-2.397 GZ:-3.954 | T:24.95 C
I (561995) mpu6050 stream: AX:-0.036 AY:0.120 AZ:-0.962 | GX:3.695 GY:-2.137 GZ:-3.084 | T:24.95 C
