I (573055) mpu6050 stream: AX:-0.050 AY:0.106 AZ:-0.964 | GX:0.076 GY:-0.214 GZ:1.740 | T:25.00 C
I (573065) mpu6050 stream: AX:-0.055 AY:0.108 AZ:-0.967 | GX:-0.092 GY:-0.290 GZ:1.817 | T:24.91 C
I (573075) mpu6050 stream: AX:-0.059 AY:0.111 AZ:-0.963 | GX:-0.122 GY:-0.076 GZ:1.863 | T:24.91 C
I (573085) mpu6050 stream: AX:-0.061 AY:0.109 AZ:-0.957 | GX:-0.061 GY:0.427 GZ:1.817 | T:24.91 C
I (573095) mpu6050 stream: AX:-0.057 AY:0.110 AZ:-0.963 | GX:0.015 GY:0.779 GZ:1.634 | T:25.00 C
I (573105) mpu6050 stream: AX:-0.058 AY:0.110 AZ:-0.961 | GX:0.198 GY:1.008 GZ:1.740 | T:24.91 C
I (573115) mpu6050 stream: AX:-0.062 AY:0.101 AZ:-0.970 | GX:0.412 GY:1.282 GZ:1.588 | T:25.00 C
I (573125) mpu6050 stream: AX:-0.049 AY:0.103 AZ:-0.956 | GX:0.198 GY:1.282 GZ:1.389 | T:24.91 C
I (573135) mpu6050 stream: AX:-0.046 AY:0.110 AZ:-0.943 | GX:0.244 GY:0.992 GZ:1.191 | T:24.91 C
I (573145) mpu6050 stream: AX:-0.047 AY:0.102 AZ:-0.949 | GX:0.046 GY:0.763 GZ:1.206 | T:25.00 C
I (573155) mpu6050 stream: AX:-0.042 AY:0.103 AZ:-0.951 | GX:0.046 GY:0.214 GZ:0.962 | T:25.00 C
I (573165) mpu6050 stream: AX:-0.051 AY:0.105 AZ:-0.944 | GX:-0.137 GY:0.092 GZ:1.084 | T:25.00 C
I (573175) mpu6050 stream: AX:-0.053 AY:0.103 AZ:-0.954 | GX:-0.183 GY:-0.015 GZ:0.840 | T:24.91 C
I (573185) mpu6050 stream: AX:-0.055 AY:0.106 AZ:-0.954 | GX:-0.061 GY:-0.305 GZ:0.794 | T:25.00 C
I (573195) mpu6050 stream: AX:-0.054 AY:0.107 AZ:-0.944 | GX:0.000 GY:-0.137 GZ:0.840 | T:24.91 C
I (573205) mpu6050 stream: AX:-0.050 AY:0.109 AZ:-0.956 | GX:0.092 GY:-0.244 GZ:0.763 | T:25.00 C
I (573215) mpu6050 stream: AX:-0.054 AY:0.113 AZ:-0.953 | GX:-0.244 GY:-0.229 GZ:0.977 | T:24.95 C
I (573225) mpu6050 stream: AX:-0.056 AY:0.110 AZ:-0.956 | GX:-0.412 GY:0.290 GZ:0.962 | T:24.95 C
I (573235) mpu6050 stream: AX:-0.051 AY:0.112 AZ:-0.955 | GX:-0.137 GY:0.336 GZ:1.084 | T:24.95 C
I (573245) mpu6050 stream: AX:-0.053 AY:0.114 AZ:-0.956 | GX:0.198 GY:0.229 GZ:1.252 | T:24.95 C
I (573255) mpu6050 stream: AX:-0.054 AY:0.101 AZ:-0.949 | GX:0.565 GY:0.443 GZ:1.221 | T:24.95 C
I (573265) mpu6050 stream: AX:-0.058 AY:0.105 AZ:-0.953 | GX:0.794 GY:1.237 GZ:1.313 | T:25.05 C
I (573275) mpu6050 stream: AX:-0.047 AY:0.102 AZ:-0.958 | GX:0.641 GY:1.496 GZ:1.130 | T:24.95 C
I (573285) mpu6050 stream: AX:-0.047 AY:0.103 AZ:-0.963 | GX:0.214 GY:1.084 GZ:1.038 | T:24.86 C
I (573295) mpu6050 stream: AX:-0.043 AY:0.104 AZ:-0.968 | GX:-0.855 GY:1.191 GZ:0.840 | T:24.86 C
I (573305) mpu6050 stream: AX:-0.042 AY:0.105 AZ:-0.963 | GX:-1.542 GY:0.977 GZ:0.794 | T:24.95 C
I (573315) mpu6050 stream: AX:-0.040 AY:0.114 AZ:-0.962 | GX:-1.359 GY:1.023 GZ:0.855 | T:24.95 C
I (573325) mpu6050 stream: AX:-0.054 AY:0.118 AZ:-0.960 | GX:0.519 GY:0.885 GZ:1.038 | T:24.95 C
I (573335) mpu6050 stream: AX:-0.051 AY:0.115 AZ:-0.947 | GX:1.802 GY:1.038 GZ:1.282 | T:24.95 C
I (573345) mpu6050 stream: AX:-0.047 AY:0.107 AZ:-0.954 | GX:2.031 GY:1.099 GZ:1.267 | T:24.95 C
I (573355) mpu6050 stream: AX:-0.040 AY:0.101 AZ:-0.953 | GX:1.878 GY:1.084 GZ:1.466 | T:24.86 C
I (573365) mpu6050 stream: AX:-0.048 AY:0.096 AZ:-0.956 | GX:0.168 GY:0.519 GZ:1.481 | T:24.95 C
I (573375) mpu6050 stream: AX:-0.049 AY:0.099 AZ:-0.958 | GX:-0.855 GY:0.550 GZ:1.420 | T:24.95 C
I (573385) mpu6050 stream: AX:-0.054 AY:0.097 AZ:-0.956 | GX:-2.397 GY:0.519 GZ:1.191 | T:24.86 C
I (573395) mpu6050 stream: AX:-0.052 AY:0.108 AZ:-0.951 | GX:-1.664 GY:1.008 GZ:1.420 | T:24.86 C
I (573405) mpu6050 stream: AX:-0.045 AY:0.107 AZ:-0.948 | GX:-0.565 GY:0.916 GZ:1.618 | T:24.95 C
