I (609145) mpu6050 stream: AX:0.060 AY:0.081 AZ:-0.966 | GX:0.611 GY:0.427 GZ:1.802 | T:24.91 C
I (609155) mpu6050 stream: AX:0.067 AY:0.075 AZ:-0.958 | GX:0.595 GY:0.336 GZ:1.786 | T:24.91 C
I (609165) mpu6050 stream: AX:0.071 AY:0.077 AZ:-0.954 | GX:0.244 GY:0.260 GZ:1.893 | T:24.91 C
I (609175) mpu6050 stream: AX:0.071 AY:0.072 AZ:-0.955 | GX:0.214 GY:0.305 GZ:1.710 | T:25.00 C
I (609185) mpu6050 stream: AX:0.070 AY:0.073 AZ:-0.961 | GX:0.290 GY:0.000 GZ:1.786 | T:24.91 C
I (609195) mpu6050 stream: AX:0.070 AY:0.072 AZ:-0.955 | GX:0.061 GY:0.000 GZ:1.756 | T:24.81 C
I (609205) mpu6050 stream: AX:0.071 AY:0.075 AZ:-0.952 | GX:0.092 GY:-0.214 GZ:1.679 | T:25.00 C
I (609215) mpu6050 stream: AX:0.073 AY:0.076 AZ:-0.949 | GX:-0.061 GY:-0.046 GZ:1.710 | T:24.91 C
I (609225) mpu6050 stream: AX:0.064 AY:0.071 AZ:-0.963 | GX:0.168 GY:-0.092 GZ:1.618 | T:24.91 C
I (609235) mpu6050 stream: AX:0.071 AY:0.075 AZ:-0.948 | GX:0.153 GY:-0.031 GZ:1.450 | T:25.00 C
I (609245) mpu6050 stream: AX:0.065 AY:0.068 AZ:-0.956 | GX:-0.015 GY:0.321 GZ:1.542 | T:24.91 C
I (609255) mpu6050 stream: AX:0.072 AY:0.073 AZ:-0.954 | GX:-0.275 GY:0.229 GZ:1.160 | T:25.00 C
I (609265) mpu6050 stream: AX:0.071 AY:0.065 AZ:-0.959 | GX:-0.718 GY:0.061 GZ:0.962 | T:25.00 C
I (609275) mpu6050 stream: AX:0.072 AY:0.067 AZ:-0.949 | GX:-0.260 GY:-0.031 GZ:0.611 | T:24.91 C
I (609285) mpu6050 stream: AX:0.069 AY:0.067 AZ:-0.954 | GX:-0.977 GY:-0.458 GZ:0.382 | T:24.91 C
I (609295) mpu6050 stream: AX:0.067 AY:0.070 AZ:-0.954 | GX:-1.038 GY:-0.672 GZ:-0.031 | T:25.00 C
