I (206205) mpu6050 stream: AX:-0.148 AY:0.103 AZ:-0.940 | GX:-0.595 GY:-0.702 GZ:1.450 | T:25.19 C
I (206215) mpu6050 stream: AX:-0.153 AY:0.106 AZ:-0.946 | GX:0.076 GY:-0.656 GZ:1.710 | T:25.19 C
I (206225) mpu6050 stream: AX:-0.150 AY:0.102 AZ:-0.943 | GX:0.840 GY:-0.580 GZ:1.847 | T:25.14 C
I (206235) mpu6050 stream: AX:-0.151 AY:0.107 AZ:-0.929 | GX:0.855 GY:-0.504 GZ:1.939 | T:25.24 C
I (206245) mpu6050 stream: AX:-0.160 AY:0.101 AZ:-0.946 | GX:0.092 GY:-0.718 GZ:1.863 | T:25.24 C
I (206255) mpu6050 stream: AX:-0.163 AY:0.099 AZ:-0.948 | GX:-0.336 GY:-0.443 GZ:2.137 | T:25.24 C
I (206265) mpu6050 stream: AX:-0.153 AY:0.099 AZ:-0.952 | GX:-0.992 GY:-0.198 GZ:1.802 | T:25.24 C
I (206275) mpu6050 stream: AX:-0.151 AY:0.095 AZ:-0.946 | GX:-0.656 GY:-0.198 GZ:1.573 | T:25.24 C
I (206285) mpu6050 stream: AX:-0.153 AY:0.094 AZ:-0.941 | GX:-0.473 GY:-0.031 GZ:1.191 | T:25.24 C
I (206295) mpu6050 stream: AX:-0.148 AY:0.096 AZ:-0.939 | GX:-0.351 GY:-0.397 GZ:1.206 | T:25.24 C
I (206305) mpu6050 stream: AX:-0.152 AY:0.094 AZ:-0.933 | GX:-0.305 GY:-0.718 GZ:0.702 | T:25.14 C
I (206315) mpu6050 stream: AX:-0.146 AY:0.102 AZ:-0.940 | GX:-0.366 GY:-1.298 GZ:0.443 | T:25.24 C
I (206325) mpu6050 stream: AX:-0.147 AY:0.104 AZ:-0.947 | GX:-0.168 GY:-1.847 GZ:0.336 | T:25.24 C
I (206335) mpu6050 stream: AX:-0.146 AY:0.099 AZ:-0.941 | GX:-0.198 GY:-1.786 GZ:0.198 | T:25.24 C
I (206345) mpu6050 stream: AX:-0.155 AY:0.102 AZ:-0.953 | GX:0.092 GY:-1.863 GZ:0.244 | T:25.24 C
I (206355) mpu6050 stream: AX:-0.164 AY:0.100 AZ:-0.960 | GX:-0.168 GY:-1.008 GZ:0.321 | T:25.24 C
I (206365) mpu6050 stream: AX:-0.162 AY:0.105 AZ:-0.967 | GX:-0.321 GY:-0.260 GZ:0.519 | T:25.24 C
