I (248335) mpu6050 stream: AX:-0.177 AY:0.067 AZ:-0.912 | GX:-0.275 GY:7.237 GZ:-0.687 | T:25.28 C
I (248345) mpu6050 stream: AX:-0.174 AY:0.070 AZ:-0.917 | GX:-0.916 GY:5.969 GZ:-0.595 | T:25.38 C
I (248355) mpu6050 stream: AX:-0.185 AY:0.075 AZ:-0.932 | GX:-1.664 GY:5.328 GZ:-0.641 | T:25.28 C
I (248365) mpu6050 stream: AX:-0.184 AY:0.086 AZ:-0.938 | GX:-1.817 GY:5.618 GZ:-0.290 | T:25.28 C
I (248375) mpu6050 stream: AX:-0.186 AY:0.090 AZ:-0.936 | GX:-1.466 GY:5.313 GZ:-0.214 | T:25.19 C
I (248385) mpu6050 stream: AX:-0.187 AY:0.091 AZ:-0.933 | GX:-0.519 GY:5.008 GZ:0.092 | T:25.28 C
I (248395) mpu6050 stream: AX:-0.182 AY:0.089 AZ:-0.921 | GX:0.534 GY:4.168 GZ:0.366 | T:25.28 C
I (248405) mpu6050 stream: AX:-0.176 AY:0.085 AZ:-0.904 | GX:1.099 GY:3.603 GZ:0.626 | T:25.28 C
I (248415) mpu6050 stream: AX:-0.173 AY:0.080 AZ:-0.906 | GX:1.191 GY:2.611 GZ:0.779 | T:25.19 C
I (248425) mpu6050 stream: AX:-0.172 AY:0.076 AZ:-0.899 | GX:0.565 GY:1.481 GZ:1.130 | T:25.28 C
I (248435) mpu6050 stream: AX:-0.173 AY:0.078 AZ:-0.896 | GX:-0.229 GY:-0.290 GZ:1.053 | T:25.28 C
I (248445) mpu6050 stream: AX:-0.189 AY:0.073 AZ:-0.918 | GX:-1.344 GY:-1.618 GZ:1.038 | T:25.28 C
I (248455) mpu6050 stream: AX:-0.196 AY:0.078 AZ:-0.939 | GX:-2.275 GY:-1.664 GZ:1.099 | T:25.28 C
I (248465) mpu6050 stream: AX:-0.206 AY:0.085 AZ:-0.946 | GX:-2.519 GY:-0.916 GZ:1.282 | T:25.28 C
I (248475) mpu6050 stream: AX:-0.206 AY:0.086 AZ:-0.948 | GX:-2.000 GY:-0.137 GZ:1.511 | T:25.28 C
I (248485) mpu6050 stream: AX:-0.203 AY:0.088 AZ:-0.958 | GX:-0.947 GY:0.519 GZ:1.832 | T:25.19 C
I (248495) mpu6050 stream: AX:-0.194 AY:0.090 AZ:-0.934 | GX:-0.137 GY:0.519 GZ:2.046 | T:25.28 C
I (248505) mpu6050 stream: AX:-0.193 AY:0.082 AZ:-0.930 | GX:0.046 GY:0.153 GZ:1.939 | T:25.28 C
I (248515) mpu6050 stream: AX:-0.186 AY:0.079 AZ:-0.933 | GX:-0.412 GY:-0.336 GZ:2.015 | T:25.28 C
I (248525) mpu6050 stream: AX:-0.190 AY:0.079 AZ:-0.935 | GX:-1.084 GY:-0.794 GZ:1.939 | T:25.24 C
I (248535) mpu6050 stream: AX:-0.195 AY:0.088 AZ:-0.931 | GX:-1.786 GY:-0.534 GZ:1.618 | T:25.24 C
I (248545) mpu6050 stream: AX:-0.189 AY:0.081 AZ:-0.934 | GX:-1.756 GY:-0.962 GZ:1.527 | T:25.24 C
