I (254355) mpu6050 stream: AX:-0.207 AY:0.075 AZ:-0.917 | GX:1.786 GY:7.496 GZ:1.282 | T:25.28 C
I (254365) mpu6050 stream: AX:-0.205 AY:0.085 AZ:-0.923 | GX:1.710 GY:7.008 GZ:1.191 | T:25.28 C
I (254375) mpu6050 stream: AX:-0.202 AY:0.079 AZ:-0.932 | GX:1.145 GY:5.954 GZ:1.191 | T:25.28 C
I (254385) mpu6050 stream: AX:-0.216 AY:0.075 AZ:-0.935 | GX:0.351 GY:5.664 GZ:1.298 | T:25.19 C
I (254395) mpu6050 stream: AX:-0.219 AY:0.086 AZ:-0.955 | GX:-0.046 GY:5.985 GZ:1.084 | T:25.28 C
I (254405) mpu6050 stream: AX:-0.225 AY:0.083 AZ:-0.960 | GX:-0.198 GY:7.069 GZ:1.069 | T:25.19 C
I (254415) mpu6050 stream: AX:-0.225 AY:0.091 AZ:-0.964 | GX:0.305 GY:8.595 GZ:1.237 | T:25.28 C
I (254425) mpu6050 stream: AX:-0.213 AY:0.089 AZ:-0.964 | GX:1.084 GY:9.985 GZ:1.466 | T:25.19 C
I (254435) mpu6050 stream: AX:-0.201 AY:0.088 AZ:-0.939 | GX:2.107 GY:10.595 GZ:1.557 | T:25.09 C
I (254445) mpu6050 stream: AX:-0.192 AY:0.092 AZ:-0.925 | GX:2.824 GY:10.092 GZ:1.496 | T:25.19 C
I (254455) mpu6050 stream: AX:-0.187 AY:0.089 AZ:-0.904 | GX:3.008 GY:9.206 GZ:1.481 | T:25.28 C
I (254465) mpu6050 stream: AX:-0.179 AY:0.090 AZ:-0.906 | GX:3.115 GY:7.802 GZ:1.496 | T:25.38 C
I (254475) mpu6050 stream: AX:-0.189 AY:0.079 AZ:-0.925 | GX:2.779 GY:6.260 GZ:1.267 | T:25.28 C
I (254485) mpu6050 stream: AX:-0.198 AY:0.082 AZ:-0.943 | GX:2.198 GY:6.366 GZ:1.298 | T:25.28 C
I (254495) mpu6050 stream: AX:-0.217 AY:0.079 AZ:-0.955 | GX:1.969 GY:7.496 GZ:1.420 | T:25.33 C
I (254505) mpu6050 stream: AX:-0.207 AY:0.081 AZ:-0.958 | GX:2.580 GY:9.008 GZ:1.511 | T:25.33 C
I (254515) mpu6050 stream: AX:-0.199 AY:0.077 AZ:-0.942 | GX:3.588 GY:9.588 GZ:1.573 | T:25.33 C
I (254525) mpu6050 stream: AX:-0.198 AY:0.074 AZ:-0.934 | GX:4.656 GY:9.450 GZ:1.634 | T:25.24 C
I (254535) mpu6050 stream: AX:-0.183 AY:0.073 AZ:-0.927 | GX:4.519 GY:9.053 GZ:1.496 | T:25.24 C
I (254545) mpu6050 stream: AX:-0.176 AY:0.071 AZ:-0.916 | GX:3.618 GY:8.321 GZ:1.405 | T:25.33 C
I (254555) mpu6050 stream: AX:-0.161 AY:0.058 AZ:-0.910 | GX:2.672 GY:7.130 GZ:1.527 | T:25.24 C
I (254565) mpu6050 stream: AX:-0.155 AY:0.061 AZ:-0.895 | GX:1.847 GY:5.573 GZ:1.725 | T:25.24 C
I (254575) mpu6050 stream: AX:-0.148 AY:0.059 AZ:-0.895 | GX:1.435 GY:3.237 GZ:1.573 | T:25.24 C
I (254585) mpu6050 stream: AX:-0.149 AY:0.052 AZ:-0.899 | GX:1.237 GY:1.405 GZ:1.435 | T:25.24 C
I (254595) mpu6050 stream: AX:-0.153 AY:0.051 AZ:-0.901 | GX:0.473 GY:-0.733 GZ:1.130 | T:25.24 C
I (254605) mpu6050 stream: AX:-0.164 AY:0.055 AZ:-0.918 | GX:-0.672 GY:-2.427 GZ:0.779 | T:25.24 C
I (254615) mpu6050 stream: AX:-0.178 AY:0.061 AZ:-0.943 | GX:-2.198 GY:-2.412 GZ:0.656 | T:25.24 C
I (254625) mpu6050 stream: AX:-0.191 AY:0.069 AZ:-0.961 | GX:-2.656 GY:-1.710 GZ:0.519 | T:25.24 C
I (254635) mpu6050 stream: AX:-0.187 AY:0.073 AZ:-0.942 | GX:-1.893 GY:-0.718 GZ:0.656 | T:25.33 C
I (254645) mpu6050 stream: AX:-0.187 AY:0.075 AZ:-0.951 | GX:-0.260 GY:-0.519 GZ:0.733 | T:25.24 C
I (254655) mpu6050 stream: AX:-0.186 AY:0.069 AZ:-0.947 | GX:0.779 GY:-0.427 GZ:0.794 | T:25.24 C
I (254665) mpu6050 stream: AX:-0.195 AY:0.062 AZ:-0.948 | GX:0.702 GY:0.046 GZ:0.672 | T:25.24 C
I (254675) mpu6050 stream: AX:-0.187 AY:0.064 AZ:-0.952 | GX:-0.412 GY:0.137 GZ:0.534 | T:25.33 C
I (254685) mpu6050 stream: AX:-0.194 AY:0.072 AZ:-0.962 | GX:-1.832 GY:0.611 GZ:0.351 | T:25.33 C
I (254695) mpu6050 stream: AX:-0.200 AY:0.073 AZ:-0.966 | GX:-2.061 GY:1.588 GZ:0.427 | T:25.24 C
I (254705) mpu6050 stream: AX:-0.204 AY:0.078 AZ:-0.968 | GX:-1.053 GY:2.763 GZ:0.473 | T:25.33 C
I (254715) mpu6050 stream: AX:-0.200 AY:0.071 AZ:-0.965 | GX:0.748 GY:3.786 GZ:0.565 | T:25.33 C
I (254725) mpu6050 stream: AX:-0.186 AY:0.070 AZ:-0.941 | GX:1.740 GY:4.092 GZ:0.687 | T:25.24 C
