I (302475) mpu6050 stream: AX:-0.152 AY:0.074 AZ:-0.952 | GX:-0.443 GY:0.427 GZ:1.725 | T:25.19 C
I (302485) mpu6050 stream: AX:-0.154 AY:0.086 AZ:-0.946 | GX:-0.427 GY:0.458 GZ:1.618 | T:25.24 C
I (302495) mpu6050 stream: AX:-0.156 AY:0.082 AZ:-0.952 | GX:-0.443 GY:0.901 GZ:1.786 | T:25.28 C
I (302505) mpu6050 stream: AX:-0.161 AY:0.081 AZ:-0.956 | GX:-0.534 GY:1.221 GZ:1.527 | T:25.19 C
I (302515) mpu6050 stream: AX:-0.153 AY:0.082 AZ:-0.951 | GX:-0.565 GY:1.389 GZ:1.420 | T:25.19 C
I (302525) mpu6050 stream: AX:-0.155 AY:0.082 AZ:-0.942 | GX:-0.656 GY:1.008 GZ:1.267 | T:25.19 C
I (302535) mpu6050 stream: AX:-0.151 AY:0.082 AZ:-0.955 | GX:-0.443 GY:0.809 GZ:1.160 | T:25.28 C
I (302545) mpu6050 stream: AX:-0.153 AY:0.082 AZ:-0.934 | GX:-0.565 GY:0.687 GZ:0.794 | T:25.28 C
I (302555) mpu6050 stream: AX:-0.156 AY:0.080 AZ:-0.946 | GX:-0.397 GY:0.916 GZ:0.855 | T:25.28 C
I (302565) mpu6050 stream: AX:-0.151 AY:0.085 AZ:-0.944 | GX:-0.580 GY:0.885 GZ:0.534 | T:25.28 C
I (302575) mpu6050 stream: AX:-0.154 AY:0.080 AZ:-0.937 | GX:-0.672 GY:0.901 GZ:0.611 | T:25.28 C
I (302585) mpu6050 stream: AX:-0.153 AY:0.084 AZ:-0.948 | GX:-0.855 GY:0.626 GZ:0.382 | T:25.19 C
I (302595) mpu6050 stream: AX:-0.153 AY:0.085 AZ:-0.947 | GX:-0.824 GY:0.611 GZ:0.382 | T:25.28 C
I (302605) mpu6050 stream: AX:-0.159 AY:0.082 AZ:-0.948 | GX:-0.626 GY:0.534 GZ:0.489 | T:25.28 C
I (302615) mpu6050 stream: AX:-0.151 AY:0.087 AZ:-0.947 | GX:-0.626 GY:0.351 GZ:0.550 | T:25.19 C
