I (364625) mpu6050 stream: AX:-0.074 AY:0.082 AZ:-0.965 | GX:-0.382 GY:-0.733 GZ:-0.321 | T:25.19 C
I (364635) mpu6050 stream: AX:-0.080 AY:0.072 AZ:-0.966 | GX:-0.260 GY:-0.519 GZ:-1.084 | T:25.19 C
I (364645) mpu6050 stream: AX:-0.070 AY:0.084 AZ:-0.956 | GX:-0.641 GY:-0.321 GZ:-1.313 | T:25.28 C
I (364655) mpu6050 stream: AX:-0.075 AY:0.083 AZ:-0.966 | GX:-0.382 GY:-0.580 GZ:-1.817 | T:25.19 C
I (364665) mpu6050 stream: AX:-0.076 AY:0.091 AZ:-0.961 | GX:-0.092 GY:-0.855 GZ:-1.832 | T:25.09 C
I (364675) mpu6050 stream: AX:-0.070 AY:0.090 AZ:-0.966 | GX:0.351 GY:-0.534 GZ:-1.710 | T:25.19 C
I (364685) mpu6050 stream: AX:-0.072 AY:0.095 AZ:-0.958 | GX:0.672 GY:-0.504 GZ:-1.542 | T:25.28 C
I (364695) mpu6050 stream: AX:-0.068 AY:0.089 AZ:-0.952 | GX:0.611 GY:-0.382 GZ:-1.573 | T:25.09 C
I (364705) mpu6050 stream: AX:-0.073 AY:0.084 AZ:-0.957 | GX:0.504 GY:-0.519 GZ:-1.313 | T:25.09 C
I (364715) mpu6050 stream: AX:-0.071 AY:0.087 AZ:-0.957 | GX:0.321 GY:-0.534 GZ:-1.252 | T:25.09 C
I (364725) mpu6050 stream: AX:-0.070 AY:0.096 AZ:-0.945 | GX:0.092 GY:-0.443 GZ:-0.992 | T:25.19 C
I (364735) mpu6050 stream: AX:-0.068 AY:0.095 AZ:-0.954 | GX:0.382 GY:-0.733 GZ:-0.626 | T:25.19 C
I (364745) mpu6050 stream: AX:-0.070 AY:0.093 AZ:-0.950 | GX:0.718 GY:-0.763 GZ:-0.198 | T:25.09 C
I (364755) mpu6050 stream: AX:-0.073 AY:0.094 AZ:-0.952 | GX:0.870 GY:-1.237 GZ:0.550 | T:25.19 C
I (364765) mpu6050 stream: AX:-0.073 AY:0.090 AZ:-0.959 | GX:1.145 GY:-1.130 GZ:1.038 | T:25.19 C
I (364775) mpu6050 stream: AX:-0.072 AY:0.087 AZ:-0.956 | GX:1.099 GY:-1.542 GZ:1.282 | T:25.19 C
I (364785) mpu6050 stream: AX:-0.076 AY:0.083 AZ:-0.952 | GX:0.855 GY:-1.511 GZ:1.542 | T:25.19 C
I (364795) mpu6050 stream: AX:-0.081 AY:0.085 AZ:-0.959 | GX:1.038 GY:-1.725 GZ:2.000 | T:25.19 C
I (364805) mpu6050 stream: AX:-0.074 AY:0.081 AZ:-0.958 | GX:0.076 GY:-1.389 GZ:2.153 | T:25.19 C
I (364815) mpu6050 stream: AX:-0.084 AY:0.086 AZ:-0.962 | GX:0.336 GY:-1.344 GZ:2.366 | T:25.19 C
I (364825) mpu6050 stream: AX:-0.081 AY:0.082 AZ:-0.970 | GX:0.275 GY:-1.511 GZ:2.260 | T:25.28 C
I (364835) mpu6050 stream: AX:-0.081 AY:0.082 AZ:-0.969 | GX:0.489 GY:-1.038 GZ:2.580 | T:25.19 C
I (364845) mpu6050 stream: AX:-0.075 AY:0.079 AZ:-0.968 | GX:0.336 GY:-1.099 GZ:2.290 | T:25.19 C
I (364855) mpu6050 stream: AX:-0.078 AY:0.080 AZ:-0.963 | GX:0.336 GY:-0.611 GZ:2.519 | T:25.19 C
I (364865) mpu6050 stream: AX:-0.078 AY:0.083 AZ:-0.957 | GX:0.321 GY:-0.626 GZ:2.153 | T:25.19 C
I (364875) mpu6050 stream: AX:-0.083 AY:0.076 AZ:-0.963 | GX:0.443 GY:-0.443 GZ:1.985 | T:25.19 C
I (364885) mpu6050 stream: AX:-0.080 AY:0.073 AZ:-0.963 | GX:0.427 GY:-0.183 GZ:1.695 | T:25.19 C
I (364895) mpu6050 stream: AX:-0.081 AY:0.068 AZ:-0.967 | GX:0.397 GY:-0.122 GZ:1.542 | T:25.14 C
I (364905) mpu6050 stream: AX:-0.083 AY:0.078 AZ:-0.964 | GX:0.244 GY:0.153 GZ:1.237 | T:25.14 C
I (364915) mpu6050 stream: AX:-0.079 AY:0.076 AZ:-0.962 | GX:0.092 GY:0.412 GZ:0.885 | T:25.24 C
I (364925) mpu6050 stream: AX:-0.074 AY:0.073 AZ:-0.960 | GX:0.229 GY:0.870 GZ:0.397 | T:25.24 C
I (364935) mpu6050 stream: AX:-0.069 AY:0.072 AZ:-0.945 | GX:0.031 GY:0.885 GZ:0.321 | T:25.14 C
I (364945) mpu6050 stream: AX:-0.073 AY:0.074 AZ:-0.967 | GX:-0.015 GY:0.733 GZ:0.000 | T:25.14 C
I (364955) mpu6050 stream: AX:-0.071 AY:0.075 AZ:-0.955 | GX:-0.336 GY:0.641 GZ:-0.214 | T:25.24 C
I (364965) mpu6050 stream: AX:-0.076 AY:0.079 AZ:-0.952 | GX:-0.656 GY:0.366 GZ:-0.504 | T:25.14 C
I (364975) mpu6050 stream: AX:-0.080 AY:0.085 AZ:-0.956 | GX:-0.580 GY:0.153 GZ:-0.473 | T:25.24 C
I (364985) mpu6050 stream: AX:-0.075 AY:0.083 AZ:-0.955 | GX:-0.427 GY:0.260 GZ:-0.489 | T:25.24 C
I (364995) mpu6050 stream: AX:-0.077 AY:0.084 AZ:-0.954 | GX:-0.550 GY:0.107 GZ:-0.580 | T:25.14 C
I (365005) mpu6050 stream: AX:-0.078 AY:0.084 AZ:-0.958 | GX:-0.229 GY:-0.092 GZ:-0.534 | T:25.24 C
I (365015) mpu6050 stream: AX:-0.073 AY:0.085 AZ:-0.957 | GX:-0.229 GY:-0.137 GZ:-0.366 | T:25.24 C
I (365025) mpu6050 stream: AX:-0.080 AY:0.082 AZ:-0.964 | GX:-0.076 GY:-0.076 GZ:-0.458 | T:25.14 C
