I (394675) mpu6050 stream: AX:-0.108 AY:0.108 AZ:-0.953 | GX:1.206 GY:0.427 GZ:0.519 | T:25.19 C
I (394685) mpu6050 stream: AX:-0.115 AY:0.105 AZ:-0.952 | GX:1.099 GY:0.153 GZ:0.840 | T:25.19 C
I (394695) mpu6050 stream: AX:-0.116 AY:0.100 AZ:-0.944 | GX:0.992 GY:0.092 GZ:0.840 | T:25.19 C
I (394705) mpu6050 stream: AX:-0.108 AY:0.100 AZ:-0.944 | GX:0.779 GY:0.137 GZ:0.748 | T:25.19 C
I (394715) mpu6050 stream: AX:-0.114 AY:0.099 AZ:-0.936 | GX:1.130 GY:0.092 GZ:0.672 | T:25.19 C
I (394725) mpu6050 stream: AX:-0.111 AY:0.103 AZ:-0.967 | GX:-0.198 GY:0.260 GZ:0.779 | T:25.19 C
I (394735) mpu6050 stream: AX:-0.109 AY:0.098 AZ:-0.963 | GX:-0.412 GY:0.275 GZ:0.687 | T:25.28 C
I (394745) mpu6050 stream: AX:-0.113 AY:0.104 AZ:-0.954 | GX:-0.824 GY:0.656 GZ:0.534 | T:25.19 C
I (394755) mpu6050 stream: AX:-0.111 AY:0.113 AZ:-0.950 | GX:-0.550 GY:0.397 GZ:0.885 | T:25.19 C
I (394765) mpu6050 stream: AX:-0.108 AY:0.114 AZ:-0.938 | GX:0.794 GY:0.046 GZ:0.702 | T:25.19 C
I (394775) mpu6050 stream: AX:-0.115 AY:0.107 AZ:-0.943 | GX:1.878 GY:-0.656 GZ:0.733 | T:25.19 C
I (394785) mpu6050 stream: AX:-0.114 AY:0.101 AZ:-0.937 | GX:2.351 GY:-0.565 GZ:0.992 | T:25.19 C
I (394795) mpu6050 stream: AX:-0.112 AY:0.096 AZ:-0.956 | GX:0.992 GY:-0.916 GZ:0.794 | T:25.19 C
I (394805) mpu6050 stream: AX:-0.113 AY:0.102 AZ:-0.947 | GX:0.153 GY:-1.008 GZ:0.748 | T:25.09 C
I (394815) mpu6050 stream: AX:-0.122 AY:0.101 AZ:-0.945 | GX:-1.023 GY:-1.298 GZ:0.595 | T:25.19 C
I (394825) mpu6050 stream: AX:-0.115 AY:0.108 AZ:-0.946 | GX:-0.580 GY:-1.298 GZ:0.779 | T:25.19 C
I (394835) mpu6050 stream: AX:-0.118 AY:0.100 AZ:-0.939 | GX:-0.198 GY:-1.267 GZ:0.931 | T:25.19 C
I (394845) mpu6050 stream: AX:-0.122 AY:0.102 AZ:-0.941 | GX:0.305 GY:-1.084 GZ:0.916 | T:25.19 C
I (394855) mpu6050 stream: AX:-0.124 AY:0.109 AZ:-0.947 | GX:0.595 GY:-0.885 GZ:1.145 | T:25.19 C
I (394865) mpu6050 stream: AX:-0.119 AY:0.104 AZ:-0.946 | GX:0.198 GY:-1.023 GZ:1.023 | T:25.19 C
I (394875) mpu6050 stream: AX:-0.121 AY:0.101 AZ:-0.942 | GX:-0.061 GY:-0.916 GZ:1.053 | T:25.19 C
I (394885) mpu6050 stream: AX:-0.118 AY:0.100 AZ:-0.951 | GX:-0.427 GY:-0.992 GZ:0.855 | T:25.19 C
I (394895) mpu6050 stream: AX:-0.124 AY:0.100 AZ:-0.948 | GX:-0.214 GY:-0.626 GZ:0.779 | T:25.19 C
I (394905) mpu6050 stream: AX:-0.115 AY:0.099 AZ:-0.954 | GX:-0.214 GY:-0.595 GZ:0.427 | T:25.19 C
I (394915) mpu6050 stream: AX:-0.127 AY:0.105 AZ:-0.956 | GX:-0.290 GY:-0.534 GZ:0.427 | T:25.19 C
I (394925) mpu6050 stream: AX:-0.127 AY:0.105 AZ:-0.958 | GX:-0.351 GY:-0.366 GZ:0.412 | T:25.09 C
I (394935) mpu6050 stream: AX:-0.124 AY:0.109 AZ:-0.944 | GX:-0.229 GY:-0.473 GZ:0.229 | T:25.19 C
I (394945) mpu6050 stream: AX:-0.130 AY:0.108 AZ:-0.957 | GX:0.000 GY:-0.855 GZ:0.305 | T:25.19 C
I (394955) mpu6050 stream: AX:-0.125 AY:0.106 AZ:-0.950 | GX:0.031 GY:-0.214 GZ:0.412 | T:25.19 C
I (394965) mpu6050 stream: AX:-0.124 AY:0.106 AZ:-0.961 | GX:0.031 GY:0.412 GZ:0.611 | T:25.09 C
I (394975) mpu6050 stream: AX:-0.124 AY:0.102 AZ:-0.958 | GX:-0.015 GY:0.718 GZ:0.458 | T:25.28 C
I (394985) mpu6050 stream: AX:-0.123 AY:0.112 AZ:-0.944 | GX:0.000 GY:0.702 GZ:0.672 | T:25.19 C
I (394995) mpu6050 stream: AX:-0.116 AY:0.114 AZ:-0.953 | GX:0.183 GY:0.519 GZ:0.672 | T:25.19 C
I (395005) mpu6050 stream: AX:-0.128 AY:0.112 AZ:-0.952 | GX:0.260 GY:0.626 GZ:1.023 | T:25.19 C
I (395015) mpu6050 stream: AX:-0.125 AY:0.109 AZ:-0.958 | GX:0.443 GY:1.053 GZ:1.466 | T:25.24 C
I (395025) mpu6050 stream: AX:-0.123 AY:0.105 AZ:-0.951 | GX:0.656 GY:1.206 GZ:1.603 | T:25.24 C
I (395035) mpu6050 stream: AX:-0.119 AY:0.107 AZ:-0.948 | GX:0.870 GY:1.237 GZ:1.893 | T:25.14 C
I (395045) mpu6050 stream: AX:-0.118 AY:0.099 AZ:-0.951 | GX:0.489 GY:1.130 GZ:1.557 | T:25.14 C
I (395055) mpu6050 stream: AX:-0.114 AY:0.108 AZ:-0.948 | GX:0.015 GY:1.069 GZ:1.725 | T:25.24 C
I (395065) mpu6050 stream: AX:-0.116 AY:0.102 AZ:-0.940 | GX:-0.366 GY:1.099 GZ:1.786 | T:25.24 C
I (395075) mpu6050 stream: AX:-0.115 AY:0.104 AZ:-0.945 | GX:-0.412 GY:0.748 GZ:1.603 | T:25.14 C
