I (400685) mpu6050 stream: AX:-0.116 AY:0.104 AZ:-0.945 | GX:-0.137 GY:-0.031 GZ:0.733 | T:25.19 C
I (400695) mpu6050 stream: AX:-0.116 AY:0.105 AZ:-0.942 | GX:-0.366 GY:-0.015 GZ:0.809 | T:25.19 C
I (400705) mpu6050 stream: AX:-0.115 AY:0.102 AZ:-0.948 | GX:-0.626 GY:-0.137 GZ:0.748 | T:25.19 C
I (400715) mpu6050 stream: AX:-0.115 AY:0.106 AZ:-0.956 | GX:-0.824 GY:-0.046 GZ:0.672 | T:25.19 C
I (400725) mpu6050 stream: AX:-0.109 AY:0.106 AZ:-0.953 | GX:-0.977 GY:-0.489 GZ:0.718 | T:25.19 C
I (400735) mpu6050 stream: AX:-0.121 AY:0.106 AZ:-0.953 | GX:-0.733 GY:0.015 GZ:0.656 | T:25.19 C
I (400745) mpu6050 stream: AX:-0.121 AY:0.105 AZ:-0.956 | GX:-0.580 GY:0.382 GZ:0.779 | T:25.19 C
I (400755) mpu6050 stream: AX:-0.122 AY:0.105 AZ:-0.958 | GX:-0.122 GY:0.580 GZ:0.504 | T:25.19 C
I (400765) mpu6050 stream: AX:-0.105 AY:0.097 AZ:-0.953 | GX:0.137 GY:0.397 GZ:0.641 | T:25.19 C
I (400775) mpu6050 stream: AX:-0.114 AY:0.100 AZ:-0.946 | GX:-0.260 GY:0.351 GZ:0.443 | T:25.09 C
I (400785) mpu6050 stream: AX:-0.117 AY:0.099 AZ:-0.954 | GX:-0.901 GY:0.427 GZ:0.519 | T:25.28 C
I (400795) mpu6050 stream: AX:-0.116 AY:0.109 AZ:-0.954 | GX:-1.756 GY:0.809 GZ:0.534 | T:25.09 C
I (400805) mpu6050 stream: AX:-0.114 AY:0.115 AZ:-0.946 | GX:-1.313 GY:0.672 GZ:0.458 | T:25.19 C
I (400815) mpu6050 stream: AX:-0.110 AY:0.115 AZ:-0.944 | GX:0.061 GY:0.275 GZ:0.214 | T:25.09 C
I (400825) mpu6050 stream: AX:-0.112 AY:0.115 AZ:-0.937 | GX:1.267 GY:-0.198 GZ:0.321 | T:25.19 C
I (400835) mpu6050 stream: AX:-0.109 AY:0.107 AZ:-0.943 | GX:2.153 GY:-0.305 GZ:0.580 | T:25.09 C
I (400845) mpu6050 stream: AX:-0.114 AY:0.107 AZ:-0.948 | GX:1.695 GY:-0.458 GZ:0.809 | T:25.19 C
I (400855) mpu6050 stream: AX:-0.123 AY:0.103 AZ:-0.947 | GX:0.366 GY:-0.702 GZ:0.580 | T:25.19 C
I (400865) mpu6050 stream: AX:-0.114 AY:0.102 AZ:-0.949 | GX:-0.824 GY:-0.916 GZ:0.855 | T:25.19 C
I (400875) mpu6050 stream: AX:-0.114 AY:0.105 AZ:-0.939 | GX:-1.496 GY:-1.191 GZ:1.084 | T:25.19 C
I (400885) mpu6050 stream: AX:-0.117 AY:0.112 AZ:-0.950 | GX:-1.328 GY:-1.115 GZ:1.221 | T:25.19 C
I (400895) mpu6050 stream: AX:-0.123 AY:0.112 AZ:-0.947 | GX:-0.672 GY:-1.053 GZ:1.466 | T:25.14 C
I (400905) mpu6050 stream: AX:-0.117 AY:0.116 AZ:-0.940 | GX:0.031 GY:-0.977 GZ:1.679 | T:25.14 C
I (400915) mpu6050 stream: AX:-0.119 AY:0.111 AZ:-0.948 | GX:0.519 GY:-1.053 GZ:1.695 | T:25.24 C
I (400925) mpu6050 stream: AX:-0.122 AY:0.101 AZ:-0.946 | GX:0.092 GY:-1.145 GZ:1.725 | T:25.14 C
