5) mpu6050 stream: AX:-0.114 AY:0.110 AZ:-0.923 | GX:9.664 GY:1. AZ:-0.914 | GX:4.031 GY:0.931 GZ:1.679 | T:25.14 C
I (182175) mpu6050 stream: AX:-0.094 AY:0.095 AZ:-0.897 | GX:0.137 GY:-0.260 GZ:1.557 | T:25.24 C
I (182185) mpu6050 stream: AX:-0.106 AY:0.096 AZ:-0.892 | GX:1.145 GY:-0.641 GZ:1.878 | T:25.24 C
I (182195) mpu6050 stream: AX:-0.104 AY:0.091 AZ:-0.908 | GX:1.786 GY:-1.160 GZ:1.649 | T:25.24 C
I (182205) mpu6050 stream: AX:-0.116 AY:0.088 AZ:-0.909 | GX:3.588 GY:-2.641 GZ:1.038 | T:25.14 C
I (182215) mpu6050 stream: AX:-0.117 AY:0.090 AZ:-0.929 | GX:3.511 GY:-2.763 GZ:0.183 | T:25.24 C
I (182225) mpu6050 stream: AX:-0.126 AY:0.098 AZ:-0.920 | GX:2.733 GY:-3.221 GZ:-0.229 | T:25.24 C
I (182235) mpu6050 stream: AX:-0.131 AY:0.102 AZ:-0.920 | GX:2.153 GY:-3.695 GZ:-0.763 | T:25.24 C
I (182245) mpu6050 stream: AX:-0.140 AY:0.098 AZ:-0.932 | GX:1.924 GY:-3.618 GZ:-0.840 | T:25.05 C
I (182255) mpu6050 stream: AX:-0.137 AY:0.098 AZ:-0.924 | GX:1.542 GY:-3.588 GZ:-0.977 | T:25.14 C
I (182265) mpu6050 stream: AX:-0.145 AY:0.091 AZ:-0.924 | GX:1.298 GY:-3.649 GZ:-1.557 | T:25.24 C
I (182275) mpu6050 stream: AX:-0.126 AY:0.089 AZ:-0.928 | GX:-2.290 GY:-4.855 GZ:-2.351 | T:25.14 C
I (182285) mpu6050 stream: AX:-0.132 AY:0.101 AZ:-0.914 | GX:-3.191 GY:-5.908 GZ:-2.977 | T:25.14 C
I (182295) mpu6050 stream: AX:-0.135 AY:0.115 AZ:-0.906 | GX:-4.809 GY:-6.779 GZ:-2.977 | T:25.24 C
I (182305) mpu6050 stream: AX:-0.131 AY:0.120 AZ:-0.885 | GX:-4.656 GY:-8.183 GZ:-2.870 | T:25.24 C
I (182315) mpu6050 stream: AX:-0.136 AY:0.120 AZ:-0.894 | GX:-4.321 GY:-10.397 GZ:-3.130 | T:25.14 C
I (182325) mpu6050 stream: AX:-0.142 AY:0.130 AZ:-0.913 | GX:-4.275 GY:-12.412 GZ:-3.374 | T:25.14 C
I (182335) mpu6050 stream: AX:-0.158 AY:0.133 AZ:-0.920 | GX:-4.107 GY:-13.023 GZ:-3.573 | T:25.09 C
I (182345) mpu6050 stream: AX:-0.166 AY:0.143 AZ:-0.922 | GX:-3.863 GY:-12.763 GZ:-3.115 | T:25.19 C
I (182355) mpu6050 stream: AX:-0.175 AY:0.136 AZ:-0.941 | GX:-4.473 GY:-12.519 GZ:-2.733 | T:25.19 C
I (182365) mpu6050 stream: AX:-0.178 AY:0.149 AZ:-0.933 | GX:-4.687 GY:-12.458 GZ:-2.275 | T:25.19 C
I (182375) mpu6050 stream: AX:-0.181 AY:0.152 AZ:-0.952 | GX:-4.534 GY:-11.573 GZ:-1.664 | T:25.28 C
I (182385) mpu6050 stream: AX:-0.183 AY:0.158 AZ:-0.957 | GX:-4.321 GY:-11.145 GZ:-0.763 | T:25.19 C
I (182395) mpu6050 stream: AX:-0.192 AY:0.157 AZ:-0.960 | GX:-3.252 GY:-10.931 GZ:-0.351 | T:25.19 C
I (182405) mpu6050 stream: AX:-0.197 AY:0.162 AZ:-0.959 | GX:-1.679 GY:-10.824 GZ:0.687 | T:25.19 C
I (182415) mpu6050 stream: AX:-0.198 AY:0.154 AZ:-0.970 | GX:-0.275 GY:-10.855 GZ:1.435 | T:25.28 C
I (182425) mpu6050 stream: AX:-0.207 AY:0.156 AZ:-0.974 | GX:0.702 GY:-10.397 GZ:2.489 | T:25.19 C
I (182435) mpu6050 stream: AX:-0.211 AY:0.152 AZ:-0.984 | GX:0.962 GY:-9.939 GZ:3.160 | T:25.19 C
I (182445) mpu6050 stream: AX:-0.221 AY:0.144 AZ:-0.999 | GX:0.702 GY:-9.282 GZ:3.847 | T:25.19 C
I (182455) mpu6050 stream: AX:-0.222 AY:0.129 AZ:-1.022 | GX:-0.031 GY:-7.771 GZ:4.229 | T:25.28 C
I (182465) mpu6050 stream: AX:-0.221 AY:0.128 AZ:-1.026 | GX:-0.962 GY:-5.908 GZ:4.412 | T:25.19 C
I (182475) mpu6050 stream: AX:-0.217 AY:0.119 AZ:-1.011 | GX:-1.405 GY:-3.832 GZ:4.244 | T:25.09 C
I (182485) mpu6050 stream: AX:-0.211 AY:0.121 AZ:-0.996 | GX:-1.817 GY:-2.153 GZ:3.863 | T:25.19 C
