I (188175) mpu6050 stream: AX:-0.042 AY:0.091 AZ:-0.952 | GX:-0.534 GY:-1.863 GZ:0.794 | T:25.14 C
I (188185) mpu6050 stream: AX:-0.053 AY:0.084 AZ:-0.955 | GX:-0.107 GY:-1.954 GZ:1.023 | T:25.14 C
I (188195) mpu6050 stream: AX:-0.053 AY:0.077 AZ:-0.971 | GX:-0.244 GY:-1.466 GZ:0.931 | T:25.24 C
I (188205) mpu6050 stream: AX:-0.054 AY:0.077 AZ:-0.960 | GX:-0.382 GY:-1.511 GZ:0.992 | T:25.14 C
I (188215) mpu6050 stream: AX:-0.057 AY:0.076 AZ:-0.964 | GX:-0.489 GY:-1.649 GZ:0.595 | T:25.24 C
I (188225) mpu6050 stream: AX:-0.055 AY:0.070 AZ:-0.960 | GX:-0.626 GY:-1.160 GZ:0.794 | T:25.24 C
I (188235) mpu6050 stream: AX:-0.051 AY:0.079 AZ:-0.957 | GX:-0.550 GY:-0.916 GZ:0.504 | T:25.14 C
I (188245) mpu6050 stream: AX:-0.048 AY:0.083 AZ:-0.949 | GX:-0.321 GY:-1.099 GZ:0.504 | T:25.33 C
I (188255) mpu6050 stream: AX:-0.051 AY:0.082 AZ:-0.956 | GX:-0.366 GY:-1.542 GZ:0.626 | T:25.24 C
I (188265) mpu6050 stream: AX:-0.054 AY:0.076 AZ:-0.955 | GX:-0.183 GY:-1.389 GZ:0.489 | T:25.24 C
I (188275) mpu6050 stream: AX:-0.058 AY:0.076 AZ:-0.961 | GX:-0.260 GY:-1.206 GZ:0.565 | T:25.24 C
I (188285) mpu6050 stream: AX:-0.066 AY:0.072 AZ:-0.966 | GX:-0.076 GY:-1.130 GZ:0.305 | T:25.14 C
I (188295) mpu6050 stream: AX:-0.055 AY:0.069 AZ:-0.965 | GX:-0.244 GY:-0.489 GZ:0.534 | T:25.14 C
I (188305) mpu6050 stream: AX:-0.060 AY:0.078 AZ:-0.959 | GX:-0.305 GY:-0.076 GZ:0.565 | T:25.24 C
I (188315) mpu6050 stream: AX:-0.051 AY:0.070 AZ:-0.974 | GX:-0.473 GY:0.076 GZ:0.504 | T:25.14 C
I (188325) mpu6050 stream: AX:-0.056 AY:0.075 AZ:-0.972 | GX:-0.656 GY:-0.229 GZ:0.473 | T:25.14 C
I (188335) mpu6050 stream: AX:-0.048 AY:0.081 AZ:-0.961 | GX:-0.687 GY:-0.321 GZ:0.382 | T:25.14 C
