I (200195) mpu6050 stream: AX:-0.159 AY:0.091 AZ:-0.926 | GX:-0.580 GY:0.809 GZ:0.702 | T:25.19 C
I (200205) mpu6050 stream: AX:-0.159 AY:0.094 AZ:-0.941 | GX:-0.626 GY:0.244 GZ:0.580 | T:25.19 C
I (200215) mpu6050 stream: AX:-0.156 AY:0.095 AZ:-0.933 | GX:-0.672 GY:-0.244 GZ:0.870 | T:25.19 C
I (200225) mpu6050 stream: AX:-0.154 AY:0.094 AZ:-0.935 | GX:-0.947 GY:-0.214 GZ:0.885 | T:25.19 C
I (200235) mpu6050 stream: AX:-0.155 AY:0.090 AZ:-0.946 | GX:-0.794 GY:-0.321 GZ:0.855 | T:25.19 C
I (200245) mpu6050 stream: AX:-0.155 AY:0.092 AZ:-0.943 | GX:-0.794 GY:-0.321 GZ:0.840 | T:25.19 C
I (200255) mpu6050 stream: AX:-0.156 AY:0.095 AZ:-0.948 | GX:-0.931 GY:-0.443 GZ:0.885 | T:25.28 C
I (200265) mpu6050 stream: AX:-0.160 AY:0.092 AZ:-0.943 | GX:-0.840 GY:-0.214 GZ:0.611 | T:25.19 C
I (200275) mpu6050 stream: AX:-0.158 AY:0.092 AZ:-0.945 | GX:-1.374 GY:0.092 GZ:0.504 | T:25.19 C
I (200285) mpu6050 stream: AX:-0.150 AY:0.090 AZ:-0.945 | GX:-1.527 GY:-0.122 GZ:0.565 | T:25.28 C
I (200295) mpu6050 stream: AX:-0.152 AY:0.095 AZ:-0.940 | GX:-1.832 GY:0.168 GZ:0.595 | T:25.19 C
I (200305) mpu6050 stream: AX:-0.149 AY:0.098 AZ:-0.944 | GX:-1.618 GY:-0.229 GZ:0.397 | T:25.19 C
I (200315) mpu6050 stream: AX:-0.150 AY:0.103 AZ:-0.937 | GX:-0.931 GY:-0.885 GZ:0.107 | T:25.28 C
I (200325) mpu6050 stream: AX:-0.151 AY:0.104 AZ:-0.934 | GX:0.229 GY:-1.420 GZ:0.122 | T:25.28 C
I (200335) mpu6050 stream: AX:-0.158 AY:0.104 AZ:-0.939 | GX:1.130 GY:-2.046 GZ:0.412 | T:25.19 C
I (200345) mpu6050 stream: AX:-0.165 AY:0.099 AZ:-0.942 | GX:1.389 GY:-2.122 GZ:0.519 | T:25.19 C
I (200355) mpu6050 stream: AX:-0.164 AY:0.090 AZ:-0.948 | GX:0.962 GY:-1.817 GZ:0.489 | T:25.28 C
I (200365) mpu6050 stream: AX:-0.167 AY:0.085 AZ:-0.948 | GX:-0.061 GY:-1.771 GZ:0.626 | T:25.19 C
I (200375) mpu6050 stream: AX:-0.171 AY:0.093 AZ:-0.950 | GX:-0.947 GY:-1.359 GZ:0.687 | T:25.19 C
I (200385) mpu6050 stream: AX:-0.169 AY:0.099 AZ:-0.952 | GX:-1.145 GY:-1.328 GZ:1.008 | T:25.19 C
I (200395) mpu6050 stream: AX:-0.156 AY:0.102 AZ:-0.944 | GX:-0.626 GY:-0.885 GZ:1.145 | T:25.19 C
I (200405) mpu6050 stream: AX:-0.158 AY:0.108 AZ:-0.942 | GX:-0.061 GY:-0.870 GZ:1.420 | T:25.19 C
I (200415) mpu6050 stream: AX:-0.161 AY:0.096 AZ:-0.943 | GX:0.290 GY:-0.840 GZ:1.420 | T:25.19 C
I (200425) mpu6050 stream: AX:-0.159 AY:0.097 AZ:-0.933 | GX:0.244 GY:-1.313 GZ:1.573 | T:25.19 C
I (200435) mpu6050 stream: AX:-0.165 AY:0.089 AZ:-0.938 | GX:-0.137 GY:-1.695 GZ:1.435 | T:25.28 C
I (200445) mpu6050 stream: AX:-0.161 AY:0.096 AZ:-0.938 | GX:-0.244 GY:-1.924 GZ:1.344 | T:25.28 C
I (200455) mpu6050 stream: AX:-0.169 AY:0.093 AZ:-0.946 | GX:-0.626 GY:-2.000 GZ:1.130 | T:25.28 C
I (200465) mpu6050 stream: AX:-0.173 AY:0.092 AZ:-0.948 | GX:-0.840 GY:-2.000 GZ:1.023 | T:25.19 C
I (200475) mpu6050 stream: AX:-0.174 AY:0.091 AZ:-0.950 | GX:-0.947 GY:-1.099 GZ:1.115 | T:25.14 C
I (200485) mpu6050 stream: AX:-0.173 AY:0.098 AZ:-0.951 | GX:-0.779 GY:-0.580 GZ:0.809 | T:25.24 C
I (200495) mpu6050 stream: AX:-0.176 AY:0.098 AZ:-0.948 | GX:-0.458 GY:-0.092 GZ:0.718 | T:25.24 C
I (200505) mpu6050 stream: AX:-0.172 AY:0.094 AZ:-0.946 | GX:0.000 GY:-0.015 GZ:0.641 | T:25.14 C
I (200515) mpu6050 stream: AX:-0.166 AY:0.103 AZ:-0.944 | GX:0.290 GY:0.061 GZ:0.565 | T:25.14 C
I (200525) mpu6050 stream: AX:-0.164 AY:0.093 AZ:-0.942 | GX:0.061 GY:-0.443 GZ:0.672 | T:25.24 C
I (200535) mpu6050 stream: AX:-0.166 AY:0.087 AZ:-0.945 | GX:-0.595 GY:-0.092 GZ:0.519 | T:25.24 C
I (200545) mpu6050 stream: AX:-0.166 AY:0.094 AZ:-0.940 | GX:-1.053 GY:-0.275 GZ:0.595 | T:25.14 C
I (200555) mpu6050 stream: AX:-0.163 AY:0.093 AZ:-0.941 | GX:-1.573 GY:-0.458 GZ:0.244 | T:25.14 C
I (200565) mpu6050 stream: AX:-0.167 AY:0.102 AZ:-0.943 | GX:-1.542 GY:-0.763 GZ:0.397 | T:25.24 C
I (200575) mpu6050 stream: AX:-0.169 AY:0.102 AZ:-0.956 | GX:-1.252 GY:-0.565 GZ:0.397 | T:25.24 C
I (200585) mpu6050 stream: AX:-0.170 AY:0.102 AZ:-0.945 | GX:-0.443 GY:-0.290 GZ:0.519 | T:25.24 C
I (200595) mpu6050 stream: AX:-0.166 AY:0.102 AZ:-0.963 | GX:0.122 GY:0.061 GZ:0.550 | T:25.24 C
I (200605) mpu6050 stream: AX:-0.168 AY:0.105 AZ:-0.953 | GX:0.397 GY:0.870 GZ:0.672 | T:25.24 C
I (200615) mpu6050 stream: AX:-0.165 AY:0.093 AZ:-0.945 | GX:0.153 GY:0.977 GZ:0.656 | T:25.24 C
I (200625) mpu6050 stream: AX:-0.165 AY:0.099 AZ:-0.937 | GX:-0.336 GY:0.947 GZ:0.489 | T:25.24 C
I (200635) mpu6050 stream: AX:-0.156 AY:0.098 AZ:-0.937 | GX:-0.931 GY:0.321 GZ:0.489 | T:25.24 C
I (200645) mpu6050 stream: AX:-0.159 AY:0.101 AZ:-0.940 | GX:-1.053 GY:0.336 GZ:0.489 | T:25.14 C
I (200655) mpu6050 stream: AX:-0.153 AY:0.101 AZ:-0.930 | GX:-0.687 GY:-0.275 GZ:0.519 | T:25.24 C
I (200665) mpu6050 stream: AX:-0.163 AY:0.103 AZ:-0.926 | GX:-0.366 GY:-0.748 GZ:0.702 | T:25.24 C
I (200675) mpu6050 stream: AX:-0.165 AY:0.099 AZ:-0.934 | GX:-0.092 GY:-1.038 GZ:0.733 | T:25.24 C
I (200685) mpu6050 stream: AX:-0.171 AY:0.101 AZ:-0.945 | GX:0.305 GY:-0.885 GZ:0.748 | T:25.19 C
I (200695) mpu6050 stream: AX:-0.168 AY:0.101 AZ:-0.943 | GX:0.275 GY:-0.611 GZ:1.023 | T:25.28 C
I (200705) mpu6050 stream: AX:-0.171 AY:0.095 AZ:-0.949 | GX:0.305 GY:-0.214 GZ:0.885 | T:25.28 C
I (200715) mpu6050 stream: AX:-0.165 AY:0.105 AZ:-0.936 | GX:0.198 GY:-0.214 GZ:0.901 | T:25.19 C
I (200725) mpu6050 stream: AX:-0.168 AY:0.098 AZ:-0.936 | GX:0.137 GY:-0.382 GZ:1.115 | T:25.28 C
I (200735) mpu6050 stream: AX:-0.170 AY:0.096 AZ:-0.938 | GX:0.275 GY:-0.458 GZ:1.145 | T:25.19 C
I (200745) mpu6050 stream: AX:-0.161 AY:0.102 AZ:-0.948 | GX:0.321 GY:-0.809 GZ:1.328 | T:25.28 C
I (200755) mpu6050 stream: AX:-0.168 AY:0.104 AZ:-0.947 | GX:0.107 GY:-0.824 GZ:1.359 | T:25.28 C
I (200765) mpu6050 stream: AX:-0.175 AY:0.100 AZ:-0.944 | GX:0.351 GY:-0.565 GZ:1.435 | T:25.19 C
I (200775) mpu6050 stream: AX:-0.177 AY:0.095 AZ:-0.956 | GX:0.534 GY:-0.275 GZ:1.557 | T:25.19 C
I (200785) mpu6050 stream: AX:-0.173 AY:0.100 AZ:-0.949 | GX:0.901 GY:0.519 GZ:1.786 | T:25.19 C
I (200795) mpu6050 stream: AX:-0.179 AY:0.101 AZ:-0.943 | GX:0.855 GY:0.748 GZ:1.771 | T:25.19 C
I (200805) mpu6050 stream: AX:-0.170 AY:0.094 AZ:-0.944 | GX:0.931 GY:0.916 GZ:1.695 | T:25.19 C
