I (236245) mpu6050 stream: AX:-0.111 AY:0.061 AZ:-0.891 | GX:2.473 GY:6.855 GZ:4.595 | T:25.14 C
I (236255) mpu6050 stream: AX:-0.124 AY:0.057 AZ:-0.905 | GX:1.817 GY:4.321 GZ:4.275 | T:25.24 C
I (236265) mpu6050 stream: AX:-0.126 AY:0.064 AZ:-0.921 | GX:1.084 GY:3.282 GZ:4.366 | T:25.14 C
I (236275) mpu6050 stream: AX:-0.138 AY:0.059 AZ:-0.934 | GX:0.947 GY:2.977 GZ:4.366 | T:25.24 C
I (236285) mpu6050 stream: AX:-0.130 AY:0.054 AZ:-0.929 | GX:0.870 GY:2.382 GZ:4.137 | T:25.24 C
I (236295) mpu6050 stream: AX:-0.129 AY:0.053 AZ:-0.932 | GX:0.763 GY:1.771 GZ:4.153 | T:25.14 C
I (236305) mpu6050 stream: AX:-0.129 AY:0.055 AZ:-0.923 | GX:0.412 GY:0.321 GZ:3.847 | T:25.24 C
I (236315) mpu6050 stream: AX:-0.121 AY:0.056 AZ:-0.909 | GX:-0.153 GY:-0.443 GZ:3.618 | T:25.24 C
I (236325) mpu6050 stream: AX:-0.124 AY:0.051 AZ:-0.913 | GX:-0.916 GY:-1.893 GZ:3.435 | T:25.33 C
I (236335) mpu6050 stream: AX:-0.144 AY:0.061 AZ:-0.937 | GX:-1.863 GY:-2.916 GZ:2.947 | T:25.24 C
I (236345) mpu6050 stream: AX:-0.167 AY:0.068 AZ:-0.980 | GX:-2.733 GY:-2.076 GZ:2.534 | T:25.42 C
I (236355) mpu6050 stream: AX:-0.187 AY:0.080 AZ:-1.005 | GX:-2.427 GY:0.565 GZ:2.366 | T:25.24 C
I (236365) mpu6050 stream: AX:-0.184 AY:0.073 AZ:-0.994 | GX:-0.901 GY:3.878 GZ:2.275 | T:25.24 C
I (236375) mpu6050 stream: AX:-0.179 AY:0.073 AZ:-0.979 | GX:1.221 GY:5.832 GZ:1.847 | T:25.24 C
I (236385) mpu6050 stream: AX:-0.165 AY:0.065 AZ:-0.964 | GX:2.916 GY:6.855 GZ:1.664 | T:25.33 C
I (236395) mpu6050 stream: AX:-0.155 AY:0.060 AZ:-0.949 | GX:2.824 GY:6.656 GZ:1.145 | T:25.24 C
I (236405) mpu6050 stream: AX:-0.141 AY:0.055 AZ:-0.945 | GX:1.405 GY:6.351 GZ:0.916 | T:25.24 C
I (236415) mpu6050 stream: AX:-0.140 AY:0.052 AZ:-0.929 | GX:-0.672 GY:5.557 GZ:0.565 | T:25.24 C
I (236425) mpu6050 stream: AX:-0.130 AY:0.053 AZ:-0.923 | GX:-2.260 GY:4.748 GZ:0.260 | T:25.24 C
I (236435) mpu6050 stream: AX:-0.124 AY:0.058 AZ:-0.916 | GX:-2.550 GY:3.389 GZ:-0.122 | T:25.24 C
I (236445) mpu6050 stream: AX:-0.114 AY:0.063 AZ:-0.911 | GX:-1.786 GY:1.664 GZ:-0.092 | T:25.24 C
