I (290455) mpu6050 stream: AX:-0.136 AY:0.090 AZ:-0.937 | GX:0.489 GY:-0.504 GZ:1.496 | T:25.19 C
I (290465) mpu6050 stream: AX:-0.143 AY:0.087 AZ:-0.940 | GX:0.687 GY:-1.023 GZ:1.847 | T:25.28 C
I (290475) mpu6050 stream: AX:-0.144 AY:0.083 AZ:-0.939 | GX:0.580 GY:-1.267 GZ:1.679 | T:25.28 C
I (290485) mpu6050 stream: AX:-0.145 AY:0.086 AZ:-0.944 | GX:0.198 GY:-1.435 GZ:1.878 | T:25.38 C
I (290495) mpu6050 stream: AX:-0.142 AY:0.086 AZ:-0.939 | GX:0.275 GY:-1.618 GZ:1.679 | T:25.19 C
I (290505) mpu6050 stream: AX:-0.152 AY:0.083 AZ:-0.945 | GX:0.092 GY:-1.618 GZ:1.954 | T:25.28 C
I (290515) mpu6050 stream: AX:-0.151 AY:0.080 AZ:-0.948 | GX:-0.214 GY:-1.176 GZ:1.893 | T:25.28 C
I (290525) mpu6050 stream: AX:-0.155 AY:0.081 AZ:-0.948 | GX:-0.122 GY:-0.611 GZ:2.015 | T:25.28 C
I (290535) mpu6050 stream: AX:-0.151 AY:0.082 AZ:-0.957 | GX:0.076 GY:-0.794 GZ:1.832 | T:25.28 C
I (290545) mpu6050 stream: AX:-0.156 AY:0.080 AZ:-0.951 | GX:0.122 GY:-0.611 GZ:1.786 | T:25.28 C
I (290555) mpu6050 stream: AX:-0.152 AY:0.080 AZ:-0.957 | GX:-0.092 GY:-0.336 GZ:1.557 | T:25.28 C
I (290565) mpu6050 stream: AX:-0.149 AY:0.080 AZ:-0.949 | GX:-0.458 GY:-0.550 GZ:1.359 | T:25.28 C
I (290575) mpu6050 stream: AX:-0.151 AY:0.081 AZ:-0.943 | GX:-0.534 GY:-0.427 GZ:1.160 | T:25.19 C
I (290585) mpu6050 stream: AX:-0.146 AY:0.083 AZ:-0.943 | GX:-0.718 GY:-0.458 GZ:1.160 | T:25.28 C
I (290595) mpu6050 stream: AX:-0.146 AY:0.083 AZ:-0.940 | GX:-0.580 GY:-0.672 GZ:0.702 | T:25.38 C
I (290605) mpu6050 stream: AX:-0.147 AY:0.081 AZ:-0.939 | GX:-0.443 GY:-0.947 GZ:0.656 | T:25.19 C
I (290615) mpu6050 stream: AX:-0.145 AY:0.085 AZ:-0.941 | GX:-0.458 GY:-1.145 GZ:0.519 | T:25.19 C
I (290625) mpu6050 stream: AX:-0.150 AY:0.089 AZ:-0.950 | GX:-0.947 GY:-1.053 GZ:0.473 | T:25.19 C
I (290635) mpu6050 stream: AX:-0.148 AY:0.089 AZ:-0.946 | GX:-0.870 GY:-1.191 GZ:0.321 | T:25.19 C
I (290645) mpu6050 stream: AX:-0.152 AY:0.090 AZ:-0.946 | GX:-0.809 GY:-0.916 GZ:0.382 | T:25.19 C
I (290655) mpu6050 stream: AX:-0.158 AY:0.091 AZ:-0.953 | GX:-0.443 GY:-0.519 GZ:0.687 | T:25.28 C
I (290665) mpu6050 stream: AX:-0.153 AY:0.090 AZ:-0.948 | GX:-0.122 GY:-0.641 GZ:0.626 | T:25.28 C
I (290675) mpu6050 stream: AX:-0.158 AY:0.096 AZ:-0.953 | GX:0.031 GY:-0.412 GZ:0.809 | T:25.19 C
I (290685) mpu6050 stream: AX:-0.147 AY:0.092 AZ:-0.957 | GX:-0.107 GY:-0.458 GZ:0.977 | T:25.19 C
I (290695) mpu6050 stream: AX:-0.153 AY:0.096 AZ:-0.944 | GX:-0.290 GY:-0.702 GZ:1.023 | T:25.19 C
I (290705) mpu6050 stream: AX:-0.147 AY:0.094 AZ:-0.945 | GX:-0.092 GY:-0.901 GZ:1.221 | T:25.28 C
I (290715) mpu6050 stream: AX:-0.149 AY:0.091 AZ:-0.938 | GX:-0.076 GY:-0.855 GZ:1.252 | T:25.24 C
I (290725) mpu6050 stream: AX:-0.150 AY:0.087 AZ:-0.933 | GX:0.061 GY:-0.931 GZ:1.435 | T:25.24 C
I (290735) mpu6050 stream: AX:-0.151 AY:0.086 AZ:-0.942 | GX:-0.153 GY:-1.298 GZ:1.313 | T:25.24 C
I (290745) mpu6050 stream: AX:-0.153 AY:0.079 AZ:-0.954 | GX:-0.290 GY:-1.328 GZ:1.237 | T:25.33 C
I (290755) mpu6050 stream: AX:-0.158 AY:0.090 AZ:-0.947 | GX:-0.672 GY:-1.374 GZ:1.221 | T:25.24 C
I (290765) mpu6050 stream: AX:-0.153 AY:0.091 AZ:-0.950 | GX:-0.458 GY:-1.206 GZ:1.420 | T:25.24 C
I (290775) mpu6050 stream: AX:-0.158 AY:0.082 AZ:-0.948 | GX:-0.137 GY:-1.130 GZ:1.496 | T:25.33 C
I (290785) mpu6050 stream: AX:-0.160 AY:0.087 AZ:-0.949 | GX:0.031 GY:-0.580 GZ:1.328 | T:25.33 C
I (290795) mpu6050 stream: AX:-0.157 AY:0.090 AZ:-0.948 | GX:0.198 GY:-0.519 GZ:1.374 | T:25.14 C
