I (340575) mpu6050 stream: AX:-0.106 AY:0.105 AZ:-0.948 | GX:-0.092 GY:0.550 GZ:-0.321 | T:25.24 C
I (340585) mpu6050 stream: AX:-0.107 AY:0.109 AZ:-0.946 | GX:0.046 GY:0.504 GZ:-0.153 | T:25.24 C
I (340595) mpu6050 stream: AX:-0.112 AY:0.104 AZ:-0.946 | GX:0.504 GY:0.489 GZ:0.076 | T:25.24 C
I (340605) mpu6050 stream: AX:-0.109 AY:0.111 AZ:-0.953 | GX:0.519 GY:0.473 GZ:0.229 | T:25.14 C
I (340615) mpu6050 stream: AX:-0.114 AY:0.106 AZ:-0.957 | GX:0.626 GY:0.580 GZ:0.153 | T:25.14 C
I (340625) mpu6050 stream: AX:-0.102 AY:0.099 AZ:-0.950 | GX:0.519 GY:0.901 GZ:0.153 | T:25.14 C
I (340635) mpu6050 stream: AX:-0.103 AY:0.101 AZ:-0.957 | GX:0.382 GY:0.550 GZ:0.092 | T:25.14 C
I (340645) mpu6050 stream: AX:-0.111 AY:0.101 AZ:-0.954 | GX:0.107 GY:0.519 GZ:0.397 | T:25.24 C
I (340655) mpu6050 stream: AX:-0.104 AY:0.098 AZ:-0.958 | GX:0.321 GY:0.595 GZ:0.336 | T:25.14 C
I (340665) mpu6050 stream: AX:-0.106 AY:0.100 AZ:-0.954 | GX:0.336 GY:0.443 GZ:0.458 | T:25.14 C
I (340675) mpu6050 stream: AX:-0.112 AY:0.102 AZ:-0.962 | GX:0.290 GY:0.458 GZ:0.473 | T:25.14 C
I (340685) mpu6050 stream: AX:-0.104 AY:0.101 AZ:-0.950 | GX:0.244 GY:0.947 GZ:0.718 | T:25.24 C
I (340695) mpu6050 stream: AX:-0.109 AY:0.098 AZ:-0.949 | GX:0.168 GY:0.931 GZ:0.702 | T:25.24 C
I (340705) mpu6050 stream: AX:-0.101 AY:0.095 AZ:-0.950 | GX:0.244 GY:0.656 GZ:0.718 | T:25.24 C
I (340715) mpu6050 stream: AX:-0.111 AY:0.102 AZ:-0.948 | GX:0.046 GY:0.809 GZ:0.824 | T:25.24 C
I (340725) mpu6050 stream: AX:-0.101 AY:0.098 AZ:-0.949 | GX:-0.183 GY:0.626 GZ:0.718 | T:25.24 C
I (340735) mpu6050 stream: AX:-0.108 AY:0.099 AZ:-0.956 | GX:-0.244 GY:0.733 GZ:0.748 | T:25.14 C
I (340745) mpu6050 stream: AX:-0.106 AY:0.100 AZ:-0.947 | GX:-0.214 GY:0.702 GZ:0.748 | T:25.24 C
I (340755) mpu6050 stream: AX:-0.107 AY:0.097 AZ:-0.949 | GX:-0.275 GY:0.397 GZ:0.580 | T:25.14 C
I (340765) mpu6050 stream: AX:-0.099 AY:0.094 AZ:-0.935 | GX:-0.168 GY:0.611 GZ:0.366 | T:25.24 C
I (340775) mpu6050 stream: AX:-0.102 AY:0.100 AZ:-0.956 | GX:-0.748 GY:0.397 GZ:0.244 | T:25.24 C
I (340785) mpu6050 stream: AX:-0.105 AY:0.096 AZ:-0.943 | GX:-0.885 GY:0.046 GZ:0.137 | T:25.14 C
I (340795) mpu6050 stream: AX:-0.100 AY:0.097 AZ:-0.948 | GX:-1.359 GY:-0.168 GZ:-0.061 | T:25.14 C
I (340805) mpu6050 stream: AX:-0.105 AY:0.099 AZ:-0.948 | GX:-1.206 GY:-0.229 GZ:-0.260 | T:25.14 C
I (340815) mpu6050 stream: AX:-0.112 AY:0.106 AZ:-0.942 | GX:-0.962 GY:-0.519 GZ:-0.122 | T:25.14 C
I (340825) mpu6050 stream: AX:-0.102 AY:0.104 AZ:-0.952 | GX:-0.687 GY:-0.626 GZ:-0.489 | T:25.24 C
I (340835) mpu6050 stream: AX:-0.106 AY:0.103 AZ:-0.948 | GX:-0.733 GY:-0.489 GZ:-0.397 | T:25.14 C
I (340845) mpu6050 stream: AX:-0.101 AY:0.101 AZ:-0.949 | GX:-0.824 GY:-0.794 GZ:-0.351 | T:25.24 C
I (340855) mpu6050 stream: AX:-0.103 AY:0.106 AZ:-0.942 | GX:-0.840 GY:-0.504 GZ:-0.382 | T:25.24 C
I (340865) mpu6050 stream: AX:-0.111 AY:0.107 AZ:-0.955 | GX:-0.962 GY:-0.672 GZ:-0.504 | T:25.24 C
