I (352605) mpu6050 stream: AX:-0.137 AY:0.083 AZ:-0.949 | GX:-1.130 GY:-0.214 GZ:0.641 | T:25.19 C
I (352615) mpu6050 stream: AX:-0.130 AY:0.078 AZ:-0.952 | GX:-1.176 GY:-0.260 GZ:0.214 | T:25.19 C
I (352625) mpu6050 stream: AX:-0.129 AY:0.086 AZ:-0.962 | GX:-1.466 GY:-0.427 GZ:0.015 | T:25.09 C
I (352635) mpu6050 stream: AX:-0.132 AY:0.085 AZ:-0.954 | GX:-1.588 GY:-0.290 GZ:-0.260 | T:25.19 C
I (352645) mpu6050 stream: AX:-0.135 AY:0.090 AZ:-0.950 | GX:-1.481 GY:-0.153 GZ:-0.427 | T:25.19 C
I (352655) mpu6050 stream: AX:-0.136 AY:0.102 AZ:-0.950 | GX:-1.053 GY:-0.031 GZ:-0.458 | T:25.28 C
I (352665) mpu6050 stream: AX:-0.132 AY:0.091 AZ:-0.958 | GX:-0.473 GY:-0.107 GZ:-0.458 | T:25.28 C
I (352675) mpu6050 stream: AX:-0.140 AY:0.089 AZ:-0.958 | GX:-0.504 GY:-0.107 GZ:-0.397 | T:25.24 C
I (352685) mpu6050 stream: AX:-0.132 AY:0.094 AZ:-0.954 | GX:-0.855 GY:0.901 GZ:-0.244 | T:25.28 C
I (352695) mpu6050 stream: AX:-0.129 AY:0.092 AZ:-0.959 | GX:-1.313 GY:0.931 GZ:-0.046 | T:25.14 C
I (352705) mpu6050 stream: AX:-0.130 AY:0.097 AZ:-0.956 | GX:-1.740 GY:1.008 GZ:-0.244 | T:25.24 C
I (352715) mpu6050 stream: AX:-0.136 AY:0.093 AZ:-0.945 | GX:-1.527 GY:1.038 GZ:-0.260 | T:25.05 C
I (352725) mpu6050 stream: AX:-0.129 AY:0.096 AZ:-0.952 | GX:-0.962 GY:0.885 GZ:0.351 | T:25.24 C
I (352735) mpu6050 stream: AX:-0.123 AY:0.099 AZ:-0.949 | GX:-0.122 GY:1.206 GZ:0.595 | T:25.14 C
I (352745) mpu6050 stream: AX:-0.125 AY:0.094 AZ:-0.942 | GX:0.137 GY:0.916 GZ:0.519 | T:25.14 C
I (352755) mpu6050 stream: AX:-0.134 AY:0.087 AZ:-0.949 | GX:-0.183 GY:0.962 GZ:0.153 | T:25.24 C
I (352765) mpu6050 stream: AX:-0.127 AY:0.089 AZ:-0.940 | GX:-0.672 GY:0.779 GZ:0.275 | T:25.14 C
I (352775) mpu6050 stream: AX:-0.116 AY:0.089 AZ:-0.947 | GX:-1.053 GY:0.260 GZ:0.046 | T:25.24 C
I (352785) mpu6050 stream: AX:-0.129 AY:0.091 AZ:-0.944 | GX:-1.298 GY:0.473 GZ:0.107 | T:25.24 C
I (352795) mpu6050 stream: AX:-0.129 AY:0.090 AZ:-0.954 | GX:-1.328 GY:0.748 GZ:0.076 | T:25.14 C
I (352805) mpu6050 stream: AX:-0.131 AY:0.102 AZ:-0.956 | GX:-0.672 GY:0.840 GZ:0.107 | T:25.14 C
I (352815) mpu6050 stream: AX:-0.129 AY:0.102 AZ:-0.947 | GX:0.168 GY:0.534 GZ:0.382 | T:25.14 C
I (352825) mpu6050 stream: AX:-0.124 AY:0.103 AZ:-0.953 | GX:0.656 GY:0.687 GZ:0.626 | T:25.14 C
I (352835) mpu6050 stream: AX:-0.124 AY:0.095 AZ:-0.956 | GX:1.008 GY:0.931 GZ:0.718 | T:25.14 C
I (352845) mpu6050 stream: AX:-0.122 AY:0.097 AZ:-0.940 | GX:0.931 GY:0.611 GZ:0.962 | T:25.24 C
I (352855) mpu6050 stream: AX:-0.128 AY:0.094 AZ:-0.938 | GX:0.931 GY:0.153 GZ:1.511 | T:25.24 C
I (352865) mpu6050 stream: AX:-0.122 AY:0.090 AZ:-0.947 | GX:0.565 GY:0.061 GZ:1.847 | T:25.14 C
I (352875) mpu6050 stream: AX:-0.128 AY:0.094 AZ:-0.939 | GX:0.397 GY:-0.229 GZ:2.015 | T:25.14 C
I (352885) mpu6050 stream: AX:-0.123 AY:0.090 AZ:-0.948 | GX:0.244 GY:-0.107 GZ:2.244 | T:25.14 C
I (352895) mpu6050 stream: AX:-0.127 AY:0.099 AZ:-0.956 | GX:0.092 GY:-0.015 GZ:2.412 | T:25.14 C
I (352905) mpu6050 stream: AX:-0.131 AY:0.089 AZ:-0.951 | GX:0.290 GY:0.153 GZ:2.565 | T:25.14 C
I (352915) mpu6050 stream: AX:-0.128 AY:0.091 AZ:-0.951 | GX:0.489 GY:0.718 GZ:2.870 | T:25.24 C
I (352925) mpu6050 stream: AX:-0.124 AY:0.092 AZ:-0.955 | GX:0.366 GY:1.008 GZ:2.885 | T:25.24 C
I (352935) mpu6050 stream: AX:-0.126 AY:0.081 AZ:-0.954 | GX:0.412 GY:1.038 GZ:2.580 | T:25.14 C
I (352945) mpu6050 stream: AX:-0.122 AY:0.080 AZ:-0.958 | GX:0.153 GY:0.916 GZ:2.351 | T:25.24 C
I (352955) mpu6050 stream: AX:-0.120 AY:0.081 AZ:-0.944 | GX:-0.107 GY:0.687 GZ:2.183 | T:25.14 C
I (352965) mpu6050 stream: AX:-0.124 AY:0.079 AZ:-0.944 | GX:-0.137 GY:0.855 GZ:1.740 | T:25.14 C
I (352975) mpu6050 stream: AX:-0.129 AY:0.080 AZ:-0.952 | GX:-0.427 GY:0.779 GZ:1.252 | T:25.24 C
I (352985) mpu6050 stream: AX:-0.124 AY:0.083 AZ:-0.943 | GX:-0.504 GY:0.595 GZ:0.962 | T:25.14 C
I (352995) mpu6050 stream: AX:-0.125 AY:0.084 AZ:-0.953 | GX:-0.840 GY:0.443 GZ:0.504 | T:25.24 C
I (353005) mpu6050 stream: AX:-0.132 AY:0.082 AZ:-0.949 | GX:-1.176 GY:0.504 GZ:0.397 | T:25.14 C
I (353015) mpu6050 stream: AX:-0.130 AY:0.091 AZ:-0.952 | GX:-1.145 GY:0.641 GZ:0.092 | T:25.24 C
I (353025) mpu6050 stream: AX:-0.129 AY:0.091 AZ:-0.956 | GX:-1.008 GY:1.069 GZ:0.137 | T:25.14 C
I (353035) mpu6050 stream: AX:-0.126 AY:0.086 AZ:-0.954 | GX:-0.550 GY:1.282 GZ:0.015 | T:25.14 C
I (353045) mpu6050 stream: AX:-0.124 AY:0.094 AZ:-0.946 | GX:-0.260 GY:1.130 GZ:-0.031 | T:25.14 C
I (353055) mpu6050 stream: AX:-0.119 AY:0.086 AZ:-0.947 | GX:-0.137 GY:1.267 GZ:0.076 | T:25.14 C
I (353065) mpu6050 stream: AX:-0.126 AY:0.093 AZ:-0.952 | GX:-0.305 GY:0.794 GZ:-0.031 | T:25.14 C
I (353075) mpu6050 stream: AX:-0.127 AY:0.087 AZ:-0.950 | GX:-0.687 GY:0.916 GZ:0.061 | T:25.14 C
I (353085) mpu6050 stream: AX:-0.119 AY:0.095 AZ:-0.955 | GX:-0.733 GY:0.611 GZ:-0.015 | T:25.05 C
I (353095) mpu6050 stream: AX:-0.121 AY:0.096 AZ:-0.951 | GX:-0.855 GY:0.901 GZ:0.076 | T:25.14 C
I (353105) mpu6050 stream: AX:-0.124 AY:0.097 AZ:-0.938 | GX:-0.519 GY:0.947 GZ:0.290 | T:25.24 C
I (353115) mpu6050 stream: AX:-0.126 AY:0.095 AZ:-0.953 | GX:-0.107 GY:0.809 GZ:0.382 | T:25.05 C
