I (412705) mpu6050 stream: AX:-0.132 AY:0.127 AZ:-0.951 | GX:-0.611 GY:0.366 GZ:0.092 | T:25.24 C
I (412715) mpu6050 stream: AX:-0.129 AY:0.131 AZ:-0.948 | GX:-0.489 GY:0.336 GZ:-0.183 | T:25.24 C
I (412725) mpu6050 stream: AX:-0.121 AY:0.137 AZ:-0.947 | GX:0.214 GY:-0.244 GZ:0.092 | T:25.24 C
I (412735) mpu6050 stream: AX:-0.125 AY:0.134 AZ:-0.943 | GX:0.733 GY:-0.061 GZ:0.427 | T:25.14 C
I (412745) mpu6050 stream: AX:-0.118 AY:0.132 AZ:-0.948 | GX:1.130 GY:-0.275 GZ:0.641 | T:25.14 C
I (412755) mpu6050 stream: AX:-0.123 AY:0.122 AZ:-0.938 | GX:1.221 GY:0.061 GZ:1.084 | T:25.14 C
I (412765) mpu6050 stream: AX:-0.128 AY:0.119 AZ:-0.955 | GX:0.534 GY:0.489 GZ:0.947 | T:25.14 C
I (412775) mpu6050 stream: AX:-0.126 AY:0.123 AZ:-0.938 | GX:-0.153 GY:0.443 GZ:1.252 | T:25.14 C
I (412785) mpu6050 stream: AX:-0.117 AY:0.127 AZ:-0.948 | GX:-0.656 GY:0.382 GZ:1.237 | T:25.14 C
I (412795) mpu6050 stream: AX:-0.125 AY:0.129 AZ:-0.928 | GX:-0.458 GY:0.198 GZ:1.634 | T:25.24 C
I (412805) mpu6050 stream: AX:-0.122 AY:0.132 AZ:-0.938 | GX:0.076 GY:0.122 GZ:1.466 | T:25.14 C
I (412815) mpu6050 stream: AX:-0.113 AY:0.131 AZ:-0.934 | GX:0.580 GY:-0.107 GZ:1.679 | T:25.24 C
I (412825) mpu6050 stream: AX:-0.122 AY:0.126 AZ:-0.946 | GX:1.160 GY:-0.046 GZ:1.588 | T:25.14 C
I (412835) mpu6050 stream: AX:-0.118 AY:0.124 AZ:-0.937 | GX:1.313 GY:-0.519 GZ:1.511 | T:25.14 C
I (412845) mpu6050 stream: AX:-0.124 AY:0.115 AZ:-0.949 | GX:1.206 GY:-0.550 GZ:1.313 | T:25.14 C
I (412855) mpu6050 stream: AX:-0.125 AY:0.118 AZ:-0.956 | GX:1.160 GY:-0.214 GZ:1.359 | T:25.14 C
I (412865) mpu6050 stream: AX:-0.129 AY:0.121 AZ:-0.949 | GX:0.885 GY:-0.015 GZ:1.328 | T:25.24 C
I (412875) mpu6050 stream: AX:-0.121 AY:0.118 AZ:-0.953 | GX:0.809 GY:-0.076 GZ:1.176 | T:25.24 C
I (412885) mpu6050 stream: AX:-0.125 AY:0.121 AZ:-0.949 | GX:0.687 GY:0.198 GZ:1.267 | T:25.24 C
I (412895) mpu6050 stream: AX:-0.122 AY:0.125 AZ:-0.943 | GX:0.824 GY:0.305 GZ:1.435 | T:25.24 C
I (412905) mpu6050 stream: AX:-0.135 AY:0.120 AZ:-0.946 | GX:0.794 GY:0.183 GZ:1.725 | T:25.14 C
I (412915) mpu6050 stream: AX:-0.131 AY:0.121 AZ:-0.945 | GX:0.519 GY:0.427 GZ:2.046 | T:25.14 C
I (412925) mpu6050 stream: AX:-0.127 AY:0.120 AZ:-0.949 | GX:0.504 GY:0.473 GZ:1.985 | T:25.14 C
I (412935) mpu6050 stream: AX:-0.122 AY:0.116 AZ:-0.949 | GX:0.336 GY:0.550 GZ:1.878 | T:25.14 C
I (412945) mpu6050 stream: AX:-0.123 AY:0.116 AZ:-0.949 | GX:0.260 GY:0.397 GZ:1.924 | T:25.14 C
I (412955) mpu6050 stream: AX:-0.120 AY:0.114 AZ:-0.947 | GX:0.153 GY:0.443 GZ:1.908 | T:25.19 C
I (412965) mpu6050 stream: AX:-0.122 AY:0.111 AZ:-0.944 | GX:-0.137 GY:0.626 GZ:2.061 | T:25.19 C
I (412975) mpu6050 stream: AX:-0.128 AY:0.113 AZ:-0.962 | GX:-0.351 GY:0.519 GZ:1.634 | T:25.28 C
I (412985) mpu6050 stream: AX:-0.129 AY:0.117 AZ:-0.957 | GX:-0.275 GY:0.733 GZ:1.420 | T:25.09 C
I (412995) mpu6050 stream: AX:-0.118 AY:0.106 AZ:-0.946 | GX:-0.351 GY:0.809 GZ:1.191 | T:25.28 C
I (413005) mpu6050 stream: AX:-0.123 AY:0.116 AZ:-0.953 | GX:-0.397 GY:0.672 GZ:1.008 | T:25.19 C
I (413015) mpu6050 stream: AX:-0.117 AY:0.114 AZ:-0.942 | GX:-0.718 GY:0.656 GZ:0.779 | T:25.19 C
I (413025) mpu6050 stream: AX:-0.121 AY:0.114 AZ:-0.946 | GX:-0.931 GY:0.580 GZ:0.763 | T:25.09 C
I (413035) mpu6050 stream: AX:-0.119 AY:0.122 AZ:-0.942 | GX:-1.084 GY:0.427 GZ:0.763 | T:25.09 C
I (413045) mpu6050 stream: AX:-0.116 AY:0.120 AZ:-0.951 | GX:-1.191 GY:0.412 GZ:0.519 | T:25.19 C
I (413055) mpu6050 stream: AX:-0.123 AY:0.124 AZ:-0.945 | GX:-0.931 GY:0.244 GZ:0.443 | T:25.19 C
I (413065) mpu6050 stream: AX:-0.120 AY:0.123 AZ:-0.942 | GX:-0.763 GY:0.015 GZ:0.489 | T:25.19 C
I (413075) mpu6050 stream: AX:-0.122 AY:0.124 AZ:-0.947 | GX:-0.611 GY:-0.015 GZ:0.626 | T:25.19 C
I (413085) mpu6050 stream: AX:-0.123 AY:0.126 AZ:-0.952 | GX:-0.840 GY:0.168 GZ:0.687 | T:25.19 C
I (413095) mpu6050 stream: AX:-0.120 AY:0.125 AZ:-0.943 | GX:-0.748 GY:0.031 GZ:0.748 | T:25.09 C
I (413105) mpu6050 stream: AX:-0.124 AY:0.125 AZ:-0.935 | GX:-0.641 GY:0.076 GZ:0.595 | T:25.09 C
I (413115) mpu6050 stream: AX:-0.122 AY:0.123 AZ:-0.946 | GX:-0.519 GY:0.031 GZ:0.550 | T:25.19 C
I (413125) mpu6050 stream: AX:-0.124 AY:0.126 AZ:-0.950 | GX:-0.275 GY:0.473 GZ:0.687 | T:25.19 C
I (413135) mpu6050 stream: AX:-0.121 AY:0.125 AZ:-0.954 | GX:-0.107 GY:0.550 GZ:0.779 | T:25.19 C
I (413145) mpu6050 stream: AX:-0.122 AY:0.124 AZ:-0.942 | GX:0.061 GY:0.718 GZ:1.053 | T:25.09 C
I (413155) mpu6050 stream: AX:-0.121 AY:0.131 AZ:-0.952 | GX:0.229 GY:0.626 GZ:0.962 | T:25.19 C
I (413165) mpu6050 stream: AX:-0.121 AY:0.125 AZ:-0.942 | GX:0.244 GY:0.718 GZ:0.947 | T:25.19 C
I (413175) mpu6050 stream: AX:-0.121 AY:0.122 AZ:-0.950 | GX:0.137 GY:0.260 GZ:1.130 | T:25.19 C
I (413185) mpu6050 stream: AX:-0.121 AY:0.122 AZ:-0.941 | GX:-0.214 GY:0.061 GZ:1.252 | T:25.19 C
I (413195) mpu6050 stream: AX:-0.116 AY:0.118 AZ:-0.941 | GX:0.290 GY:0.122 GZ:1.206 | T:25.28 C
I (413205) mpu6050 stream: AX:-0.120 AY:0.119 AZ:-0.946 | GX:0.229 GY:0.214 GZ:1.115 | T:25.09 C
I (413215) mpu6050 stream: AX:-0.120 AY:0.116 AZ:-0.941 | GX:0.198 GY:0.702 GZ:1.160 | T:25.19 C
I (413225) mpu6050 stream: AX:-0.120 AY:0.115 AZ:-0.949 | GX:-0.489 GY:0.763 GZ:1.038 | T:25.09 C
I (413235) mpu6050 stream: AX:-0.119 AY:0.116 AZ:-0.957 | GX:-1.221 GY:0.748 GZ:0.809 | T:25.09 C
I (413245) mpu6050 stream: AX:-0.121 AY:0.129 AZ:-0.953 | GX:-1.939 GY:1.481 GZ:0.748 | T:25.19 C
I (413255) mpu6050 stream: AX:-0.116 AY:0.131 AZ:-0.948 | GX:-1.618 GY:1.573 GZ:0.641 | T:25.09 C
I (413265) mpu6050 stream: AX:-0.111 AY:0.129 AZ:-0.938 | GX:-0.229 GY:1.038 GZ:0.489 | T:25.19 C
I (413275) mpu6050 stream: AX:-0.110 AY:0.127 AZ:-0.928 | GX:1.435 GY:-0.107 GZ:0.397 | T:25.19 C
I (413285) mpu6050 stream: AX:-0.117 AY:0.121 AZ:-0.933 | GX:2.519 GY:-0.885 GZ:0.092 | T:25.19 C
I (413295) mpu6050 stream: AX:-0.123 AY:0.117 AZ:-0.946 | GX:1.603 GY:-1.084 GZ:0.290 | T:25.19 C
I (413305) mpu6050 stream: AX:-0.125 AY:0.116 AZ:-0.947 | GX:0.107 GY:-1.008 GZ:-0.107 | T:25.19 C
I (413315) mpu6050 stream: AX:-0.122 AY:0.123 AZ:-0.944 | GX:-1.221 GY:-1.405 GZ:0.031 | T:25.19 C
I (413325) mpu6050 stream: AX:-0.117 AY:0.124 AZ:-0.943 | GX:-1.435 GY:-1.466 GZ:0.198 | T:25.28 C
I (413335) mpu6050 stream: AX:-0.123 AY:0.128 AZ:-0.943 | GX:-0.626 GY:-1.420 GZ:0.168 | T:25.19 C
I (413345) mpu6050 stream: AX:-0.130 AY:0.131 AZ:-0.950 | GX:0.168 GY:-1.389 GZ:0.336 | T:25.28 C
I (413355) mpu6050 stream: AX:-0.133 AY:0.128 AZ:-0.958 | GX:0.565 GY:-0.656 GZ:0.687 | T:25.09 C
I (413365) mpu6050 stream: AX:-0.129 AY:0.121 AZ:-0.950 | GX:0.580 GY:-0.489 GZ:0.824 | T:25.19 C
I (413375) mpu6050 stream: AX:-0.129 AY:0.119 AZ:-0.942 | GX:0.214 GY:-0.397 GZ:0.779 | T:25.19 C
I (413385) mpu6050 stream: AX:-0.125 AY:0.118 AZ:-0.944 | GX:-0.076 GY:-0.687 GZ:0.916 | T:25.19 C
I (413395) mpu6050 stream: AX:-0.127 AY:0.124 AZ:-0.956 | GX:-0.504 GY:-0.595 GZ:0.855 | T:25.09 C
I (413405) mpu6050 stream: AX:-0.127 AY:0.119 AZ:-0.947 | GX:-0.977 GY:-0.382 GZ:0.733 | T:25.19 C
I (413415) mpu6050 stream: AX:-0.123 AY:0.125 AZ:-0.952 | GX:-0.779 GY:-0.321 GZ:0.656 | T:25.19 C
I (413425) mpu6050 stream: AX:-0.127 AY:0.115 AZ:-0.939 | GX:-0.687 GY:-0.672 GZ:0.519 | T:25.09 C
I (413435) mpu6050 stream: AX:-0.133 AY:0.121 AZ:-0.947 | GX:-0.504 GY:-0.718 GZ:0.137 | T:25.09 C
I (413445) mpu6050 stream: AX:-0.125 AY:0.125 AZ:-0.948 | GX:-0.168 GY:-0.672 GZ:0.229 | T:25.09 C
I (413455) mpu6050 stream: AX:-0.127 AY:0.126 AZ:-0.954 | GX:-0.076 GY:-0.550 GZ:-0.061 | T:25.19 C
I (413465) mpu6050 stream: AX:-0.128 AY:0.124 AZ:-0.966 | GX:-0.015 GY:-0.214 GZ:0.275 | T:25.19 C
I (413475) mpu6050 stream: AX:-0.134 AY:0.122 AZ:-0.960 | GX:-0.076 GY:0.153 GZ:0.137 | T:25.19 C
I (413485) mpu6050 stream: AX:-0.128 AY:0.120 AZ:-0.946 | GX:-0.275 GY:0.443 GZ:0.031 | T:25.19 C
I (413495) mpu6050 stream: AX:-0.125 AY:0.137 AZ:-0.942 | GX:-0.092 GY:0.122 GZ:-0.015 | T:25.19 C
I (413505) mpu6050 stream: AX:-0.122 AY:0.128 AZ:-0.939 | GX:0.443 GY:-0.214 GZ:0.092 | T:25.19 C
I (413515) mpu6050 stream: AX:-0.131 AY:0.127 AZ:-0.950 | GX:0.962 GY:-0.351 GZ:0.397 | T:25.19 C
I (413525) mpu6050 stream: AX:-0.129 AY:0.120 AZ:-0.956 | GX:1.038 GY:0.183 GZ:0.672 | T:25.19 C
I (413535) mpu6050 stream: AX:-0.124 AY:0.123 AZ:-0.944 | GX:0.809 GY:0.580 GZ:0.565 | T:25.19 C
I (413545) mpu6050 stream: AX:-0.132 AY:0.119 AZ:-0.950 | GX:0.427 GY:0.763 GZ:0.687 | T:25.09 C
I (413555) mpu6050 stream: AX:-0.126 AY:0.123 AZ:-0.948 | GX:-0.198 GY:0.885 GZ:0.656 | T:25.24 C
I (413565) mpu6050 stream: AX:-0.120 AY:0.117 AZ:-0.952 | GX:-0.687 GY:1.099 GZ:0.763 | T:25.24 C
I (413575) mpu6050 stream: AX:-0.123 AY:0.119 AZ:-0.940 | GX:-0.840 GY:0.901 GZ:0.504 | T:25.24 C
I (413585) mpu6050 stream: AX:-0.123 AY:0.123 AZ:-0.941 | GX:-0.336 GY:0.779 GZ:0.550 | T:25.14 C
I (413595) mpu6050 stream: AX:-0.127 AY:0.125 AZ:-0.934 | GX:0.427 GY:0.275 GZ:0.733 | T:25.14 C
I (413605) mpu6050 stream: AX:-0.123 AY:0.129 AZ:-0.943 | GX:0.931 GY:0.122 GZ:0.718 | T:25.24 C
I (413615) mpu6050 stream: AX:-0.119 AY:0.120 AZ:-0.941 | GX:1.069 GY:-0.198 GZ:0.687 | T:25.14 C
I (413625) mpu6050 stream: AX:-0.120 AY:0.121 AZ:-0.947 | GX:1.069 GY:-0.382 GZ:0.718 | T:25.24 C
I (413635) mpu6050 stream: AX:-0.126 AY:0.123 AZ:-0.949 | GX:0.809 GY:-0.489 GZ:0.534 | T:25.14 C
I (413645) mpu6050 stream: AX:-0.128 AY:0.121 AZ:-0.952 | GX:0.595 GY:-0.153 GZ:0.870 | T:25.24 C
I (413655) mpu6050 stream: AX:-0.133 AY:0.124 AZ:-0.953 | GX:0.504 GY:-0.198 GZ:1.237 | T:25.14 C
I (413665) mpu6050 stream: AX:-0.129 AY:0.118 AZ:-0.945 | GX:0.565 GY:-0.061 GZ:1.359 | T:25.14 C
I (413675) mpu6050 stream: AX:-0.130 AY:0.119 AZ:-0.941 | GX:0.733 GY:-0.061 GZ:1.695 | T:25.14 C
