I (462815) mpu6050 stream: AX:-0.064 AY:0.072 AZ:-0.958 | GX:0.458 GY:0.015 GZ:1.573 | T:25.09 C
I (462825) mpu6050 stream: AX:-0.067 AY:0.074 AZ:-0.965 | GX:0.519 GY:0.290 GZ:1.847 | T:25.09 C
I (462835) mpu6050 stream: AX:-0.063 AY:0.075 AZ:-0.944 | GX:0.580 GY:-0.092 GZ:1.725 | T:25.19 C
I (462845) mpu6050 stream: AX:-0.064 AY:0.072 AZ:-0.953 | GX:0.260 GY:-0.107 GZ:1.618 | T:25.19 C
I (462855) mpu6050 stream: AX:-0.059 AY:0.070 AZ:-0.959 | GX:0.183 GY:-0.382 GZ:1.405 | T:25.05 C
I (462865) mpu6050 stream: AX:-0.062 AY:0.070 AZ:-0.955 | GX:-0.107 GY:-0.183 GZ:1.695 | T:25.19 C
I (462875) mpu6050 stream: AX:-0.066 AY:0.075 AZ:-0.957 | GX:-0.015 GY:0.031 GZ:1.786 | T:25.05 C
I (462885) mpu6050 stream: AX:-0.062 AY:0.075 AZ:-0.947 | GX:0.366 GY:0.427 GZ:1.786 | T:25.19 C
I (462895) mpu6050 stream: AX:-0.060 AY:0.070 AZ:-0.948 | GX:0.489 GY:0.244 GZ:1.695 | T:25.05 C
I (462905) mpu6050 stream: AX:-0.058 AY:0.066 AZ:-0.952 | GX:0.382 GY:0.168 GZ:1.802 | T:25.14 C
I (462915) mpu6050 stream: AX:-0.066 AY:0.068 AZ:-0.956 | GX:0.153 GY:-0.275 GZ:1.695 | T:25.14 C
I (462925) mpu6050 stream: AX:-0.067 AY:0.074 AZ:-0.961 | GX:-0.305 GY:-0.305 GZ:1.588 | T:25.14 C
I (462935) mpu6050 stream: AX:-0.067 AY:0.074 AZ:-0.963 | GX:-0.427 GY:-0.504 GZ:1.634 | T:25.14 C
I (462945) mpu6050 stream: AX:-0.066 AY:0.077 AZ:-0.958 | GX:-0.550 GY:-0.641 GZ:1.588 | T:25.14 C
I (462955) mpu6050 stream: AX:-0.061 AY:0.075 AZ:-0.957 | GX:-0.412 GY:-0.458 GZ:1.573 | T:25.05 C
I (462965) mpu6050 stream: AX:-0.067 AY:0.080 AZ:-0.954 | GX:-0.290 GY:-0.595 GZ:1.802 | T:25.05 C
I (462975) mpu6050 stream: AX:-0.064 AY:0.081 AZ:-0.955 | GX:-0.092 GY:-0.550 GZ:1.878 | T:25.14 C
I (462985) mpu6050 stream: AX:-0.069 AY:0.073 AZ:-0.957 | GX:0.366 GY:-0.840 GZ:2.122 | T:25.14 C
I (462995) mpu6050 stream: AX:-0.067 AY:0.074 AZ:-0.957 | GX:0.489 GY:-0.260 GZ:1.817 | T:25.14 C
I (463005) mpu6050 stream: AX:-0.063 AY:0.073 AZ:-0.953 | GX:-1.084 GY:-0.580 GZ:1.893 | T:25.05 C
I (463015) mpu6050 stream: AX:-0.064 AY:0.079 AZ:-0.959 | GX:0.092 GY:-0.489 GZ:1.939 | T:25.14 C
I (463025) mpu6050 stream: AX:-0.073 AY:0.074 AZ:-0.956 | GX:0.427 GY:-0.718 GZ:2.107 | T:25.05 C
I (463035) mpu6050 stream: AX:-0.068 AY:0.070 AZ:-0.955 | GX:1.069 GY:0.061 GZ:2.015 | T:25.14 C
I (463045) mpu6050 stream: AX:-0.066 AY:0.063 AZ:-0.958 | GX:0.504 GY:0.122 GZ:1.802 | T:25.05 C
I (463055) mpu6050 stream: AX:-0.079 AY:0.066 AZ:-0.962 | GX:0.489 GY:0.550 GZ:1.695 | T:25.05 C
I (463065) mpu6050 stream: AX:-0.061 AY:0.070 AZ:-0.963 | GX:-0.183 GY:0.321 GZ:1.450 | T:25.14 C
I (463075) mpu6050 stream: AX:-0.053 AY:0.074 AZ:-0.969 | GX:-1.527 GY:0.076 GZ:1.252 | T:25.05 C
I (463085) mpu6050 stream: AX:-0.068 AY:0.081 AZ:-0.962 | GX:-1.466 GY:0.366 GZ:1.221 | T:25.14 C
I (463095) mpu6050 stream: AX:-0.060 AY:0.080 AZ:-0.954 | GX:-0.107 GY:0.458 GZ:1.542 | T:25.05 C
I (463105) mpu6050 stream: AX:-0.059 AY:0.087 AZ:-0.947 | GX:1.832 GY:0.061 GZ:1.847 | T:25.14 C
I (463115) mpu6050 stream: AX:-0.060 AY:0.077 AZ:-0.953 | GX:2.901 GY:-0.611 GZ:1.924 | T:25.14 C
I (463125) mpu6050 stream: AX:-0.060 AY:0.066 AZ:-0.956 | GX:2.504 GY:-0.366 GZ:1.908 | T:25.14 C
I (463135) mpu6050 stream: AX:-0.061 AY:0.063 AZ:-0.948 | GX:1.527 GY:-0.305 GZ:1.985 | T:25.14 C
I (463145) mpu6050 stream: AX:-0.069 AY:0.065 AZ:-0.955 | GX:0.687 GY:-0.885 GZ:1.863 | T:25.14 C
I (463155) mpu6050 stream: AX:-0.061 AY:0.071 AZ:-0.956 | GX:-2.550 GY:-1.298 GZ:1.969 | T:25.05 C
I (463165) mpu6050 stream: AX:-0.068 AY:0.077 AZ:-0.941 | GX:-1.450 GY:-1.603 GZ:1.756 | T:25.14 C
I (463175) mpu6050 stream: AX:-0.072 AY:0.072 AZ:-0.958 | GX:-0.962 GY:-1.679 GZ:1.786 | T:25.14 C
I (463185) mpu6050 stream: AX:-0.070 AY:0.076 AZ:-0.953 | GX:0.595 GY:-1.282 GZ:1.817 | T:25.14 C
I (463195) mpu6050 stream: AX:-0.070 AY:0.076 AZ:-0.967 | GX:0.809 GY:-1.573 GZ:1.939 | T:25.05 C
I (463205) mpu6050 stream: AX:-0.075 AY:0.077 AZ:-0.956 | GX:0.718 GY:-1.466 GZ:2.046 | T:25.14 C
I (463215) mpu6050 stream: AX:-0.080 AY:0.073 AZ:-0.965 | GX:0.702 GY:-1.435 GZ:1.710 | T:25.14 C
I (463225) mpu6050 stream: AX:-0.071 AY:0.067 AZ:-0.960 | GX:-0.672 GY:-1.405 GZ:1.588 | T:25.05 C
I (463235) mpu6050 stream: AX:-0.075 AY:0.069 AZ:-0.962 | GX:-0.977 GY:-1.252 GZ:1.664 | T:25.14 C
I (463245) mpu6050 stream: AX:-0.069 AY:0.069 AZ:-0.957 | GX:-0.748 GY:-0.855 GZ:1.527 | T:25.24 C
I (463255) mpu6050 stream: AX:-0.073 AY:0.077 AZ:-0.958 | GX:-0.122 GY:-0.550 GZ:1.282 | T:25.14 C
I (463265) mpu6050 stream: AX:-0.072 AY:0.071 AZ:-0.965 | GX:0.489 GY:-0.534 GZ:1.115 | T:25.14 C
I (463275) mpu6050 stream: AX:-0.075 AY:0.066 AZ:-0.966 | GX:0.534 GY:-0.458 GZ:1.053 | T:25.14 C
I (463285) mpu6050 stream: AX:-0.074 AY:0.069 AZ:-0.971 | GX:-0.061 GY:0.183 GZ:1.084 | T:25.14 C
I (463295) mpu6050 stream: AX:-0.072 AY:0.064 AZ:-0.967 | GX:-0.336 GY:0.244 GZ:0.885 | T:25.14 C
I (463305) mpu6050 stream: AX:-0.073 AY:0.075 AZ:-0.961 | GX:-0.763 GY:0.061 GZ:0.458 | T:25.24 C
I (463315) mpu6050 stream: AX:-0.064 AY:0.076 AZ:-0.955 | GX:-0.397 GY:-0.290 GZ:0.168 | T:25.14 C
I (463325) mpu6050 stream: AX:-0.072 AY:0.076 AZ:-0.957 | GX:0.015 GY:-0.412 GZ:0.168 | T:25.24 C
I (463335) mpu6050 stream: AX:-0.071 AY:0.082 AZ:-0.969 | GX:0.458 GY:-0.290 GZ:0.336 | T:25.05 C
I (463345) mpu6050 stream: AX:-0.072 AY:0.072 AZ:-0.961 | GX:0.641 GY:-0.107 GZ:0.809 | T:25.14 C
I (463355) mpu6050 stream: AX:-0.074 AY:0.071 AZ:-0.968 | GX:0.534 GY:-0.092 GZ:0.611 | T:25.14 C
I (463365) mpu6050 stream: AX:-0.072 AY:0.073 AZ:-0.961 | GX:0.351 GY:0.000 GZ:0.687 | T:25.14 C
I (463375) mpu6050 stream: AX:-0.074 AY:0.074 AZ:-0.963 | GX:-0.290 GY:0.183 GZ:0.595 | T:25.14 C
I (463385) mpu6050 stream: AX:-0.075 AY:0.078 AZ:-0.966 | GX:-0.748 GY:0.305 GZ:0.824 | T:25.14 C
I (463395) mpu6050 stream: AX:-0.076 AY:0.078 AZ:-0.957 | GX:-0.580 GY:0.672 GZ:1.099 | T:25.05 C
I (463405) mpu6050 stream: AX:-0.074 AY:0.081 AZ:-0.953 | GX:0.397 GY:0.672 GZ:1.450 | T:25.14 C
I (463415) mpu6050 stream: AX:-0.071 AY:0.079 AZ:-0.959 | GX:1.099 GY:0.763 GZ:1.649 | T:25.14 C
I (463425) mpu6050 stream: AX:-0.071 AY:0.078 AZ:-0.958 | GX:1.786 GY:0.656 GZ:1.786 | T:25.14 C
I (463435) mpu6050 stream: AX:-0.080 AY:0.071 AZ:-0.955 | GX:1.603 GY:0.641 GZ:2.015 | T:25.14 C
I (463445) mpu6050 stream: AX:-0.067 AY:0.072 AZ:-0.962 | GX:1.282 GY:0.565 GZ:1.985 | T:25.14 C
I (463455) mpu6050 stream: AX:-0.070 AY:0.073 AZ:-0.946 | GX:1.053 GY:0.672 GZ:2.015 | T:25.24 C
I (463465) mpu6050 stream: AX:-0.069 AY:0.074 AZ:-0.958 | GX:0.672 GY:0.626 GZ:2.000 | T:25.05 C
I (463475) mpu6050 stream: AX:-0.068 AY:0.064 AZ:-0.959 | GX:0.595 GY:0.153 GZ:2.198 | T:25.14 C
I (463485) mpu6050 stream: AX:-0.072 AY:0.070 AZ:-0.960 | GX:0.489 GY:0.153 GZ:2.443 | T:25.14 C
I (463495) mpu6050 stream: AX:-0.075 AY:0.062 AZ:-0.956 | GX:0.519 GY:0.427 GZ:2.351 | T:25.14 C
I (463505) mpu6050 stream: AX:-0.072 AY:0.062 AZ:-0.956 | GX:0.321 GY:0.305 GZ:2.550 | T:25.14 C
I (463515) mpu6050 stream: AX:-0.075 AY:0.065 AZ:-0.953 | GX:0.168 GY:0.214 GZ:2.473 | T:25.05 C
I (463525) mpu6050 stream: AX:-0.075 AY:0.066 AZ:-0.962 | GX:0.122 GY:0.137 GZ:2.305 | T:25.14 C
I (463535) mpu6050 stream: AX:-0.075 AY:0.061 AZ:-0.954 | GX:0.015 GY:0.183 GZ:2.260 | T:25.05 C
I (463545) mpu6050 stream: AX:-0.072 AY:0.069 AZ:-0.956 | GX:-0.076 GY:-0.046 GZ:2.336 | T:25.14 C
