I (516915) mpu6050 stream: AX:-0.091 AY:0.086 AZ:-0.943 | GX:-0.015 GY:-0.458 GZ:1.863 | T:25.00 C
I (516925) mpu6050 stream: AX:-0.099 AY:0.083 AZ:-0.942 | GX:0.275 GY:-0.779 GZ:1.878 | T:24.91 C
I (516935) mpu6050 stream: AX:-0.096 AY:0.078 AZ:-0.958 | GX:0.473 GY:-0.733 GZ:1.969 | T:25.00 C
I (516945) mpu6050 stream: AX:-0.102 AY:0.074 AZ:-0.958 | GX:0.198 GY:-0.916 GZ:1.695 | T:25.00 C
I (516955) mpu6050 stream: AX:-0.099 AY:0.076 AZ:-0.949 | GX:-0.061 GY:-0.718 GZ:1.511 | T:25.00 C
I (516965) mpu6050 stream: AX:-0.099 AY:0.079 AZ:-0.952 | GX:-0.321 GY:-0.870 GZ:1.359 | T:25.00 C
I (516975) mpu6050 stream: AX:-0.093 AY:0.080 AZ:-0.953 | GX:-0.504 GY:-0.748 GZ:1.160 | T:25.05 C
I (516985) mpu6050 stream: AX:-0.100 AY:0.078 AZ:-0.953 | GX:-0.534 GY:-0.809 GZ:1.115 | T:25.05 C
I (516995) mpu6050 stream: AX:-0.105 AY:0.083 AZ:-0.956 | GX:-0.473 GY:-0.626 GZ:0.763 | T:25.05 C
I (517005) mpu6050 stream: AX:-0.099 AY:0.080 AZ:-0.954 | GX:-0.565 GY:-0.763 GZ:0.794 | T:24.95 C
I (517015) mpu6050 stream: AX:-0.099 AY:0.087 AZ:-0.955 | GX:-0.595 GY:-0.947 GZ:0.580 | T:24.95 C
I (517025) mpu6050 stream: AX:-0.097 AY:0.092 AZ:-0.943 | GX:-0.977 GY:-1.084 GZ:0.580 | T:24.95 C
I (517035) mpu6050 stream: AX:-0.102 AY:0.091 AZ:-0.951 | GX:-0.473 GY:-1.252 GZ:0.366 | T:25.05 C
I (517045) mpu6050 stream: AX:-0.098 AY:0.084 AZ:-0.948 | GX:-0.931 GY:-1.282 GZ:0.534 | T:25.05 C
I (517055) mpu6050 stream: AX:-0.094 AY:0.093 AZ:-0.954 | GX:-0.947 GY:-1.618 GZ:0.641 | T:24.95 C
I (517065) mpu6050 stream: AX:-0.109 AY:0.085 AZ:-0.945 | GX:0.015 GY:-1.756 GZ:0.443 | T:25.05 C
I (517075) mpu6050 stream: AX:-0.106 AY:0.087 AZ:-0.953 | GX:0.092 GY:-1.802 GZ:0.366 | T:25.05 C
I (517085) mpu6050 stream: AX:-0.107 AY:0.085 AZ:-0.948 | GX:-0.153 GY:-1.450 GZ:0.290 | T:25.05 C
I (517095) mpu6050 stream: AX:-0.104 AY:0.079 AZ:-0.955 | GX:-1.206 GY:-1.557 GZ:0.031 | T:24.95 C
I (517105) mpu6050 stream: AX:-0.105 AY:0.088 AZ:-0.958 | GX:-1.206 GY:-1.924 GZ:0.015 | T:25.05 C
I (517115) mpu6050 stream: AX:-0.107 AY:0.092 AZ:-0.949 | GX:-1.038 GY:-2.076 GZ:0.076 | T:25.05 C
I (517125) mpu6050 stream: AX:-0.112 AY:0.090 AZ:-0.957 | GX:-0.794 GY:-2.412 GZ:-0.198 | T:25.05 C
I (517135) mpu6050 stream: AX:-0.108 AY:0.089 AZ:-0.960 | GX:-0.015 GY:-1.985 GZ:0.015 | T:25.05 C
I (517145) mpu6050 stream: AX:-0.112 AY:0.089 AZ:-0.959 | GX:-0.137 GY:-1.359 GZ:0.076 | T:24.95 C
I (517155) mpu6050 stream: AX:-0.110 AY:0.094 AZ:-0.956 | GX:-0.107 GY:-1.084 GZ:0.137 | T:24.95 C
I (517165) mpu6050 stream: AX:-0.107 AY:0.084 AZ:-0.958 | GX:-1.038 GY:-0.962 GZ:0.168 | T:25.05 C
