I (579075) mpu6050 stream: AX:-0.032 AY:0.107 AZ:-0.954 | GX:-0.260 GY:0.046 GZ:0.779 | T:25.00 C
I (579085) mpu6050 stream: AX:-0.029 AY:0.107 AZ:-0.963 | GX:-0.290 GY:0.137 GZ:1.084 | T:24.91 C
I (579095) mpu6050 stream: AX:-0.024 AY:0.112 AZ:-0.957 | GX:-0.244 GY:0.137 GZ:1.435 | T:25.00 C
I (579105) mpu6050 stream: AX:-0.030 AY:0.112 AZ:-0.953 | GX:0.153 GY:0.153 GZ:1.695 | T:24.91 C
I (579115) mpu6050 stream: AX:-0.031 AY:0.111 AZ:-0.957 | GX:0.473 GY:0.015 GZ:1.710 | T:24.91 C
I (579125) mpu6050 stream: AX:-0.028 AY:0.099 AZ:-0.955 | GX:0.427 GY:0.336 GZ:1.924 | T:24.91 C
I (579135) mpu6050 stream: AX:-0.028 AY:0.102 AZ:-0.962 | GX:0.229 GY:0.626 GZ:1.939 | T:24.91 C
I (579145) mpu6050 stream: AX:-0.025 AY:0.099 AZ:-0.963 | GX:-0.382 GY:0.794 GZ:1.969 | T:24.91 C
I (579155) mpu6050 stream: AX:-0.024 AY:0.099 AZ:-0.969 | GX:-0.824 GY:1.038 GZ:1.893 | T:24.91 C
I (579165) mpu6050 stream: AX:-0.025 AY:0.100 AZ:-0.973 | GX:-1.282 GY:1.008 GZ:1.603 | T:25.00 C
I (579175) mpu6050 stream: AX:-0.034 AY:0.118 AZ:-0.953 | GX:0.092 GY:1.176 GZ:1.679 | T:25.00 C
I (579185) mpu6050 stream: AX:-0.032 AY:0.103 AZ:-0.958 | GX:0.458 GY:0.840 GZ:1.756 | T:25.00 C
I (579195) mpu6050 stream: AX:-0.018 AY:0.109 AZ:-0.938 | GX:1.435 GY:0.305 GZ:1.679 | T:24.91 C
I (579205) mpu6050 stream: AX:-0.021 AY:0.098 AZ:-0.952 | GX:2.901 GY:0.244 GZ:1.664 | T:24.91 C
I (579215) mpu6050 stream: AX:-0.030 AY:0.098 AZ:-0.953 | GX:1.817 GY:0.031 GZ:1.450 | T:25.00 C
I (579225) mpu6050 stream: AX:-0.036 AY:0.094 AZ:-0.953 | GX:1.160 GY:-0.244 GZ:1.649 | T:24.91 C
I (579235) mpu6050 stream: AX:-0.030 AY:0.094 AZ:-0.957 | GX:-1.160 GY:-0.702 GZ:1.542 | T:24.91 C
I (579245) mpu6050 stream: AX:-0.032 AY:0.093 AZ:-0.949 | GX:-1.573 GY:-1.053 GZ:1.405 | T:24.91 C
I (579255) mpu6050 stream: AX:-0.034 AY:0.105 AZ:-0.958 | GX:-1.603 GY:-1.099 GZ:1.435 | T:24.91 C
I (579265) mpu6050 stream: AX:-0.038 AY:0.109 AZ:-0.952 | GX:-1.053 GY:-0.947 GZ:1.649 | T:24.91 C
I (579275) mpu6050 stream: AX:-0.036 AY:0.102 AZ:-0.954 | GX:0.382 GY:-0.305 GZ:2.031 | T:25.00 C
I (579285) mpu6050 stream: AX:-0.038 AY:0.102 AZ:-0.941 | GX:0.931 GY:-0.061 GZ:1.985 | T:24.86 C
I (579295) mpu6050 stream: AX:-0.036 AY:0.097 AZ:-0.954 | GX:1.221 GY:-0.397 GZ:1.939 | T:24.95 C
I (579305) mpu6050 stream: AX:-0.037 AY:0.098 AZ:-0.958 | GX:0.794 GY:-0.656 GZ:1.679 | T:25.05 C
I (579315) mpu6050 stream: AX:-0.041 AY:0.093 AZ:-0.955 | GX:-0.153 GY:-0.733 GZ:1.557 | T:24.95 C
I (579325) mpu6050 stream: AX:-0.037 AY:0.097 AZ:-0.961 | GX:-0.672 GY:-0.412 GZ:1.267 | T:25.05 C
I (579335) mpu6050 stream: AX:-0.041 AY:0.094 AZ:-0.958 | GX:-0.962 GY:-0.122 GZ:0.824 | T:24.95 C
I (579345) mpu6050 stream: AX:-0.040 AY:0.095 AZ:-0.958 | GX:-0.687 GY:-0.046 GZ:0.595 | T:24.95 C
I (579355) mpu6050 stream: AX:-0.042 AY:0.096 AZ:-0.954 | GX:-0.244 GY:0.336 GZ:0.229 | T:24.95 C
I (579365) mpu6050 stream: AX:-0.035 AY:0.094 AZ:-0.971 | GX:0.107 GY:0.000 GZ:0.000 | T:24.95 C
I (579375) mpu6050 stream: AX:-0.036 AY:0.098 AZ:-0.974 | GX:-0.183 GY:0.107 GZ:-0.015 | T:24.95 C
I (579385) mpu6050 stream: AX:-0.030 AY:0.093 AZ:-0.957 | GX:-0.672 GY:0.885 GZ:-0.153 | T:24.95 C
I (579395) mpu6050 stream: AX:-0.033 AY:0.097 AZ:-0.954 | GX:-1.191 GY:0.702 GZ:-0.336 | T:24.86 C
I (579405) mpu6050 stream: AX:-0.023 AY:0.107 AZ:-0.954 | GX:-1.115 GY:0.611 GZ:-0.427 | T:24.95 C
I (579415) mpu6050 stream: AX:-0.033 AY:0.107 AZ:-0.948 | GX:-0.718 GY:0.260 GZ:-0.366 | T:24.95 C
I (579425) mpu6050 stream: AX:-0.028 AY:0.109 AZ:-0.951 | GX:-0.275 GY:-0.046 GZ:-0.168 | T:24.95 C
I (579435) mpu6050 stream: AX:-0.035 AY:0.106 AZ:-0.953 | GX:0.260 GY:-0.168 GZ:0.122 | T:25.05 C
I (579445) mpu6050 stream: AX:-0.037 AY:0.104 AZ:-0.960 | GX:0.076 GY:0.244 GZ:0.427 | T:24.95 C
I (579455) mpu6050 stream: AX:-0.037 AY:0.104 AZ:-0.961 | GX:-0.031 GY:0.382 GZ:0.489 | T:24.95 C
I (579465) mpu6050 stream: AX:-0.037 AY:0.102 AZ:-0.957 | GX:-0.382 GY:0.443 GZ:0.168 | T:24.95 C
I (579475) mpu6050 stream: AX:-0.034 AY:0.110 AZ:-0.948 | GX:-0.458 GY:0.519 GZ:0.611 | T:24.95 C
I (579485) mpu6050 stream: AX:-0.033 AY:0.113 AZ:-0.963 | GX:-0.611 GY:0.718 GZ:0.840 | T:24.95 C
I (579495) mpu6050 stream: AX:-0.033 AY:0.115 AZ:-0.957 | GX:-0.336 GY:0.718 GZ:1.008 | T:24.95 C
I (579505) mpu6050 stream: AX:-0.027 AY:0.113 AZ:-0.949 | GX:0.366 GY:0.473 GZ:0.992 | T:25.00 C
I (579515) mpu6050 stream: AX:-0.033 AY:0.110 AZ:-0.969 | GX:0.656 GY:0.183 GZ:1.328 | T:24.91 C
I (579525) mpu6050 stream: AX:-0.037 AY:0.104 AZ:-0.960 | GX:0.840 GY:0.718 GZ:1.389 | T:24.91 C
I (579535) mpu6050 stream: AX:-0.026 AY:0.107 AZ:-0.960 | GX:0.947 GY:0.595 GZ:1.389 | T:25.00 C
I (579545) mpu6050 stream: AX:-0.034 AY:0.104 AZ:-0.956 | GX:0.931 GY:0.565 GZ:1.420 | T:25.00 C
I (579555) mpu6050 stream: AX:-0.033 AY:0.101 AZ:-0.947 | GX:0.504 GY:0.214 GZ:1.481 | T:24.91 C
I (579565) mpu6050 stream: AX:-0.037 AY:0.093 AZ:-0.956 | GX:0.305 GY:0.153 GZ:1.511 | T:25.00 C
I (579575) mpu6050 stream: AX:-0.035 AY:0.099 AZ:-0.961 | GX:0.183 GY:-0.092 GZ:1.466 | T:24.91 C
I (579585) mpu6050 stream: AX:-0.036 AY:0.092 AZ:-0.952 | GX:0.122 GY:-0.305 GZ:1.450 | T:24.91 C
I (579595) mpu6050 stream: AX:-0.040 AY:0.098 AZ:-0.951 | GX:-0.046 GY:-0.427 GZ:1.389 | T:25.00 C
I (579605) mpu6050 stream: AX:-0.032 AY:0.101 AZ:-0.957 | GX:0.031 GY:-0.366 GZ:1.267 | T:24.91 C
I (579615) mpu6050 stream: AX:-0.045 AY:0.099 AZ:-0.965 | GX:-0.015 GY:-0.473 GZ:1.344 | T:25.00 C
I (579625) mpu6050 stream: AX:-0.044 AY:0.103 AZ:-0.969 | GX:-0.107 GY:-0.061 GZ:1.282 | T:25.00 C
I (579635) mpu6050 stream: AX:-0.039 AY:0.097 AZ:-0.961 | GX:0.046 GY:0.183 GZ:1.313 | T:24.91 C
I (579645) mpu6050 stream: AX:-0.036 AY:0.096 AZ:-0.954 | GX:0.122 GY:0.473 GZ:1.267 | T:25.00 C
I (579655) mpu6050 stream: AX:-0.036 AY:0.095 AZ:-0.960 | GX:0.229 GY:0.656 GZ:1.084 | T:24.91 C
I (579665) mpu6050 stream: AX:-0.042 AY:0.095 AZ:-0.961 | GX:0.290 GY:0.870 GZ:1.053 | T:24.91 C
I (579675) mpu6050 stream: AX:-0.031 AY:0.097 AZ:-0.953 | GX:0.275 GY:0.962 GZ:0.794 | T:25.00 C
I (579685) mpu6050 stream: AX:-0.031 AY:0.098 AZ:-0.955 | GX:0.061 GY:0.702 GZ:0.977 | T:24.81 C
I (579695) mpu6050 stream: AX:-0.038 AY:0.101 AZ:-0.956 | GX:-0.122 GY:0.687 GZ:0.824 | T:24.91 C
I (579705) mpu6050 stream: AX:-0.030 AY:0.096 AZ:-0.951 | GX:-0.260 GY:0.550 GZ:0.794 | T:25.00 C
I (579715) mpu6050 stream: AX:-0.032 AY:0.094 AZ:-0.947 | GX:-0.198 GY:0.214 GZ:0.870 | T:24.95 C
I (579725) mpu6050 stream: AX:-0.032 AY:0.093 AZ:-0.955 | GX:-0.397 GY:0.443 GZ:0.702 | T:24.95 C
I (579735) mpu6050 stream: AX:-0.041 AY:0.097 AZ:-0.958 | GX:-0.550 GY:0.214 GZ:0.611 | T:24.86 C
I (579745) mpu6050 stream: AX:-0.034 AY:0.099 AZ:-0.963 | GX:-0.641 GY:0.061 GZ:0.595 | T:24.95 C
I (579755) mpu6050 stream: AX:-0.031 AY:0.101 AZ:-0.959 | GX:-0.656 GY:-0.321 GZ:0.641 | T:24.95 C
I (579765) mpu6050 stream: AX:-0.039 AY:0.107 AZ:-0.961 | GX:-0.473 GY:-0.122 GZ:0.489 | T:24.95 C
I (579775) mpu6050 stream: AX:-0.034 AY:0.099 AZ:-0.953 | GX:-0.427 GY:0.198 GZ:0.443 | T:24.95 C
I (579785) mpu6050 stream: AX:-0.032 AY:0.103 AZ:-0.960 | GX:-0.214 GY:0.519 GZ:0.565 | T:24.95 C
I (579795) mpu6050 stream: AX:-0.037 AY:0.105 AZ:-0.959 | GX:0.046 GY:0.901 GZ:0.565 | T:24.86 C
I (579805) mpu6050 stream: AX:-0.038 AY:0.104 AZ:-0.959 | GX:0.244 GY:0.931 GZ:0.611 | T:24.95 C
I (579815) mpu6050 stream: AX:-0.033 AY:0.107 AZ:-0.950 | GX:0.412 GY:0.809 GZ:0.748 | T:24.95 C
I (579825) mpu6050 stream: AX:-0.033 AY:0.105 AZ:-0.955 | GX:0.595 GY:1.160 GZ:0.870 | T:24.86 C
I (579835) mpu6050 stream: AX:-0.031 AY:0.102 AZ:-0.954 | GX:0.718 GY:0.916 GZ:0.977 | T:25.05 C
I (579845) mpu6050 stream: AX:-0.035 AY:0.101 AZ:-0.964 | GX:0.458 GY:0.794 GZ:1.267 | T:24.95 C
I (579855) mpu6050 stream: AX:-0.026 AY:0.104 AZ:-0.948 | GX:0.031 GY:0.641 GZ:1.206 | T:24.95 C
I (579865) mpu6050 stream: AX:-0.022 AY:0.105 AZ:-0.955 | GX:0.092 GY:0.748 GZ:1.313 | T:24.95 C
I (579875) mpu6050 stream: AX:-0.031 AY:0.097 AZ:-0.955 | GX:0.092 GY:0.672 GZ:1.344 | T:24.95 C
I (579885) mpu6050 stream: AX:-0.035 AY:0.096 AZ:-0.953 | GX:0.366 GY:0.534 GZ:1.511 | T:24.95 C
I (579895) mpu6050 stream: AX:-0.031 AY:0.102 AZ:-0.960 | GX:0.244 GY:0.519 GZ:1.282 | T:24.95 C
I (579905) mpu6050 stream: AX:-0.026 AY:0.090 AZ:-0.954 | GX:-0.443 GY:0.641 GZ:1.252 | T:24.95 C
I (579915) mpu6050 stream: AX:-0.029 AY:0.098 AZ:-0.974 | GX:-0.870 GY:0.840 GZ:0.962 | T:25.05 C
I (579925) mpu6050 stream: AX:-0.028 AY:0.094 AZ:-0.969 | GX:-1.771 GY:0.687 GZ:0.992 | T:25.05 C
I (579935) mpu6050 stream: AX:-0.022 AY:0.112 AZ:-0.952 | GX:-1.344 GY:0.229 GZ:0.809 | T:24.95 C
I (579945) mpu6050 stream: AX:-0.024 AY:0.106 AZ:-0.947 | GX:-0.107 GY:-0.092 GZ:0.656 | T:24.95 C
I (579955) mpu6050 stream: AX:-0.036 AY:0.099 AZ:-0.948 | GX:1.252 GY:-0.336 GZ:0.748 | T:24.86 C
I (579965) mpu6050 stream: AX:-0.026 AY:0.102 AZ:-0.953 | GX:2.382 GY:0.076 GZ:0.779 | T:24.86 C
I (579975) mpu6050 stream: AX:-0.028 AY:0.086 AZ:-0.953 | GX:2.092 GY:0.244 GZ:0.840 | T:24.95 C
I (579985) mpu6050 stream: AX:-0.025 AY:0.093 AZ:-0.955 | GX:1.023 GY:0.092 GZ:0.687 | T:24.95 C
I (579995) mpu6050 stream: AX:-0.036 AY:0.088 AZ:-0.949 | GX:-0.397 GY:-0.382 GZ:0.519 | T:24.91 C
I (580005) mpu6050 stream: AX:-0.034 AY:0.091 AZ:-0.956 | GX:-1.405 GY:-0.931 GZ:0.382 | T:24.91 C
I (580015) mpu6050 stream: AX:-0.033 AY:0.103 AZ:-0.944 | GX:-2.046 GY:-1.756 GZ:0.534 | T:24.91 C
I (580025) mpu6050 stream: AX:-0.034 AY:0.107 AZ:-0.955 | GX:-1.450 GY:-1.267 GZ:0.855 | T:24.91 C
I (580035) mpu6050 stream: AX:-0.030 AY:0.105 AZ:-0.951 | GX:-0.702 GY:-1.252 GZ:1.191 | T:24.91 C
I (580045) mpu6050 stream: AX:-0.042 AY:0.101 AZ:-0.947 | GX:-0.504 GY:-1.221 GZ:1.038 | T:25.00 C
I (580055) mpu6050 stream: AX:-0.038 AY:0.102 AZ:-0.954 | GX:-0.061 GY:-1.053 GZ:1.038 | T:24.91 C
I (580065) mpu6050 stream: AX:-0.036 AY:0.100 AZ:-0.958 | GX:-0.702 GY:-1.206 GZ:0.977 | T:25.00 C
I (580075) mpu6050 stream: AX:-0.039 AY:0.095 AZ:-0.962 | GX:-1.176 GY:-1.176 GZ:0.672 | T:24.91 C
I (580085) mpu6050 stream: AX:-0.041 AY:0.101 AZ:-0.965 | GX:-1.573 GY:-1.176 GZ:0.260 | T:24.91 C
I (580095) mpu6050 stream: AX:-0.042 AY:0.096 AZ:-0.959 | GX:-1.481 GY:-1.038 GZ:-0.015 | T:24.91 C
I (580105) mpu6050 stream: AX:-0.034 AY:0.107 AZ:-0.951 | GX:-0.992 GY:-0.763 GZ:-0.443 | T:24.91 C
I (580115) mpu6050 stream: AX:-0.038 AY:0.103 AZ:-0.957 | GX:-0.656 GY:-0.382 GZ:-0.611 | T:24.91 C
I (580125) mpu6050 stream: AX:-0.031 AY:0.106 AZ:-0.966 | GX:-0.015 GY:-0.595 GZ:-0.748 | T:25.00 C
I (580135) mpu6050 stream: AX:-0.038 AY:0.107 AZ:-0.957 | GX:0.137 GY:-0.565 GZ:-0.656 | T:24.91 C
I (580145) mpu6050 stream: AX:-0.038 AY:0.109 AZ:-0.961 | GX:-0.244 GY:-0.336 GZ:-0.718 | T:24.91 C
I (580155) mpu6050 stream: AX:-0.038 AY:0.106 AZ:-0.965 | GX:-0.611 GY:-0.076 GZ:-0.550 | T:25.00 C
I (580165) mpu6050 stream: AX:-0.036 AY:0.111 AZ:-0.952 | GX:-0.916 GY:-0.061 GZ:-0.473 | T:24.91 C
I (580175) mpu6050 stream: AX:-0.040 AY:0.115 AZ:-0.962 | GX:-0.550 GY:-0.183 GZ:-0.076 | T:24.91 C
I (580185) mpu6050 stream: AX:-0.034 AY:0.114 AZ:-0.961 | GX:-0.290 GY:-0.168 GZ:0.305 | T:24.91 C
I (580195) mpu6050 stream: AX:-0.046 AY:0.120 AZ:-0.961 | GX:0.718 GY:0.183 GZ:0.809 | T:24.86 C
I (580205) mpu6050 stream: AX:-0.042 AY:0.104 AZ:-0.964 | GX:0.763 GY:0.336 GZ:1.420 | T:24.86 C
I (580215) mpu6050 stream: AX:-0.040 AY:0.110 AZ:-0.962 | GX:0.427 GY:0.656 GZ:1.695 | T:24.95 C
I (580225) mpu6050 stream: AX:-0.042 AY:0.101 AZ:-0.951 | GX:-0.092 GY:0.931 GZ:1.725 | T:24.95 C
I (580235) mpu6050 stream: AX:-0.033 AY:0.104 AZ:-0.947 | GX:-0.595 GY:0.672 GZ:1.740 | T:24.95 C
I (580245) mpu6050 stream: AX:-0.033 AY:0.112 AZ:-0.951 | GX:-0.580 GY:0.611 GZ:1.649 | T:25.05 C
I (580255) mpu6050 stream: AX:-0.034 AY:0.108 AZ:-0.949 | GX:-0.458 GY:0.366 GZ:1.832 | T:24.95 C
I (580265) mpu6050 stream: AX:-0.034 AY:0.104 AZ:-0.943 | GX:-0.015 GY:0.229 GZ:1.863 | T:25.05 C
I (580275) mpu6050 stream: AX:-0.028 AY:0.104 AZ:-0.949 | GX:0.580 GY:0.244 GZ:2.000 | T:25.05 C
I (580285) mpu6050 stream: AX:-0.039 AY:0.105 AZ:-0.964 | GX:1.160 GY:0.015 GZ:1.939 | T:24.95 C
I (580295) mpu6050 stream: AX:-0.035 AY:0.096 AZ:-0.953 | GX:1.313 GY:0.458 GZ:1.832 | T:24.95 C
I (580305) mpu6050 stream: AX:-0.037 AY:0.099 AZ:-0.954 | GX:0.901 GY:0.183 GZ:1.664 | T:24.95 C
I (580315) mpu6050 stream: AX:-0.041 AY:0.098 AZ:-0.954 | GX:0.550 GY:-0.015 GZ:1.466 | T:24.95 C
I (580325) mpu6050 stream: AX:-0.038 AY:0.098 AZ:-0.962 | GX:0.244 GY:-0.305 GZ:1.664 | T:24.86 C
I (580335) mpu6050 stream: AX:-0.037 AY:0.102 AZ:-0.955 | GX:0.092 GY:-0.321 GZ:1.405 | T:24.95 C
I (580345) mpu6050 stream: AX:-0.039 AY:0.096 AZ:-0.957 | GX:-0.092 GY:-0.473 GZ:1.328 | T:25.05 C
I (580355) mpu6050 stream: AX:-0.039 AY:0.103 AZ:-0.954 | GX:0.183 GY:0.046 GZ:1.466 | T:24.91 C
I (580365) mpu6050 stream: AX:-0.038 AY:0.102 AZ:-0.958 | GX:0.137 GY:0.168 GZ:1.328 | T:24.91 C
I (580375) mpu6050 stream: AX:-0.039 AY:0.101 AZ:-0.966 | GX:0.443 GY:0.473 GZ:1.466 | T:24.91 C
I (580385) mpu6050 stream: AX:-0.036 AY:0.104 AZ:-0.961 | GX:0.473 GY:0.626 GZ:1.496 | T:25.00 C
I (580395) mpu6050 stream: AX:-0.035 AY:0.098 AZ:-0.955 | GX:0.443 GY:0.489 GZ:1.664 | T:25.00 C
I (580405) mpu6050 stream: AX:-0.037 AY:0.100 AZ:-0.959 | GX:0.672 GY:0.656 GZ:1.603 | T:24.91 C
I (580415) mpu6050 stream: AX:-0.041 AY:0.093 AZ:-0.966 | GX:0.580 GY:0.519 GZ:1.756 | T:24.91 C
I (580425) mpu6050 stream: AX:-0.041 AY:0.102 AZ:-0.967 | GX:0.443 GY:0.656 GZ:1.664 | T:25.00 C
I (580435) mpu6050 stream: AX:-0.042 AY:0.099 AZ:-0.961 | GX:0.336 GY:0.611 GZ:1.573 | T:24.91 C
I (580445) mpu6050 stream: AX:-0.034 AY:0.092 AZ:-0.954 | GX:0.214 GY:0.718 GZ:1.542 | T:24.91 C
I (580455) mpu6050 stream: AX:-0.027 AY:0.094 AZ:-0.957 | GX:0.031 GY:0.504 GZ:1.298 | T:24.91 C
I (580465) mpu6050 stream: AX:-0.030 AY:0.091 AZ:-0.954 | GX:-0.229 GY:0.718 GZ:1.023 | T:24.91 C
I (580475) mpu6050 stream: AX:-0.034 AY:0.093 AZ:-0.954 | GX:-0.473 GY:0.748 GZ:1.176 | T:24.91 C
I (580485) mpu6050 stream: AX:-0.035 AY:0.094 AZ:-0.952 | GX:-0.458 GY:0.855 GZ:0.947 | T:24.91 C
I (580495) mpu6050 stream: AX:-0.036 AY:0.099 AZ:-0.957 | GX:-0.321 GY:0.458 GZ:0.824 | T:25.00 C
I (580505) mpu6050 stream: AX:-0.034 AY:0.100 AZ:-0.956 | GX:-0.397 GY:0.198 GZ:0.550 | T:25.00 C
I (580515) mpu6050 stream: AX:-0.029 AY:0.093 AZ:-0.955 | GX:-0.351 GY:0.122 GZ:0.412 | T:24.91 C
I (580525) mpu6050 stream: AX:-0.032 AY:0.095 AZ:-0.951 | GX:-0.443 GY:-0.061 GZ:0.489 | T:25.00 C
I (580535) mpu6050 stream: AX:-0.037 AY:0.096 AZ:-0.965 | GX:-0.382 GY:-0.061 GZ:0.382 | T:24.91 C
I (580545) mpu6050 stream: AX:-0.039 AY:0.100 AZ:-0.959 | GX:-0.321 GY:0.076 GZ:0.382 | T:24.91 C
I (580555) mpu6050 stream: AX:-0.036 AY:0.100 AZ:-0.952 | GX:-0.122 GY:0.061 GZ:0.336 | T:25.00 C
I (580565) mpu6050 stream: AX:-0.038 AY:0.104 AZ:-0.959 | GX:-0.153 GY:-0.076 GZ:0.412 | T:24.91 C
I (580575) mpu6050 stream: AX:-0.036 AY:0.101 AZ:-0.961 | GX:-0.183 GY:-0.153 GZ:0.504 | T:25.00 C
I (580585) mpu6050 stream: AX:-0.035 AY:0.107 AZ:-0.964 | GX:0.015 GY:-0.168 GZ:0.550 | T:25.00 C
I (580595) mpu6050 stream: AX:-0.037 AY:0.101 AZ:-0.958 | GX:0.061 GY:-0.153 GZ:0.718 | T:24.91 C
I (580605) mpu6050 stream: AX:-0.037 AY:0.104 AZ:-0.967 | GX:-0.061 GY:0.290 GZ:0.824 | T:24.91 C
I (580615) mpu6050 stream: AX:-0.040 AY:0.104 AZ:-0.960 | GX:-0.015 GY:0.321 GZ:0.916 | T:24.91 C
I (580625) mpu6050 stream: AX:-0.033 AY:0.102 AZ:-0.963 | GX:0.092 GY:0.656 GZ:1.176 | T:24.91 C
I (580635) mpu6050 stream: AX:-0.033 AY:0.096 AZ:-0.954 | GX:-0.198 GY:0.427 GZ:1.115 | T:24.91 C
I (580645) mpu6050 stream: AX:-0.035 AY:0.097 AZ:-0.961 | GX:-0.229 GY:0.534 GZ:1.038 | T:25.00 C
I (580655) mpu6050 stream: AX:-0.030 AY:0.104 AZ:-0.949 | GX:-0.504 GY:0.626 GZ:0.870 | T:24.91 C
I (580665) mpu6050 stream: AX:-0.031 AY:0.104 AZ:-0.950 | GX:-0.244 GY:0.641 GZ:0.885 | T:24.91 C
I (580675) mpu6050 stream: AX:-0.024 AY:0.093 AZ:-0.951 | GX:0.015 GY:0.366 GZ:0.458 | T:25.00 C
I (580685) mpu6050 stream: AX:-0.026 AY:0.094 AZ:-0.953 | GX:-0.015 GY:0.550 GZ:0.489 | T:25.00 C
I (580695) mpu6050 stream: AX:-0.021 AY:0.092 AZ:-0.953 | GX:-0.198 GY:0.504 GZ:-0.107 | T:24.86 C
I (580705) mpu6050 stream: AX:-0.031 AY:0.094 AZ:-0.963 | GX:-0.794 GY:0.137 GZ:-0.168 | T:24.95 C
I (580715) mpu6050 stream: AX:-0.027 AY:0.101 AZ:-0.968 | GX:-1.511 GY:-0.351 GZ:-0.244 | T:24.95 C
I (580725) mpu6050 stream: AX:-0.027 AY:0.110 AZ:-0.968 | GX:-1.603 GY:-0.427 GZ:-0.427 | T:24.95 C
I (580735) mpu6050 stream: AX:-0.034 AY:0.115 AZ:-0.962 | GX:-0.626 GY:-0.534 GZ:-0.580 | T:25.05 C
I (580745) mpu6050 stream: AX:-0.029 AY:0.113 AZ:-0.960 | GX:0.595 GY:-0.412 GZ:-0.244 | T:24.86 C
I (580755) mpu6050 stream: AX:-0.031 AY:0.109 AZ:-0.959 | GX:2.015 GY:-0.534 GZ:0.244 | T:24.95 C
I (580765) mpu6050 stream: AX:-0.035 AY:0.104 AZ:-0.963 | GX:2.397 GY:-0.137 GZ:0.718 | T:25.05 C
I (580775) mpu6050 stream: AX:-0.031 AY:0.093 AZ:-0.953 | GX:1.405 GY:-0.458 GZ:0.916 | T:24.95 C
I (580785) mpu6050 stream: AX:-0.033 AY:0.096 AZ:-0.946 | GX:0.214 GY:-0.595 GZ:0.992 | T:24.86 C
I (580795) mpu6050 stream: AX:-0.033 AY:0.098 AZ:-0.953 | GX:-1.237 GY:-0.992 GZ:1.053 | T:24.95 C
I (580805) mpu6050 stream: AX:-0.033 AY:0.106 AZ:-0.940 | GX:-1.802 GY:-1.221 GZ:1.420 | T:24.95 C
I (580815) mpu6050 stream: AX:-0.035 AY:0.104 AZ:-0.946 | GX:-1.496 GY:-1.298 GZ:1.832 | T:24.95 C
I (580825) mpu6050 stream: AX:-0.038 AY:0.109 AZ:-0.951 | GX:-0.504 GY:-1.008 GZ:1.954 | T:24.95 C
I (580835) mpu6050 stream: AX:-0.038 AY:0.102 AZ:-0.962 | GX:0.092 GY:-0.733 GZ:2.046 | T:24.95 C
I (580845) mpu6050 stream: AX:-0.041 AY:0.096 AZ:-0.950 | GX:0.519 GY:-0.412 GZ:2.015 | T:24.86 C
I (580855) mpu6050 stream: AX:-0.045 AY:0.095 AZ:-0.953 | GX:0.275 GY:-0.260 GZ:1.603 | T:24.95 C
I (580865) mpu6050 stream: AX:-0.036 AY:0.094 AZ:-0.957 | GX:-0.092 GY:-0.366 GZ:1.344 | T:24.95 C
I (580875) mpu6050 stream: AX:-0.037 AY:0.089 AZ:-0.958 | GX:-1.I (581105) mpu6050 stream: AX:-0.047 AY:0.095 AZ:-0.963 | GX:0.656 GY:-0.458 GZ:0.962 | T:25.00 C
I (581115) mpu6050 stream: AX:-0.043 AY:0.101 AZ:-0.949 | GX:0.198 GY:-0.092 GZ:0.672 | T:25.00 C
I (581125) mpu6050 stream: AX:-0.041 AY:0.098 AZ:-0.953 | GX:0.137 GY:-0.550 GZ:0.794 | T:24.91 C
I (581135) mpu6050 stream: AX:-0.048 AY:0.104 AZ:-0.945 | GX:0.351 GY:-0.947 GZ:0.794 | T:24.91 C
I (581145) mpu6050 stream: AX:-0.043 AY:0.097 AZ:-0.961 | GX:0.702 GY:-0.824 GZ:0.763 | T:24.91 C
I (581155) mpu6050 stream: AX:-0.043 AY:0.106 AZ:-0.957 | GX:-0.427 GY:-0.702 GZ:1.008 | T:24.91 C
I (581165) mpu6050 stream: AX:-0.049 AY:0.100 AZ:-0.953 | GX:0.153 GY:-0.641 GZ:1.069 | T:24.91 C
I (581175) mpu6050 stream: AX:-0.047 AY:0.101 AZ:-0.963 | GX:0.107 GY:-0.229 GZ:1.145 | T:25.00 C
I (581185) mpu6050 stream: AX:-0.045 AY:0.104 AZ:-0.967 | GX:0.611 GY:0.153 GZ:1.450 | T:24.91 C
