I (657275) mpu6050 stream: AX:0.049 AY:0.123 AZ:-0.963 | GX:0.137 GY:-0.107 GZ:0.641 | T:24.91 C
I (657285) mpu6050 stream: AX:0.048 AY:0.116 AZ:-0.955 | GX:0.198 GY:0.183 GZ:0.443 | T:25.00 C
I (657295) mpu6050 stream: AX:0.052 AY:0.117 AZ:-0.953 | GX:-0.122 GY:-0.198 GZ:0.595 | T:25.00 C
I (657305) mpu6050 stream: AX:0.057 AY:0.117 AZ:-0.954 | GX:-0.214 GY:-0.550 GZ:0.565 | T:25.00 C
I (657315) mpu6050 stream: AX:0.050 AY:0.123 AZ:-0.952 | GX:-0.733 GY:-0.809 GZ:0.443 | T:24.91 C
I (657325) mpu6050 stream: AX:0.051 AY:0.124 AZ:-0.957 | GX:-1.038 GY:-1.115 GZ:0.290 | T:25.00 C
I (657335) mpu6050 stream: AX:0.051 AY:0.124 AZ:-0.956 | GX:-0.931 GY:-1.053 GZ:0.595 | T:25.00 C
I (657345) mpu6050 stream: AX:0.050 AY:0.126 AZ:-0.950 | GX:-0.779 GY:-1.084 GZ:0.672 | T:25.00 C
I (657355) mpu6050 stream: AX:0.044 AY:0.124 AZ:-0.965 | GX:-0.519 GY:-0.733 GZ:0.947 | T:25.09 C
I (657365) mpu6050 stream: AX:0.051 AY:0.121 AZ:-0.961 | GX:-0.183 GY:-0.550 GZ:1.115 | T:25.00 C
I (657375) mpu6050 stream: AX:0.044 AY:0.123 AZ:-0.956 | GX:-0.015 GY:-0.824 GZ:1.282 | T:25.00 C
I (657385) mpu6050 stream: AX:0.053 AY:0.122 AZ:-0.967 | GX:-0.031 GY:-0.779 GZ:1.328 | T:25.00 C
I (657395) mpu6050 stream: AX:0.054 AY:0.121 AZ:-0.958 | GX:-0.321 GY:-1.023 GZ:1.511 | T:25.00 C
I (657405) mpu6050 stream: AX:0.053 AY:0.118 AZ:-0.945 | GX:-0.427 GY:-0.977 GZ:1.573 | T:25.00 C
I (657415) mpu6050 stream: AX:0.045 AY:0.120 AZ:-0.950 | GX:-0.702 GY:-0.977 GZ:1.725 | T:24.91 C
I (657425) mpu6050 stream: AX:0.049 AY:0.111 AZ:-0.958 | GX:-0.992 GY:-1.237 GZ:1.298 | T:25.00 C
I (657435) mpu6050 stream: AX:0.046 AY:0.115 AZ:-0.960 | GX:-1.282 GY:-1.313 GZ:1.176 | T:25.00 C
I (657445) mpu6050 stream: AX:0.045 AY:0.122 AZ:-0.952 | GX:-1.328 GY:-1.191 GZ:1.130 | T:25.00 C
I (657455) mpu6050 stream: AX:0.049 AY:0.125 AZ:-0.960 | GX:-1.298 GY:-1.359 GZ:1.008 | T:24.91 C
I (657465) mpu6050 stream: AX:0.043 AY:0.122 AZ:-0.956 | GX:-1.359 GY:-1.221 GZ:0.992 | T:24.91 C
I (657475) mpu6050 stream: AX:0.048 AY:0.121 AZ:-0.950 | GX:-1.145 GY:-1.328 GZ:0.718 | T:24.91 C
I (657485) mpu6050 stream: AX:0.037 AY:0.120 AZ:-0.963 | GX:-1.160 GY:-1.405 GZ:0.489 | T:25.00 C
I (657495) mpu6050 stream: AX:0.048 AY:0.122 AZ:-0.957 | GX:-1.023 GY:-1.237 GZ:0.321 | T:25.00 C
I (657505) mpu6050 stream: AX:0.050 AY:0.124 AZ:-0.955 | GX:-1.038 GY:-1.466 GZ:0.244 | T:25.00 C
I (657515) mpu6050 stream: AX:0.040 AY:0.123 AZ:-0.957 | GX:-0.870 GY:-1.603 GZ:0.183 | T:24.91 C
