I (663285) mpu6050 stream: AX:0.063 AY:0.099 AZ:-0.965 | GX:-1.359 GY:-1.496 GZ:1.664 | T:25.00 C
I (663295) mpu6050 stream: AX:0.059 AY:0.099 AZ:-0.955 | GX:-1.176 GY:-1.679 GZ:1.496 | T:24.91 C
I (663305) mpu6050 stream: AX:0.060 AY:0.102 AZ:-0.966 | GX:-1.527 GY:-1.191 GZ:1.145 | T:25.00 C
I (663315) mpu6050 stream: AX:0.063 AY:0.098 AZ:-0.948 | GX:-1.771 GY:-1.511 GZ:0.641 | T:24.91 C
I (663325) mpu6050 stream: AX:0.063 AY:0.106 AZ:-0.962 | GX:-0.641 GY:-1.023 GZ:0.733 | T:25.00 C
I (663335) mpu6050 stream: AX:0.068 AY:0.107 AZ:-0.969 | GX:-0.580 GY:-0.366 GZ:0.534 | T:25.00 C
I (663345) mpu6050 stream: AX:0.062 AY:0.095 AZ:-0.964 | GX:-0.885 GY:-0.168 GZ:0.443 | T:25.00 C
I (663355) mpu6050 stream: AX:0.063 AY:0.105 AZ:-0.957 | GX:-1.618 GY:-0.046 GZ:0.427 | T:25.09 C
I (663365) mpu6050 stream: AX:0.067 AY:0.113 AZ:-0.947 | GX:-1.344 GY:-0.290 GZ:0.214 | T:25.00 C
I (663375) mpu6050 stream: AX:0.066 AY:0.114 AZ:-0.949 | GX:-0.580 GY:-0.641 GZ:0.198 | T:25.00 C
I (663385) mpu6050 stream: AX:0.063 AY:0.114 AZ:-0.953 | GX:-0.107 GY:-0.687 GZ:0.427 | T:24.91 C
I (663395) mpu6050 stream: AX:0.064 AY:0.113 AZ:-0.969 | GX:0.198 GY:-0.916 GZ:0.656 | T:25.00 C
I (663405) mpu6050 stream: AX:0.061 AY:0.110 AZ:-0.960 | GX:0.504 GY:-0.244 GZ:1.008 | T:25.00 C
I (663415) mpu6050 stream: AX:0.062 AY:0.102 AZ:-0.955 | GX:0.260 GY:0.183 GZ:1.130 | T:25.00 C
I (663425) mpu6050 stream: AX:0.068 AY:0.109 AZ:-0.951 | GX:-0.061 GY:0.168 GZ:1.130 | T:25.00 C
I (663435) mpu6050 stream: AX:0.066 AY:0.109 AZ:-0.954 | GX:-0.458 GY:0.031 GZ:1.099 | T:25.00 C
I (663445) mpu6050 stream: AX:0.066 AY:0.115 AZ:-0.949 | GX:-0.458 GY:-0.382 GZ:1.344 | T:24.91 C
I (663455) mpu6050 stream: AX:0.060 AY:0.112 AZ:-0.944 | GX:-0.153 GY:-0.382 GZ:1.710 | T:25.00 C
I (663465) mpu6050 stream: AX:0.067 AY:0.112 AZ:-0.944 | GX:0.412 GY:-0.565 GZ:1.863 | T:25.00 C
I (663475) mpu6050 stream: AX:0.067 AY:0.108 AZ:-0.958 | GX:1.084 GY:-0.809 GZ:2.000 | T:25.00 C
I (663485) mpu6050 stream: AX:0.064 AY:0.110 AZ:-0.966 | GX:1.069 GY:-0.504 GZ:2.000 | T:25.00 C
I (663495) mpu6050 stream: AX:0.062 AY:0.108 AZ:-0.963 | GX:1.313 GY:-0.336 GZ:2.214 | T:25.00 C
I (663505) mpu6050 stream: AX:0.063 AY:0.102 AZ:-0.964 | GX:1.160 GY:-0.198 GZ:1.969 | T:25.09 C
I (663515) mpu6050 stream: AX:0.071 AY:0.102 AZ:-0.969 | GX:0.992 GY:-0.595 GZ:2.122 | T:25.00 C
I (663525) mpu6050 stream: AX:0.065 AY:0.100 AZ:-0.952 | GX:1.130 GY:-0.656 GZ:2.092 | T:25.05 C
I (663535) mpu6050 stream: AX:0.067 AY:0.104 AZ:-0.960 | GX:1.160 GY:-0.519 GZ:1.725 | T:25.05 C
I (663545) mpu6050 stream: AX:0.060 AY:0.098 AZ:-0.966 | GX:2.290 GY:-0.504 GZ:1.878 | T:25.05 C
I (663555) mpu6050 stream: AX:0.063 AY:0.101 AZ:-0.957 | GX:-0.382 GY:-0.809 GZ:2.305 | T:24.95 C
I (663565) mpu6050 stream: AX:0.060 AY:0.094 AZ:-0.945 | GX:0.901 GY:-0.779 GZ:2.229 | T:25.05 C
I (663575) mpu6050 stream: AX:0.063 AY:0.105 AZ:-0.966 | GX:1.099 GY:-0.748 GZ:2.366 | T:25.05 C
I (663585) mpu6050 stream: AX:0.058 AY:0.100 AZ:-0.960 | GX:1.634 GY:-0.534 GZ:2.382 | T:24.95 C
I (663595) mpu6050 stream: AX:0.062 AY:0.094 AZ:-0.968 | GX:0.519 GY:-0.336 GZ:2.290 | T:24.95 C
I (663605) mpu6050 stream: AX:0.058 AY:0.090 AZ:-0.953 | GX:-0.244 GY:-0.382 GZ:2.489 | T:25.05 C
I (663615) mpu6050 stream: AX:0.058 AY:0.096 AZ:-0.957 | GX:-0.076 GY:-0.489 GZ:2.534 | T:25.05 C
I (663625) mpu6050 stream: AX:0.060 AY:0.096 AZ:-0.957 | GX:-0.412 GY:-0.473 GZ:2.427 | T:24.95 C
I (663635) mpu6050 stream: AX:0.059 AY:0.089 AZ:-0.951 | GX:-0.519 GY:-0.366 GZ:2.153 | T:24.86 C
I (663645) mpu6050 stream: AX:0.061 AY:0.089 AZ:-0.955 | GX:-0.550 GY:-0.275 GZ:2.092 | T:24.95 C
I (663655) mpu6050 stream: AX:0.059 AY:0.092 AZ:-0.952 | GX:-0.443 GY:-0.168 GZ:1.908 | T:25.05 C
I (663665) mpu6050 stream: AX:0.063 AY:0.094 AZ:-0.948 | GX:-0.595 GY:-0.641 GZ:1.252 | T:24.95 C
I (663675) mpu6050 stream: AX:0.063 AY:0.094 AZ:-0.954 | GX:-1.176 GY:-0.840 GZ:1.084 | T:25.05 C
I (663685) mpu6050 stream: AX:0.070 AY:0.099 AZ:-0.961 | GX:-1.679 GY:-1.282 GZ:0.916 | T:24.95 C
