I (474835) mpu6050 stream: AX:-0.071 AY:0.089 AZ:-0.946 | GX:0.580 GY:-1.237 GZ:2.061 | T:25.14 C
I (474845) mpu6050 stream: AX:-0.075 AY:0.093 AZ:-0.944 | GX:0.962 GY:-1.344 GZ:1.893 | T:25.19 C
I (474855) mpu6050 stream: AX:-0.077 AY:0.091 AZ:-0.961 | GX:0.733 GY:-1.267 GZ:1.817 | T:25.05 C
I (474865) mpu6050 stream: AX:-0.079 AY:0.089 AZ:-0.957 | GX:-0.015 GY:-1.221 GZ:1.649 | T:25.05 C
I (474875) mpu6050 stream: AX:-0.079 AY:0.086 AZ:-0.952 | GX:-0.260 GY:-1.389 GZ:1.405 | T:25.14 C
I (474885) mpu6050 stream: AX:-0.076 AY:0.088 AZ:-0.949 | GX:-0.382 GY:-1.298 GZ:1.359 | T:25.05 C
I (474895) mpu6050 stream: AX:-0.077 AY:0.085 AZ:-0.959 | GX:-0.092 GY:-1.313 GZ:1.069 | T:25.05 C
I (474905) mpu6050 stream: AX:-0.083 AY:0.094 AZ:-0.953 | GX:0.122 GY:-1.344 GZ:0.855 | T:25.14 C
I (474915) mpu6050 stream: AX:-0.077 AY:0.092 AZ:-0.955 | GX:1.786 GY:-1.359 GZ:0.580 | T:24.95 C
I (474925) mpu6050 stream: AX:-0.074 AY:0.090 AZ:-0.955 | GX:-0.229 GY:-0.885 GZ:1.008 | T:25.05 C
I (474935) mpu6050 stream: AX:-0.084 AY:0.082 AZ:-0.960 | GX:-0.046 GY:-1.191 GZ:0.992 | T:25.05 C
I (474945) mpu6050 stream: AX:-0.082 AY:0.094 AZ:-0.969 | GX:-0.336 GY:-0.870 GZ:1.008 | T:25.05 C
I (474955) mpu6050 stream: AX:-0.082 AY:0.097 AZ:-0.962 | GX:-0.489 GY:-1.038 GZ:0.977 | T:25.05 C
I (474965) mpu6050 stream: AX:-0.076 AY:0.099 AZ:-0.966 | GX:0.076 GY:-0.641 GZ:1.221 | T:25.05 C
I (474975) mpu6050 stream: AX:-0.083 AY:0.096 AZ:-0.967 | GX:0.198 GY:-0.550 GZ:1.740 | T:24.95 C
I (474985) mpu6050 stream: AX:-0.087 AY:0.099 AZ:-0.961 | GX:1.298 GY:0.183 GZ:2.000 | T:25.05 C
I (474995) mpu6050 stream: AX:-0.086 AY:0.085 AZ:-0.961 | GX:1.038 GY:0.290 GZ:2.275 | T:25.05 C
I (475005) mpu6050 stream: AX:-0.078 AY:0.085 AZ:-0.957 | GX:0.489 GY:0.305 GZ:2.412 | T:25.14 C
I (475015) mpu6050 stream: AX:-0.074 AY:0.083 AZ:-0.950 | GX:0.046 GY:0.443 GZ:2.382 | T:25.05 C
I (475025) mpu6050 stream: AX:-0.079 AY:0.088 AZ:-0.949 | GX:-0.443 GY:-0.107 GZ:2.519 | T:25.14 C
I (475035) mpu6050 stream: AX:-0.077 AY:0.088 AZ:-0.949 | GX:-0.565 GY:-0.137 GZ:2.580 | T:25.14 C
I (475045) mpu6050 stream: AX:-0.083 AY:0.093 AZ:-0.960 | GX:-0.427 GY:-0.137 GZ:2.504 | T:25.14 C
I (475055) mpu6050 stream: AX:-0.074 AY:0.095 AZ:-0.946 | GX:0.473 GY:-0.122 GZ:2.534 | T:25.14 C
I (475065) mpu6050 stream: AX:-0.074 AY:0.097 AZ:-0.949 | GX:1.145 GY:-0.366 GZ:2.718 | T:25.14 C
I (475075) mpu6050 stream: AX:-0.081 AY:0.088 AZ:-0.962 | GX:1.527 GY:-0.656 GZ:2.748 | T:25.05 C
I (475085) mpu6050 stream: AX:-0.080 AY:0.088 AZ:-0.956 | GX:1.282 GY:-0.947 GZ:2.702 | T:25.05 C
I (475095) mpu6050 stream: AX:-0.077 AY:0.086 AZ:-0.955 | GX:0.901 GY:-0.656 GZ:2.550 | T:25.14 C
I (475105) mpu6050 stream: AX:-0.084 AY:0.078 AZ:-0.961 | GX:0.550 GY:-0.779 GZ:2.611 | T:25.05 C
I (475115) mpu6050 stream: AX:-0.075 AY:0.090 AZ:-0.957 | GX:0.550 GY:-0.901 GZ:2.519 | T:25.05 C
I (475125) mpu6050 stream: AX:-0.080 AY:0.082 AZ:-0.955 | GX:0.397 GY:-1.145 GZ:2.427 | T:25.14 C
I (475135) mpu6050 stream: AX:-0.084 AY:0.084 AZ:-0.954 | GX:0.336 GY:-1.176 GZ:2.275 | T:25.14 C
I (475145) mpu6050 stream: AX:-0.083 AY:0.085 AZ:-0.957 | GX:0.275 GY:-0.931 GZ:2.336 | T:25.05 C
I (475155) mpu6050 stream: AX:-0.082 AY:0.089 AZ:-0.960 | GX:0.305 GY:-0.656 GZ:2.214 | T:25.14 C
I (475165) mpu6050 stream: AX:-0.081 AY:0.083 AZ:-0.955 | GX:0.305 GY:-0.336 GZ:1.954 | T:25.05 C
I (475175) mpu6050 stream: AX:-0.082 AY:0.084 AZ:-0.954 | GX:0.504 GY:-0.504 GZ:1.832 | T:25.05 C
I (475185) mpu6050 stream: AX:-0.079 AY:0.085 AZ:-0.955 | GX:0.672 GY:-0.626 GZ:1.740 | T:25.14 C
I (475195) mpu6050 stream: AX:-0.080 AY:0.082 AZ:-0.951 | GX:0.840 GY:-0.427 GZ:1.618 | T:25.14 C
I (475205) mpu6050 stream: AX:-0.086 AY:0.087 AZ:-0.955 | GX:0.672 GY:-0.412 GZ:1.527 | T:25.14 C
I (475215) mpu6050 stream: AX:-0.086 AY:0.080 AZ:-0.956 | GX:0.366 GY:-0.305 GZ:1.649 | T:25.05 C
I (475225) mpu6050 stream: AX:-0.079 AY:0.086 AZ:-0.955 | GX:0.366 GY:-0.153 GZ:1.817 | T:25.14 C
I (475235) mpu6050 stream: AX:-0.087 AY:0.085 AZ:-0.959 | GX:0.336 GY:-0.168 GZ:1.649 | T:25.05 C
I (475245) mpu6050 stream: AX:-0.081 AY:0.076 AZ:-0.956 | GX:0.153 GY:-0.046 GZ:1.573 | T:25.14 C
I (475255) mpu6050 stream: AX:-0.087 AY:0.079 AZ:-0.958 | GX:0.137 GY:0.015 GZ:1.573 | T:25.14 C
I (475265) mpu6050 stream: AX:-0.078 AY:0.081 AZ:-0.960 | GX:-0.198 GY:0.260 GZ:1.298 | T:25.14 C
I (475275) mpu6050 stream: AX:-0.077 AY:0.081 AZ:-0.943 | GX:-0.183 GY:0.153 GZ:1.252 | T:25.05 C
I (475285) mpu6050 stream: AX:-0.079 AY:0.081 AZ:-0.952 | GX:-0.275 GY:0.168 GZ:1.130 | T:25.14 C
I (475295) mpu6050 stream: AX:-0.076 AY:0.076 AZ:-0.945 | GX:-0.290 GY:-0.214 GZ:0.962 | T:25.05 C
I (475305) mpu6050 stream: AX:-0.077 AY:0.085 AZ:-0.955 | GX:-0.153 GY:-0.183 GZ:0.947 | T:25.05 C
I (475315) mpu6050 stream: AX:-0.086 AY:0.082 AZ:-0.954 | GX:-0.244 GY:-0.168 GZ:0.733 | T:25.05 C
I (475325) mpu6050 stream: AX:-0.073 AY:0.079 AZ:-0.957 | GX:-0.229 GY:-0.137 GZ:0.794 | T:25.14 C
I (475335) mpu6050 stream: AX:-0.085 AY:0.087 AZ:-0.950 | GX:-0.397 GY:-0.382 GZ:0.779 | T:25.05 C
I (475345) mpu6050 stream: AX:-0.072 AY:0.088 AZ:-0.952 | GX:-0.031 GY:-0.427 GZ:0.656 | T:25.14 C
I (475355) mpu6050 stream: AX:-0.076 AY:0.084 AZ:-0.959 | GX:-0.046 GY:-0.412 GZ:0.885 | T:25.05 C
I (475365) mpu6050 stream: AX:-0.084 AY:0.081 AZ:-0.962 | GX:-0.229 GY:0.198 GZ:0.519 | T:25.14 C
I (475375) mpu6050 stream: AX:-0.082 AY:0.082 AZ:-0.946 | GX:-0.336 GY:0.076 GZ:0.504 | T:25.14 C
I (475385) mpu6050 stream: AX:-0.079 AY:0.090 AZ:-0.962 | GX:-0.733 GY:-0.015 GZ:0.595 | T:25.14 C
I (475395) mpu6050 stream: AX:-0.078 AY:0.084 AZ:-0.961 | GX:-1.389 GY:0.137 GZ:0.595 | T:24.95 C
I (475405) mpu6050 stream: AX:-0.080 AY:0.091 AZ:-0.963 | GX:-2.183 GY:-0.321 GZ:0.595 | T:25.05 C
