I (486855) mpu6050 stream: AX:-0.084 AY:0.075 AZ:-0.950 | GX:-0.427 GY:0.046 GZ:0.397 | T:25.09 C
I (486865) mpu6050 stream: AX:-0.085 AY:0.071 AZ:-0.959 | GX:-0.321 GY:-0.153 GZ:0.443 | T:25.00 C
I (486875) mpu6050 stream: AX:-0.085 AY:0.075 AZ:-0.952 | GX:-1.084 GY:-0.168 GZ:0.397 | T:25.00 C
I (486885) mpu6050 stream: AX:-0.085 AY:0.078 AZ:-0.952 | GX:-0.290 GY:-0.366 GZ:0.519 | T:25.00 C
I (486895) mpu6050 stream: AX:-0.093 AY:0.077 AZ:-0.958 | GX:0.229 GY:-0.061 GZ:0.641 | T:25.00 C
I (486905) mpu6050 stream: AX:-0.086 AY:0.072 AZ:-0.960 | GX:0.916 GY:0.198 GZ:0.626 | T:25.19 C
I (486915) mpu6050 stream: AX:-0.090 AY:0.073 AZ:-0.961 | GX:0.794 GY:0.611 GZ:0.733 | T:25.09 C
I (486925) mpu6050 stream: AX:-0.090 AY:0.078 AZ:-0.963 | GX:0.763 GY:0.550 GZ:0.916 | T:25.09 C
I (486935) mpu6050 stream: AX:-0.086 AY:0.076 AZ:-0.954 | GX:0.748 GY:0.366 GZ:0.779 | T:25.09 C
I (486945) mpu6050 stream: AX:-0.086 AY:0.069 AZ:-0.959 | GX:0.290 GY:0.305 GZ:0.885 | T:25.09 C
I (486955) mpu6050 stream: AX:-0.087 AY:0.079 AZ:-0.960 | GX:0.168 GY:0.229 GZ:0.901 | T:25.00 C
I (486965) mpu6050 stream: AX:-0.090 AY:0.078 AZ:-0.961 | GX:0.382 GY:0.214 GZ:1.053 | T:25.00 C
I (486975) mpu6050 stream: AX:-0.094 AY:0.081 AZ:-0.961 | GX:0.947 GY:0.153 GZ:1.160 | T:25.00 C
I (486985) mpu6050 stream: AX:-0.086 AY:0.070 AZ:-0.961 | GX:1.053 GY:0.122 GZ:1.237 | T:25.19 C
I (486995) mpu6050 stream: AX:-0.082 AY:0.067 AZ:-0.957 | GX:0.046 GY:0.260 GZ:1.237 | T:25.09 C
I (487005) mpu6050 stream: AX:-0.085 AY:0.072 AZ:-0.957 | GX:0.565 GY:0.519 GZ:0.977 | T:25.00 C
I (487015) mpu6050 stream: AX:-0.091 AY:0.070 AZ:-0.954 | GX:0.031 GY:0.443 GZ:1.176 | T:25.09 C
I (487025) mpu6050 stream: AX:-0.091 AY:0.075 AZ:-0.943 | GX:0.794 GY:0.748 GZ:1.008 | T:25.09 C
I (487035) mpu6050 stream: AX:-0.086 AY:0.069 AZ:-0.952 | GX:-0.122 GY:0.397 GZ:1.130 | T:25.09 C
I (487045) mpu6050 stream: AX:-0.086 AY:0.070 AZ:-0.959 | GX:0.229 GY:0.824 GZ:1.115 | T:25.09 C
I (487055) mpu6050 stream: AX:-0.081 AY:0.073 AZ:-0.957 | GX:0.137 GY:0.947 GZ:1.206 | T:25.09 C
I (487065) mpu6050 stream: AX:-0.082 AY:0.070 AZ:-0.959 | GX:-0.107 GY:0.901 GZ:0.901 | T:25.09 C
I (487075) mpu6050 stream: AX:-0.081 AY:0.068 AZ:-0.949 | GX:0.061 GY:0.611 GZ:1.160 | T:25.00 C
I (487085) mpu6050 stream: AX:-0.081 AY:0.068 AZ:-0.953 | GX:-0.214 GY:0.427 GZ:0.855 | T:25.00 C
I (487095) mpu6050 stream: AX:-0.082 AY:0.072 AZ:-0.946 | GX:-0.183 GY:0.443 GZ:0.870 | T:25.00 C
I (487105) mpu6050 stream: AX:-0.086 AY:0.063 AZ:-0.947 | GX:-0.534 GY:0.107 GZ:0.519 | T:25.09 C
I (487115) mpu6050 stream: AX:-0.083 AY:0.073 AZ:-0.956 | GX:0.092 GY:-0.122 GZ:0.519 | T:25.09 C
I (487125) mpu6050 stream: AX:-0.085 AY:0.060 AZ:-0.959 | GX:-0.427 GY:-0.260 GZ:0.198 | T:25.00 C
I (487135) mpu6050 stream: AX:-0.084 AY:0.068 AZ:-0.958 | GX:-1.008 GY:0.031 GZ:-0.076 | T:25.00 C
I (487145) mpu6050 stream: AX:-0.084 AY:0.063 AZ:-0.960 | GX:-0.382 GY:-0.092 GZ:-0.153 | T:25.09 C
I (487155) mpu6050 stream: AX:-0.082 AY:0.074 AZ:-0.952 | GX:-0.733 GY:-0.321 GZ:-0.168 | T:25.09 C
I (487165) mpu6050 stream: AX:-0.081 AY:0.076 AZ:-0.961 | GX:-0.534 GY:-0.153 GZ:-0.260 | T:25.00 C
I (487175) mpu6050 stream: AX:-0.088 AY:0.075 AZ:-0.959 | GX:-0.824 GY:-0.244 GZ:-0.076 | T:25.09 C
