I (534965) mpu6050 stream: AX:-0.051 AY:0.077 AZ:-0.960 | GX:-0.168 GY:-3.863 GZ:0.366 | T:24.95 C
I (534975) mpu6050 stream: AX:-0.055 AY:0.074 AZ:-0.958 | GX:-0.015 GY:-3.954 GZ:0.198 | T:25.05 C
I (534985) mpu6050 stream: AX:-0.059 AY:0.071 AZ:-0.957 | GX:0.015 GY:-4.000 GZ:0.229 | T:24.95 C
I (534995) mpu6050 stream: AX:-0.061 AY:0.075 AZ:-0.953 | GX:-0.137 GY:-4.153 GZ:-0.107 | T:25.00 C
I (535005) mpu6050 stream: AX:-0.065 AY:0.077 AZ:-0.954 | GX:-0.275 GY:-3.786 GZ:0.000 | T:25.00 C
I (535015) mpu6050 stream: AX:-0.059 AY:0.071 AZ:-0.960 | GX:-0.748 GY:-3.603 GZ:-0.427 | T:25.09 C
I (535025) mpu6050 stream: AX:-0.059 AY:0.063 AZ:-0.962 | GX:-1.450 GY:-3.435 GZ:-0.321 | T:25.09 C
I (535035) mpu6050 stream: AX:-0.061 AY:0.073 AZ:-0.973 | GX:-1.542 GY:-3.023 GZ:-0.366 | T:25.00 C
I (535045) mpu6050 stream: AX:-0.062 AY:0.082 AZ:-0.979 | GX:-1.221 GY:-2.672 GZ:-0.565 | T:25.00 C
I (535055) mpu6050 stream: AX:-0.070 AY:0.077 AZ:-0.962 | GX:-0.656 GY:-2.168 GZ:-0.458 | T:25.00 C
I (535065) mpu6050 stream: AX:-0.066 AY:0.081 AZ:-0.970 | GX:0.031 GY:-1.954 GZ:-0.519 | T:25.00 C
I (535075) mpu6050 stream: AX:-0.065 AY:0.076 AZ:-0.965 | GX:0.748 GY:-1.863 GZ:-0.153 | T:25.00 C
I (535085) mpu6050 stream: AX:-0.070 AY:0.075 AZ:-0.960 | GX:0.458 GY:-1.710 GZ:0.168 | T:25.00 C
I (535095) mpu6050 stream: AX:-0.072 AY:0.073 AZ:-0.962 | GX:-0.443 GY:-1.710 GZ:-0.015 | T:25.00 C
I (535105) mpu6050 stream: AX:-0.069 AY:0.076 AZ:-0.953 | GX:-1.557 GY:-2.015 GZ:-0.122 | T:24.91 C
I (535115) mpu6050 stream: AX:-0.071 AY:0.074 AZ:-0.947 | GX:-2.397 GY:-2.046 GZ:0.122 | T:25.00 C
I (535125) mpu6050 stream: AX:-0.070 AY:0.081 AZ:-0.964 | GX:-2.855 GY:-1.603 GZ:0.275 | T:25.00 C
I (535135) mpu6050 stream: AX:-0.070 AY:0.082 AZ:-0.960 | GX:-2.382 GY:-1.573 GZ:0.305 | T:24.91 C
I (535145) mpu6050 stream: AX:-0.071 AY:0.077 AZ:-0.957 | GX:-1.634 GY:-1.221 GZ:0.504 | T:24.91 C
I (535155) mpu6050 stream: AX:-0.075 AY:0.073 AZ:-0.961 | GX:-1.053 GY:-0.962 GZ:0.412 | T:25.00 C
I (535165) mpu6050 stream: AX:-0.066 AY:0.078 AZ:-0.961 | GX:-0.458 GY:-0.947 GZ:0.473 | T:24.91 C
I (535175) mpu6050 stream: AX:-0.066 AY:0.078 AZ:-0.958 | GX:-0.489 GY:-1.130 GZ:0.290 | T:24.91 C
I (535185) mpu6050 stream: AX:-0.071 AY:0.071 AZ:-0.961 | GX:-1.191 GY:-1.115 GZ:0.107 | T:24.91 C
I (535195) mpu6050 stream: AX:-0.072 AY:0.073 AZ:-0.950 | GX:-1.038 GY:-0.916 GZ:-0.092 | T:25.00 C
I (535205) mpu6050 stream: AX:-0.063 AY:0.074 AZ:-0.964 | GX:-2.168 GY:-1.481 GZ:-0.183 | T:24.91 C
I (535215) mpu6050 stream: AX:-0.064 AY:0.080 AZ:-0.952 | GX:-2.489 GY:-1.450 GZ:-0.443 | T:25.00 C
I (535225) mpu6050 stream: AX:-0.068 AY:0.087 AZ:-0.945 | GX:-1.389 GY:-1.618 GZ:-0.412 | T:24.91 C
I (535235) mpu6050 stream: AX:-0.059 AY:0.077 AZ:-0.957 | GX:-0.840 GY:-1.908 GZ:-0.672 | T:25.00 C
I (535245) mpu6050 stream: AX:-0.077 AY:0.081 AZ:-0.958 | GX:-0.580 GY:-1.450 GZ:-0.275 | T:25.00 C
I (535255) mpu6050 stream: AX:-0.068 AY:0.084 AZ:-0.975 | GX:-1.481 GY:-1.328 GZ:-0.443 | T:25.00 C
I (535265) mpu6050 stream: AX:-0.070 AY:0.087 AZ:-0.958 | GX:-1.939 GY:-1.038 GZ:-0.672 | T:25.00 C
I (535275) mpu6050 stream: AX:-0.065 AY:0.088 AZ:-0.949 | GX:-1.817 GY:-1.328 GZ:-0.748 | T:25.05 C
I (535285) mpu6050 stream: AX:-0.062 AY:0.090 AZ:-0.966 | GX:-1.389 GY:-2.183 GZ:-0.580 | T:24.95 C
I (535295) mpu6050 stream: AX:-0.073 AY:0.090 AZ:-0.958 | GX:-0.656 GY:-2.153 GZ:-0.275 | T:24.95 C
I (535305) mpu6050 stream: AX:-0.074 AY:0.094 AZ:-0.959 | GX:-0.076 GY:-1.969 GZ:0.031 | T:24.95 C
I (535315) mpu6050 stream: AX:-0.083 AY:0.087 AZ:-0.956 | GX:0.076 GY:-1.328 GZ:0.275 | T:24.95 C
I (535325) mpu6050 stream: AX:-0.075 AY:0.093 AZ:-0.965 | GX:-0.107 GY:-1.313 GZ:0.198 | T:24.86 C
I (535335) mpu6050 stream: AX:-0.076 AY:0.087 AZ:-0.966 | GX:-0.840 GY:-0.885 GZ:0.397 | T:24.95 C
I (535345) mpu6050 stream: AX:-0.076 AY:0.090 AZ:-0.958 | GX:-1.008 GY:-0.840 GZ:0.580 | T:24.95 C
I (535355) mpu6050 stream: AX:-0.086 AY:0.089 AZ:-0.960 | GX:-1.115 GY:-0.763 GZ:0.672 | T:24.95 C
I (535365) mpu6050 stream: AX:-0.077 AY:0.095 AZ:-0.958 | GX:-0.550 GY:-0.733 GZ:0.870 | T:24.95 C
I (535375) mpu6050 stream: AX:-0.073 AY:0.092 AZ:-0.954 | GX:0.076 GY:-0.382 GZ:1.053 | T:24.86 C
I (535385) mpu6050 stream: AX:-0.077 AY:0.093 AZ:-0.964 | GX:0.733 GY:-0.305 GZ:1.221 | T:25.05 C
I (535395) mpu6050 stream: AX:-0.069 AY:0.087 AZ:-0.958 | GX:0.901 GY:0.000 GZ:1.344 | T:25.05 C
I (535405) mpu6050 stream: AX:-0.076 AY:0.088 AZ:-0.957 | GX:0.611 GY:-0.168 GZ:1.389 | T:24.95 C
I (535415) mpu6050 stream: AX:-0.076 AY:0.080 AZ:-0.961 | GX:0.275 GY:-0.092 GZ:1.420 | T:24.95 C
I (535425) mpu6050 stream: AX:-0.072 AY:0.089 AZ:-0.958 | GX:-0.061 GY:0.000 GZ:1.695 | T:24.95 C
I (535435) mpu6050 stream: AX:-0.079 AY:0.077 AZ:-0.960 | GX:-0.015 GY:0.122 GZ:1.878 | T:24.95 C
I (535445) mpu6050 stream: AX:-0.075 AY:0.085 AZ:-0.960 | GX:-0.046 GY:0.290 GZ:2.046 | T:24.95 C
I (535455) mpu6050 stream: AX:-0.070 AY:0.083 AZ:-0.954 | GX:1.634 GY:0.595 GZ:1.985 | T:24.95 C
I (535465) mpu6050 stream: AX:-0.074 AY:0.082 AZ:-0.959 | GX:0.107 GY:0.626 GZ:2.443 | T:24.86 C
I (535475) mpu6050 stream: AX:-0.068 AY:0.085 AZ:-0.957 | GX:0.076 GY:0.718 GZ:1.969 | T:25.05 C
I (535485) mpu6050 stream: AX:-0.069 AY:0.077 AZ:-0.957 | GX:0.168 GY:0.321 GZ:1.954 | T:24.95 C
I (535495) mpu6050 stream: AX:-0.072 AY:0.083 AZ:-0.954 | GX:0.382 GY:0.092 GZ:2.046 | T:25.00 C
I (535505) mpu6050 stream: AX:-0.070 AY:0.081 AZ:-0.955 | GX:0.137 GY:0.229 GZ:1.802 | T:24.91 C
I (535515) mpu6050 stream: AX:-0.076 AY:0.083 AZ:-0.953 | GX:-0.672 GY:0.015 GZ:1.817 | T:25.00 C
I (535525) mpu6050 stream: AX:-0.073 AY:0.087 AZ:-0.952 | GX:0.015 GY:0.290 GZ:1.588 | T:24.91 C
I (535535) mpu6050 stream: AX:-0.071 AY:0.080 AZ:-0.974 | GX:0.092 GY:0.458 GZ:1.603 | T:25.00 C
I (535545) mpu6050 stream: AX:-0.076 AY:0.086 AZ:-0.951 | GX:0.137 GY:0.336 GZ:1.344 | T:24.91 C
