I (540975) mpu6050 stream: AX:-0.097 AY:0.085 AZ:-0.960 | GX:2.214 GY:0.290 GZ:1.115 | T:25.00 C
I (540985) mpu6050 stream: AX:-0.093 AY:0.083 AZ:-0.973 | GX:1.160 GY:1.038 GZ:1.252 | T:25.00 C
I (540995) mpu6050 stream: AX:-0.088 AY:0.089 AZ:-0.974 | GX:0.718 GY:1.374 GZ:1.725 | T:25.00 C
I (541005) mpu6050 stream: AX:-0.083 AY:0.088 AZ:-0.961 | GX:0.473 GY:1.450 GZ:1.695 | T:25.00 C
I (541015) mpu6050 stream: AX:-0.089 AY:0.092 AZ:-0.958 | GX:0.427 GY:0.840 GZ:2.107 | T:24.91 C
I (541025) mpu6050 stream: AX:-0.083 AY:0.087 AZ:-0.934 | GX:1.481 GY:0.763 GZ:2.779 | T:25.00 C
I (541035) mpu6050 stream: AX:-0.079 AY:0.086 AZ:-0.952 | GX:2.260 GY:-0.870 GZ:3.237 | T:25.00 C
I (541045) mpu6050 stream: AX:-0.090 AY:0.080 AZ:-0.956 | GX:1.389 GY:-0.840 GZ:3.664 | T:25.00 C
I (541055) mpu6050 stream: AX:-0.093 AY:0.076 AZ:-0.962 | GX:-0.565 GY:-0.244 GZ:3.893 | T:25.00 C
I (541065) mpu6050 stream: AX:-0.094 AY:0.074 AZ:-0.966 | GX:-2.443 GY:-0.198 GZ:4.183 | T:24.91 C
I (541075) mpu6050 stream: AX:-0.095 AY:0.079 AZ:-0.965 | GX:-3.603 GY:0.183 GZ:4.214 | T:24.91 C
I (541085) mpu6050 stream: AX:-0.097 AY:0.086 AZ:-0.963 | GX:-3.878 GY:1.557 GZ:4.153 | T:25.00 C
I (541095) mpu6050 stream: AX:-0.087 AY:0.088 AZ:-0.940 | GX:-3.313 GY:1.878 GZ:4.290 | T:25.00 C
I (541105) mpu6050 stream: AX:-0.085 AY:0.093 AZ:-0.940 | GX:-2.565 GY:2.015 GZ:4.031 | T:25.00 C
I (541115) mpu6050 stream: AX:-0.083 AY:0.092 AZ:-0.931 | GX:-2.000 GY:1.389 GZ:3.832 | T:25.00 C
I (541125) mpu6050 stream: AX:-0.074 AY:0.082 AZ:-0.934 | GX:-1.863 GY:0.885 GZ:3.603 | T:25.00 C
I (541135) mpu6050 stream: AX:-0.085 AY:0.077 AZ:-0.930 | GX:-2.092 GY:-0.046 GZ:3.267 | T:25.00 C
I (541145) mpu6050 stream: AX:-0.079 AY:0.072 AZ:-0.933 | GX:-2.641 GY:-0.718 GZ:2.382 | T:25.09 C
I (541155) mpu6050 stream: AX:-0.087 AY:0.073 AZ:-0.953 | GX:-3.344 GY:-0.977 GZ:1.496 | T:25.00 C
I (541165) mpu6050 stream: AX:-0.091 AY:0.082 AZ:-0.965 | GX:-4.351 GY:-0.992 GZ:0.611 | T:25.00 C
