I (546985) mpu6050 stream: AX:-0.040 AY:0.098 AZ:-0.954 | GX:-0.870 GY:-1.145 GZ:0.779 | T:25.05 C
I (546995) mpu6050 stream: AX:-0.040 AY:0.098 AZ:-0.948 | GX:-0.351 GY:-1.130 GZ:0.992 | T:24.95 C
I (547005) mpu6050 stream: AX:-0.040 AY:0.102 AZ:-0.957 | GX:-0.015 GY:-1.145 GZ:1.298 | T:25.05 C
I (547015) mpu6050 stream: AX:-0.040 AY:0.099 AZ:-0.963 | GX:0.290 GY:-0.656 GZ:1.496 | T:24.95 C
I (547025) mpu6050 stream: AX:-0.039 AY:0.090 AZ:-0.954 | GX:0.473 GY:-0.992 GZ:1.557 | T:24.95 C
I (547035) mpu6050 stream: AX:-0.039 AY:0.088 AZ:-0.957 | GX:0.534 GY:-1.053 GZ:1.557 | T:24.95 C
I (547045) mpu6050 stream: AX:-0.040 AY:0.086 AZ:-0.963 | GX:0.443 GY:-1.099 GZ:1.740 | T:25.05 C
I (547055) mpu6050 stream: AX:-0.039 AY:0.088 AZ:-0.963 | GX:0.122 GY:-1.008 GZ:1.924 | T:24.95 C
I (547065) mpu6050 stream: AX:-0.034 AY:0.086 AZ:-0.957 | GX:-0.168 GY:-1.359 GZ:1.939 | T:24.95 C
I (547075) mpu6050 stream: AX:-0.037 AY:0.086 AZ:-0.960 | GX:-0.458 GY:-1.328 GZ:2.122 | T:24.95 C
I (547085) mpu6050 stream: AX:-0.038 AY:0.087 AZ:-0.951 | GX:-0.137 GY:-1.466 GZ:2.000 | T:24.95 C
I (547095) mpu6050 stream: AX:-0.038 AY:0.087 AZ:-0.962 | GX:-0.198 GY:-1.252 GZ:2.183 | T:25.05 C
I (547105) mpu6050 stream: AX:-0.039 AY:0.087 AZ:-0.958 | GX:-0.366 GY:-0.992 GZ:2.122 | T:25.05 C
I (547115) mpu6050 stream: AX:-0.034 AY:0.089 AZ:-0.956 | GX:0.000 GY:-0.534 GZ:2.015 | T:25.05 C
I (547125) mpu6050 stream: AX:-0.037 AY:0.083 AZ:-0.958 | GX:0.183 GY:-0.458 GZ:2.153 | T:24.95 C
I (547135) mpu6050 stream: AX:-0.035 AY:0.086 AZ:-0.965 | GX:-0.321 GY:-0.718 GZ:1.985 | T:24.95 C
I (547145) mpu6050 stream: AX:-0.036 AY:0.090 AZ:-0.959 | GX:-0.183 GY:-0.931 GZ:1.817 | T:24.95 C
I (547155) mpu6050 stream: AX:-0.037 AY:0.094 AZ:-0.966 | GX:-0.137 GY:-0.779 GZ:1.756 | T:24.95 C
I (547165) mpu6050 stream: AX:-0.040 AY:0.085 AZ:-0.969 | GX:-0.198 GY:-0.824 GZ:1.786 | T:25.05 C
I (547175) mpu6050 stream: AX:-0.034 AY:0.091 AZ:-0.955 | GX:0.061 GY:-0.626 GZ:1.771 | T:24.95 C
I (547185) mpu6050 stream: AX:-0.043 AY:0.088 AZ:-0.947 | GX:0.076 GY:-0.458 GZ:1.649 | T:25.05 C
I (547195) mpu6050 stream: AX:-0.041 AY:0.088 AZ:-0.962 | GX:0.443 GY:-0.550 GZ:1.756 | T:25.00 C
I (547205) mpu6050 stream: AX:-0.035 AY:0.082 AZ:-0.951 | GX:0.275 GY:-0.427 GZ:1.740 | T:25.00 C
I (547215) mpu6050 stream: AX:-0.037 AY:0.088 AZ:-0.944 | GX:0.382 GY:-0.733 GZ:1.649 | T:24.91 C
I (547225) mpu6050 stream: AX:-0.031 AY:0.084 AZ:-0.948 | GX:0.183 GY:-1.084 GZ:1.405 | T:24.91 C
I (547235) mpu6050 stream: AX:-0.035 AY:0.082 AZ:-0.949 | GX:-0.061 GY:-1.328 GZ:1.527 | T:25.00 C
I (547245) mpu6050 stream: AX:-0.033 AY:0.085 AZ:-0.953 | GX:-0.351 GY:-1.481 GZ:1.405 | T:25.00 C
I (547255) mpu6050 stream: AX:-0.039 AY:0.090 AZ:-0.949 | GX:-0.244 GY:-1.817 GZ:1.435 | T:25.00 C
I (547265) mpu6050 stream: AX:-0.033 AY:0.088 AZ:-0.963 | GX:0.092 GY:-2.198 GZ:1.450 | T:25.00 C
I (547275) mpu6050 stream: AX:-0.044 AY:0.083 AZ:-0.962 | GX:0.260 GY:-1.710 GZ:1.206 | T:24.91 C
I (547285) mpu6050 stream: AX:-0.040 AY:0.083 AZ:-0.956 | GX:0.275 GY:-1.130 GZ:1.099 | T:25.00 C
I (547295) mpu6050 stream: AX:-0.040 AY:0.084 AZ:-0.956 | GX:0.061 GY:-1.191 GZ:1.191 | T:25.09 C
I (547305) mpu6050 stream: AX:-0.035 AY:0.087 AZ:-0.965 | GX:-0.351 GY:-1.328 GZ:1.038 | T:24.91 C
I (547315) mpu6050 stream: AX:-0.040 AY:0.082 AZ:-0.962 | GX:-0.916 GY:-1.466 GZ:1.099 | T:24.91 C
I (547325) mpu6050 stream: AX:-0.044 AY:0.093 AZ:-0.961 | GX:-1.008 GY:-1.466 GZ:0.916 | T:24.91 C
I (547335) mpu6050 stream: AX:-0.036 AY:0.091 AZ:-0.964 | GX:-0.275 GY:-1.695 GZ:1.145 | T:25.00 C
I (547345) mpu6050 stream: AX:-0.038 AY:0.087 AZ:-0.958 | GX:0.855 GY:-1.847 GZ:1.313 | T:24.91 C
I (547355) mpu6050 stream: AX:-0.045 AY:0.087 AZ:-0.961 | GX:1.466 GY:-1.603 GZ:1.618 | T:24.91 C
I (547365) mpu6050 stream: AX:-0.049 AY:0.081 AZ:-0.951 | GX:1.282 GY:-1.634 GZ:1.527 | T:25.00 C
I (547375) mpu6050 stream: AX:-0.044 AY:0.075 AZ:-0.957 | GX:0.626 GY:-1.847 GZ:1.618 | T:24.91 C
