I (597105) mpu6050 stream: AX:-0.007 AY:0.107 AZ:-0.945 | GX:-0.672 GY:0.412 GZ:1.542 | T:25.00 C
I (597115) mpu6050 stream: AX:-0.007 AY:0.111 AZ:-0.950 | GX:-0.107 GY:0.580 GZ:1.695 | T:24.86 C
I (597125) mpu6050 stream: AX:-0.009 AY:0.108 AZ:-0.959 | GX:0.672 GY:0.840 GZ:1.924 | T:24.95 C
I (597135) mpu6050 stream: AX:-0.007 AY:0.106 AZ:-0.957 | GX:1.099 GY:0.901 GZ:1.695 | T:24.95 C
I (597145) mpu6050 stream: AX:-0.005 AY:0.104 AZ:-0.956 | GX:1.053 GY:1.084 GZ:1.664 | T:24.86 C
I (597155) mpu6050 stream: AX:-0.004 AY:0.100 AZ:-0.959 | GX:0.947 GY:1.374 GZ:1.450 | T:25.05 C
I (597165) mpu6050 stream: AX:0.003 AY:0.095 AZ:-0.955 | GX:0.718 GY:1.344 GZ:1.435 | T:24.95 C
I (597175) mpu6050 stream: AX:-0.009 AY:0.099 AZ:-0.955 | GX:0.458 GY:1.160 GZ:1.221 | T:24.86 C
I (597185) mpu6050 stream: AX:-0.012 AY:0.097 AZ:-0.953 | GX:0.290 GY:0.992 GZ:1.252 | T:24.95 C
I (597195) mpu6050 stream: AX:-0.007 AY:0.101 AZ:-0.964 | GX:0.473 GY:0.885 GZ:1.298 | T:24.86 C
I (597205) mpu6050 stream: AX:-0.009 AY:0.102 AZ:-0.951 | GX:0.916 GY:0.824 GZ:1.359 | T:24.95 C
I (597215) mpu6050 stream: AX:0.003 AY:0.098 AZ:-0.967 | GX:1.359 GY:0.901 GZ:1.603 | T:24.95 C
I (597225) mpu6050 stream: AX:0.005 AY:0.098 AZ:-0.962 | GX:0.458 GY:0.885 GZ:1.496 | T:24.95 C
I (597235) mpu6050 stream: AX:0.000 AY:0.095 AZ:-0.956 | GX:0.779 GY:0.840 GZ:1.527 | T:24.95 C
I (597245) mpu6050 stream: AX:-0.000 AY:0.101 AZ:-0.944 | GX:0.397 GY:0.733 GZ:1.450 | T:24.95 C
I (597255) mpu6050 stream: AX:-0.006 AY:0.099 AZ:-0.958 | GX:0.748 GY:0.672 GZ:1.557 | T:24.91 C
I (597265) mpu6050 stream: AX:-0.002 AY:0.093 AZ:-0.965 | GX:0.351 GY:0.611 GZ:1.603 | T:24.91 C
I (597275) mpu6050 stream: AX:-0.003 AY:0.094 AZ:-0.963 | GX:0.321 GY:0.580 GZ:1.756 | T:24.91 C
I (597285) mpu6050 stream: AX:-0.003 AY:0.095 AZ:-0.951 | GX:0.305 GY:0.626 GZ:1.695 | T:25.00 C
I (597295) mpu6050 stream: AX:0.001 AY:0.094 AZ:-0.962 | GX:-0.275 GY:0.550 GZ:1.710 | T:25.00 C
I (597305) mpu6050 stream: AX:-0.002 AY:0.095 AZ:-0.953 | GX:-0.321 GY:0.672 GZ:1.466 | T:25.00 C
I (597315) mpu6050 stream: AX:-0.002 AY:0.098 AZ:-0.962 | GX:-0.504 GY:0.321 GZ:1.298 | T:25.00 C
I (597325) mpu6050 stream: AX:0.002 AY:0.089 AZ:-0.957 | GX:-0.412 GY:0.214 GZ:0.931 | T:25.00 C
I (597335) mpu6050 stream: AX:0.002 AY:0.096 AZ:-0.951 | GX:-0.351 GY:0.244 GZ:0.748 | T:24.91 C
I (597345) mpu6050 stream: AX:0.001 AY:0.094 AZ:-0.960 | GX:-0.443 GY:-0.015 GZ:0.611 | T:25.00 C
I (597355) mpu6050 stream: AX:-0.005 AY:0.099 AZ:-0.960 | GX:-0.412 GY:-0.137 GZ:0.198 | T:24.91 C
I (597365) mpu6050 stream: AX:0.004 AY:0.101 AZ:-0.962 | GX:0.718 GY:-0.168 GZ:0.153 | T:25.00 C
I (597375) mpu6050 stream: AX:0.006 AY:0.093 AZ:-0.954 | GX:-0.702 GY:-0.473 GZ:0.260 | T:25.00 C
I (597385) mpu6050 stream: AX:-0.002 AY:0.099 AZ:-0.950 | GX:0.122 GY:-0.550 GZ:0.015 | T:24.91 C
I (597395) mpu6050 stream: AX:-0.001 AY:0.092 AZ:-0.952 | GX:-0.321 GY:-0.824 GZ:0.046 | T:24.91 C
I (597405) mpu6050 stream: AX:-0.003 AY:0.098 AZ:-0.956 | GX:0.046 GY:-0.397 GZ:0.168 | T:24.91 C
I (597415) mpu6050 stream: AX:-0.008 AY:0.095 AZ:-0.973 | GX:-0.107 GY:-0.351 GZ:0.076 | T:24.91 C
I (597425) mpu6050 stream: AX:-0.008 AY:0.103 AZ:-0.965 | GX:-0.534 GY:-0.183 GZ:0.473 | T:25.00 C
I (597435) mpu6050 stream: AX:-0.008 AY:0.103 AZ:-0.969 | GX:-0.321 GY:-0.336 GZ:0.702 | T:25.00 C
I (597445) mpu6050 stream: AX:-0.012 AY:0.104 AZ:-0.957 | GX:-0.748 GY:-0.321 GZ:0.702 | T:24.91 C
I (597455) mpu6050 stream: AX:-0.018 AY:0.106 AZ:-0.951 | GX:-0.397 GY:-0.107 GZ:0.901 | T:24.95 C
I (597465) mpu6050 stream: AX:-0.001 AY:0.101 AZ:-0.959 | GX:-0.244 GY:0.076 GZ:1.053 | T:24.95 C
I (597475) mpu6050 stream: AX:-0.004 AY:0.102 AZ:-0.958 | GX:0.092 GY:-0.015 GZ:1.298 | T:24.95 C
I (597485) mpu6050 stream: AX:-0.006 AY:0.102 AZ:-0.960 | GX:0.336 GY:-0.214 GZ:1.389 | T:24.95 C
I (597495) mpu6050 stream: AX:-0.006 AY:0.104 AZ:-0.953 | GX:0.198 GY:-0.458 GZ:1.313 | T:24.95 C
I (597505) mpu6050 stream: AX:-0.006 AY:0.102 AZ:-0.960 | GX:-0.061 GY:-0.443 GZ:1.466 | T:24.95 C
I (597515) mpu6050 stream: AX:-0.003 AY:0.096 AZ:-0.956 | GX:-0.198 GY:-0.427 GZ:1.435 | T:24.86 C
I (597525) mpu6050 stream: AX:-0.004 AY:0.101 AZ:-0.963 | GX:-0.321 GY:-0.336 GZ:1.573 | T:24.95 C
I (597535) mpu6050 stream: AX:-0.010 AY:0.101 AZ:-0.962 | GX:0.443 GY:-0.183 GZ:1.588 | T:24.95 C
I (597545) mpu6050 stream: AX:-0.012 AY:0.098 AZ:-0.960 | GX:-0.031 GY:0.534 GZ:1.756 | T:24.95 C
I (597555) mpu6050 stream: AX:-0.007 AY:0.091 AZ:-0.949 | GX:0.275 GY:0.611 GZ:1.557 | T:24.86 C
I (597565) mpu6050 stream: AX:-0.005 AY:0.087 AZ:-0.965 | GX:0.565 GY:0.733 GZ:1.237 | T:24.95 C
I (597575) mpu6050 stream: AX:-0.008 AY:0.094 AZ:-0.959 | GX:-0.046 GY:0.733 GZ:1.038 | T:24.95 C
I (597585) mpu6050 stream: AX:0.003 AY:0.093 AZ:-0.967 | GX:-0.565 GY:0.779 GZ:0.962 | T:24.95 C
I (597595) mpu6050 stream: AX:0.002 AY:0.094 AZ:-0.964 | GX:-2.031 GY:0.565 GZ:0.718 | T:24.95 C
I (597605) mpu6050 stream: AX:-0.001 AY:0.109 AZ:-0.966 | GX:-1.832 GY:0.748 GZ:0.397 | T:24.95 C
I (597615) mpu6050 stream: AX:0.001 AY:0.106 AZ:-0.950 | GX:-1.389 GY:0.351 GZ:0.595 | T:24.86 C
I (597625) mpu6050 stream: AX:-0.003 AY:0.115 AZ:-0.954 | GX:1.664 GY:0.397 GZ:0.321 | T:25.05 C
I (597635) mpu6050 stream: AX:-0.006 AY:0.099 AZ:-0.961 | GX:1.710 GY:-0.092 GZ:0.824 | T:25.00 C
I (597645) mpu6050 stream: AX:-0.008 AY:0.096 AZ:-0.959 | GX:1.847 GY:-0.153 GZ:0.763 | T:24.91 C
I (597655) mpu6050 stream: AX:-0.006 AY:0.092 AZ:-0.961 | GX:1.221 GY:-0.168 GZ:0.687 | T:24.91 C
I (597665) mpu6050 stream: AX:-0.011 AY:0.096 AZ:-0.968 | GX:-0.305 GY:-0.153 GZ:0.580 | T:24.91 C
I (597675) mpu6050 stream: AX:-0.008 AY:0.100 AZ:-0.951 | GX:-0.931 GY:-0.305 GZ:0.611 | T:25.00 C
I (597685) mpu6050 stream: AX:-0.004 AY:0.101 AZ:-0.962 | GX:-1.634 GY:-0.015 GZ:1.023 | T:24.91 C
I (597695) mpu6050 stream: AX:-0.008 AY:0.114 AZ:-0.956 | GX:-0.427 GY:0.366 GZ:1.420 | T:24.91 C
I (597705) mpu6050 stream: AX:-0.007 AY:0.106 AZ:-0.955 | GX:0.305 GY:0.580 GZ:1.695 | T:25.00 C
I (597715) mpu6050 stream: AX:-0.010 AY:0.099 AZ:-0.957 | GX:0.397 GY:0.473 GZ:1.634 | T:24.81 C
I (597725) mpu6050 stream: AX:-0.004 AY:0.095 AZ:-0.948 | GX:0.824 GY:0.626 GZ:1.740 | T:25.00 C
I (597735) mpu6050 stream: AX:-0.006 AY:0.090 AZ:-0.951 | GX:0.336 GY:0.260 GZ:1.588 | T:24.91 C
I (597745) mpu6050 stream: AX:-0.001 AY:0.093 AZ:-0.952 | GX:0.122 GY:-0.031 GZ:1.496 | T:25.00 C
I (597755) mpu6050 stream: AX:-0.006 AY:0.092 AZ:-0.958 | GX:-0.427 GY:-0.183 GZ:1.206 | T:24.91 C
I (597765) mpu6050 stream: AX:-0.001 AY:0.085 AZ:-0.955 | GX:-0.885 GY:-0.412 GZ:0.962 | T:24.91 C
I (597775) mpu6050 stream: AX:-0.001 AY:0.092 AZ:-0.948 | GX:-0.840 GY:-0.427 GZ:0.611 | T:24.91 C
I (597785) mpu6050 stream: AX:-0.005 AY:0.095 AZ:-0.958 | GX:-0.947 GY:-0.916 GZ:0.397 | T:24.91 C
I (597795) mpu6050 stream: AX:-0.007 AY:0.102 AZ:-0.968 | GX:-0.824 GY:-1.160 GZ:0.275 | T:24.86 C
I (597805) mpu6050 stream: AX:-0.015 AY:0.096 AZ:-0.960 | GX:-0.779 GY:-1.145 GZ:0.137 | T:24.86 C
I (597815) mpu6050 stream: AX:-0.011 AY:0.096 AZ:-0.971 | GX:-0.672 GY:-1.237 GZ:0.107 | T:24.95 C
I (597825) mpu6050 stream: AX:-0.012 AY:0.101 AZ:-0.979 | GX:-0.748 GY:-0.458 GZ:0.107 | T:24.95 C
I (597835) mpu6050 stream: AX:-0.014 AY:0.104 AZ:-0.972 | GX:-0.947 GY:0.229 GZ:0.290 | T:24.95 C
I (597845) mpu6050 stream: AX:-0.010 AY:0.103 AZ:-0.962 | GX:-0.840 GY:0.489 GZ:0.321 | T:24.95 C
I (597855) mpu6050 stream: AX:-0.013 AY:0.111 AZ:-0.944 | GX:-0.550 GY:0.366 GZ:0.565 | T:25.05 C
I (597865) mpu6050 stream: AX:-0.015 AY:0.115 AZ:-0.958 | GX:-0.290 GY:0.244 GZ:0.840 | T:24.86 C
I (597875) mpu6050 stream: AX:-0.005 AY:0.113 AZ:-0.962 | GX:0.122 GY:0.229 GZ:1.267 | T:24.86 C
I (597885) mpu6050 stream: AX:-0.011 AY:0.108 AZ:-0.966 | GX:0.443 GY:0.580 GZ:1.405 | T:24.95 C
I (597895) mpu6050 stream: AX:-0.012 AY:0.103 AZ:-0.958 | GX:0.504 GY:0.687 GZ:1.756 | T:24.86 C
I (597905) mpu6050 stream: AX:-0.008 AY:0.104 AZ:-0.969 | GX:0.260 GY:1.023 GZ:1.756 | T:24.95 C
I (597915) mpu6050 stream: AX:-0.007 AY:0.102 AZ:-0.956 | GX:-0.061 GY:1.053 GZ:1.847 | T:24.86 C
I (597925) mpu6050 stream: AX:-0.007 AY:0.105 AZ:-0.950 | GX:-0.260 GY:1.023 GZ:2.061 | T:24.95 C
I (597935) mpu6050 stream: AX:-0.002 AY:0.103 AZ:-0.960 | GX:-0.519 GY:0.672 GZ:1.924 | T:24.95 C
I (597945) mpu6050 stream: AX:-0.003 AY:0.112 AZ:-0.963 | GX:-0.183 GY:0.718 GZ:2.366 | T:24.95 C
I (597955) mpu6050 stream: AX:-0.006 AY:0.105 AZ:-0.962 | GX:0.275 GY:0.580 GZ:2.351 | T:24.86 C
I (597965) mpu6050 stream: AX:-0.008 AY:0.103 AZ:-0.961 | GX:0.809 GY:0.473 GZ:2.321 | T:24.91 C
I (597975) mpu6050 stream: AX:-0.005 AY:0.098 AZ:-0.965 | GX:0.992 GY:0.779 GZ:2.198 | T:24.91 C
I (597985) mpu6050 stream: AX:-0.000 AY:0.101 AZ:-0.960 | GX:0.992 GY:1.145 GZ:2.183 | T:25.00 C
I (597995) mpu6050 stream: AX:-0.003 AY:0.097 AZ:-0.968 | GX:0.916 GY:0.901 GZ:2.153 | T:24.91 C
I (598005) mpu6050 stream: AX:0.003 AY:0.098 AZ:-0.955 | GX:0.779 GY:0.550 GZ:1.878 | T:24.91 C
I (598015) mpu6050 stream: AX:-0.003 AY:0.092 AZ:-0.955 | GX:0.229 GY:0.580 GZ:1.863 | T:25.00 C
I (598025) mpu6050 stream: AX:-0.003 AY:0.104 AZ:-0.963 | GX:1.634 GY:0.565 GZ:1.496 | T:25.00 C
I (598035) mpu6050 stream: AX:-0.001 AY:0.092 AZ:-0.965 | GX:0.061 GY:0.427 GZ:1.679 | T:24.91 C
I (598045) mpu6050 stream: AX:-0.004 AY:0.099 AZ:-0.952 | GX:0.031 GY:0.321 GZ:1.496 | T:24.91 C
I (598055) mpu6050 stream: AX:-0.008 AY:0.100 AZ:-0.961 | GX:0.473 GY:0.107 GZ:1.496 | T:24.81 C
