I (627195) mpu6050 stream: AX:0.012 AY:0.108 AZ:-0.955 | GX:0.214 GY:-0.458 GZ:1.450 | T:25.00 C
I (627205) mpu6050 stream: AX:0.012 AY:0.111 AZ:-0.956 | GX:-0.214 GY:-0.931 GZ:1.588 | T:24.91 C
I (627215) mpu6050 stream: AX:0.010 AY:0.109 AZ:-0.950 | GX:-0.809 GY:-1.466 GZ:1.710 | T:24.91 C
I (627225) mpu6050 stream: AX:0.007 AY:0.108 AZ:-0.955 | GX:-0.534 GY:-1.344 GZ:1.939 | T:25.00 C
I (627235) mpu6050 stream: AX:0.008 AY:0.114 AZ:-0.961 | GX:0.092 GY:-1.115 GZ:2.153 | T:25.00 C
I (627245) mpu6050 stream: AX:0.005 AY:0.107 AZ:-0.955 | GX:0.702 GY:-0.809 GZ:2.397 | T:24.91 C
I (627255) mpu6050 stream: AX:0.003 AY:0.106 AZ:-0.959 | GX:0.702 GY:-0.595 GZ:2.366 | T:25.00 C
I (627265) mpu6050 stream: AX:0.004 AY:0.104 AZ:-0.959 | GX:0.626 GY:-0.687 GZ:2.473 | T:25.00 C
I (627275) mpu6050 stream: AX:0.006 AY:0.098 AZ:-0.966 | GX:0.351 GY:-0.244 GZ:2.076 | T:25.00 C
I (627285) mpu6050 stream: AX:0.010 AY:0.099 AZ:-0.960 | GX:0.046 GY:-0.321 GZ:2.000 | T:24.91 C
I (627295) mpu6050 stream: AX:0.010 AY:0.101 AZ:-0.959 | GX:-0.244 GY:-0.153 GZ:1.832 | T:25.00 C
I (627305) mpu6050 stream: AX:0.007 AY:0.102 AZ:-0.953 | GX:-0.183 GY:-0.550 GZ:1.588 | T:24.81 C
I (627315) mpu6050 stream: AX:0.011 AY:0.099 AZ:-0.955 | GX:0.061 GY:-0.473 GZ:1.450 | T:24.91 C
I (627325) mpu6050 stream: AX:0.010 AY:0.109 AZ:-0.955 | GX:1.130 GY:-0.382 GZ:1.389 | T:25.00 C
I (627335) mpu6050 stream: AX:0.010 AY:0.095 AZ:-0.963 | GX:-0.794 GY:-1.023 GZ:1.481 | T:24.91 C
I (627345) mpu6050 stream: AX:0.000 AY:0.095 AZ:-0.951 | GX:-0.611 GY:-1.221 GZ:1.282 | T:25.00 C
I (627355) mpu6050 stream: AX:0.010 AY:0.095 AZ:-0.954 | GX:0.198 GY:-0.824 GZ:1.237 | T:25.00 C
I (627365) mpu6050 stream: AX:0.004 AY:0.108 AZ:-0.960 | GX:0.305 GY:-0.427 GZ:1.374 | T:24.91 C
I (627375) mpu6050 stream: AX:-0.001 AY:0.102 AZ:-0.962 | GX:0.275 GY:-0.168 GZ:1.237 | T:25.00 C
I (627385) mpu6050 stream: AX:0.011 AY:0.096 AZ:-0.971 | GX:-1.099 GY:0.382 GZ:1.389 | T:25.00 C
I (627395) mpu6050 stream: AX:0.009 AY:0.101 AZ:-0.953 | GX:-0.916 GY:0.214 GZ:1.115 | T:25.00 C
I (627405) mpu6050 stream: AX:0.008 AY:0.100 AZ:-0.950 | GX:-0.611 GY:0.153 GZ:1.221 | T:25.00 C
I (627415) mpu6050 stream: AX:0.008 AY:0.106 AZ:-0.949 | GX:-0.809 GY:-0.198 GZ:0.931 | T:24.91 C
I (627425) mpu6050 stream: AX:0.008 AY:0.104 AZ:-0.951 | GX:-0.412 GY:-0.153 GZ:0.916 | T:24.91 C
I (627435) mpu6050 stream: AX:0.002 AY:0.098 AZ:-0.964 | GX:-0.305 GY:-0.244 GZ:0.656 | T:24.91 C
I (627445) mpu6050 stream: AX:0.005 AY:0.102 AZ:-0.964 | GX:-0.137 GY:-0.107 GZ:0.595 | T:25.00 C
I (627455) mpu6050 stream: AX:0.004 AY:0.100 AZ:-0.958 | GX:-0.260 GY:-0.427 GZ:0.443 | T:24.95 C
I (627465) mpu6050 stream: AX:0.004 AY:0.103 AZ:-0.959 | GX:-0.519 GY:-0.702 GZ:0.519 | T:24.86 C
I (627475) mpu6050 stream: AX:0.004 AY:0.107 AZ:-0.960 | GX:-0.366 GY:-0.305 GZ:0.321 | T:24.95 C
I (627485) mpu6050 stream: AX:0.002 AY:0.107 AZ:-0.968 | GX:-0.229 GY:-0.244 GZ:0.336 | T:25.05 C
