I (639215) mpu6050 stream: AX:0.007 AY:0.115 AZ:-0.949 | GX:-1.847 GY:-0.809 GZ:0.779 | T:25.05 C
I (639225) mpu6050 stream: AX:0.006 AY:0.109 AZ:-0.953 | GX:-0.885 GY:-1.313 GZ:1.053 | T:25.05 C
I (639235) mpu6050 stream: AX:0.002 AY:0.110 AZ:-0.953 | GX:-0.031 GY:-0.931 GZ:1.084 | T:25.05 C
I (639245) mpu6050 stream: AX:0.012 AY:0.108 AZ:-0.950 | GX:0.656 GY:-1.084 GZ:1.313 | T:24.95 C
I (639255) mpu6050 stream: AX:0.009 AY:0.104 AZ:-0.957 | GX:0.748 GY:-0.977 GZ:1.389 | T:24.95 C
I (639265) mpu6050 stream: AX:-0.000 AY:0.092 AZ:-0.964 | GX:0.351 GY:-1.191 GZ:1.206 | T:24.95 C
I (639275) mpu6050 stream: AX:0.004 AY:0.101 AZ:-0.963 | GX:-0.275 GY:-1.221 GZ:1.160 | T:25.05 C
I (639285) mpu6050 stream: AX:0.000 AY:0.101 AZ:-0.961 | GX:-0.901 GY:-0.992 GZ:1.023 | T:24.95 C
I (639295) mpu6050 stream: AX:0.006 AY:0.103 AZ:-0.962 | GX:-0.992 GY:-0.992 GZ:0.687 | T:24.95 C
I (639305) mpu6050 stream: AX:-0.005 AY:0.101 AZ:-0.957 | GX:-0.870 GY:-0.840 GZ:0.412 | T:25.05 C
I (639315) mpu6050 stream: AX:0.007 AY:0.107 AZ:-0.959 | GX:-0.504 GY:-1.023 GZ:0.534 | T:24.95 C
I (639325) mpu6050 stream: AX:0.005 AY:0.102 AZ:-0.963 | GX:-0.107 GY:-1.099 GZ:0.519 | T:25.05 C
I (639335) mpu6050 stream: AX:0.003 AY:0.104 AZ:-0.964 | GX:-0.015 GY:-0.733 GZ:0.534 | T:24.95 C
I (639345) mpu6050 stream: AX:-0.001 AY:0.104 AZ:-0.966 | GX:-0.305 GY:-0.718 GZ:0.290 | T:24.95 C
I (639355) mpu6050 stream: AX:0.003 AY:0.103 AZ:-0.972 | GX:-0.687 GY:-0.687 GZ:0.076 | T:25.05 C
I (639365) mpu6050 stream: AX:0.003 AY:0.107 AZ:-0.955 | GX:-0.534 GY:-0.855 GZ:0.214 | T:25.05 C
I (639375) mpu6050 stream: AX:0.001 AY:0.114 AZ:-0.952 | GX:0.107 GY:-1.435 GZ:0.244 | T:24.95 C
I (639385) mpu6050 stream: AX:-0.004 AY:0.118 AZ:-0.953 | GX:0.504 GY:-1.221 GZ:0.565 | T:25.05 C
I (639395) mpu6050 stream: AX:-0.002 AY:0.109 AZ:-0.969 | GX:0.626 GY:-1.130 GZ:0.840 | T:24.95 C
I (639405) mpu6050 stream: AX:-0.005 AY:0.110 AZ:-0.963 | GX:0.733 GY:-0.885 GZ:1.099 | T:24.86 C
I (639415) mpu6050 stream: AX:-0.002 AY:0.103 AZ:-0.958 | GX:0.153 GY:-0.962 GZ:1.328 | T:24.95 C
I (639425) mpu6050 stream: AX:0.003 AY:0.110 AZ:-0.959 | GX:-0.351 GY:-0.870 GZ:1.359 | T:24.95 C
I (639435) mpu6050 stream: AX:-0.005 AY:0.113 AZ:-0.963 | GX:-0.672 GY:-0.992 GZ:1.710 | T:25.05 C
I (639445) mpu6050 stream: AX:-0.002 AY:0.114 AZ:-0.958 | GX:-0.351 GY:-0.962 GZ:1.969 | T:24.95 C
I (639455) mpu6050 stream: AX:-0.004 AY:0.121 AZ:-0.952 | GX:-0.061 GY:-0.855 GZ:2.351 | T:24.86 C
I (639465) mpu6050 stream: AX:-0.006 AY:0.110 AZ:-0.956 | GX:0.611 GY:-0.916 GZ:2.336 | T:24.95 C
I (639475) mpu6050 stream: AX:-0.001 AY:0.110 AZ:-0.960 | GX:1.084 GY:-0.733 GZ:2.580 | T:24.95 C
I (639485) mpu6050 stream: AX:-0.009 AY:0.109 AZ:-0.953 | GX:1.466 GY:-1.069 GZ:2.626 | T:24.95 C
I (639495) mpu6050 stream: AX:-0.007 AY:0.103 AZ:-0.956 | GX:1.359 GY:-0.824 GZ:2.702 | T:25.05 C
I (639505) mpu6050 stream: AX:-0.012 AY:0.106 AZ:-0.972 | GX:0.977 GY:-1.206 GZ:2.565 | T:25.05 C
I (639515) mpu6050 stream: AX:-0.011 AY:0.098 AZ:-0.968 | GX:0.397 GY:-1.344 GZ:2.519 | T:24.95 C
I (639525) mpu6050 stream: AX:-0.010 AY:0.099 AZ:-0.959 | GX:0.305 GY:-0.962 GZ:2.626 | T:24.95 C
I (639535) mpu6050 stream: AX:-0.009 AY:0.099 AZ:-0.972 | GX:0.290 GY:-0.748 GZ:2.519 | T:24.95 C
I (639545) mpu6050 stream: AX:-0.010 AY:0.099 AZ:-0.969 | GX:0.321 GY:-0.611 GZ:2.321 | T:25.05 C
I (639555) mpu6050 stream: AX:-0.019 AY:0.100 AZ:-0.966 | GX:0.473 GY:-0.244 GZ:2.260 | T:24.95 C
I (639565) mpu6050 stream: AX:-0.010 AY:0.104 AZ:-0.961 | GX:0.550 GY:0.290 GZ:2.366 | T:24.95 C
I (639575) mpu6050 stream: AX:-0.015 AY:0.102 AZ:-0.956 | GX:0.412 GY:0.305 GZ:2.198 | T:25.05 C
