I (651255) mpu6050 stream: AX:0.042 AY:0.081 AZ:-0.966 | GX:0.061 GY:0.015 GZ:1.618 | T:24.95 C
I (651265) mpu6050 stream: AX:0.028 AY:0.080 AZ:-0.965 | GX:0.748 GY:-0.183 GZ:1.634 | T:25.05 C
I (651275) mpu6050 stream: AX:0.031 AY:0.079 AZ:-0.960 | GX:0.519 GY:-0.168 GZ:1.481 | T:24.95 C
I (651285) mpu6050 stream: AX:0.031 AY:0.089 AZ:-0.963 | GX:0.809 GY:0.031 GZ:2.061 | T:24.86 C
I (651295) mpu6050 stream: AX:0.034 AY:0.079 AZ:-0.968 | GX:0.641 GY:-0.198 GZ:2.000 | T:24.95 C
I (651305) mpu6050 stream: AX:0.030 AY:0.082 AZ:-0.965 | GX:0.137 GY:-0.244 GZ:2.397 | T:24.95 C
I (651315) mpu6050 stream: AX:0.031 AY:0.082 AZ:-0.959 | GX:0.305 GY:-0.397 GZ:2.183 | T:24.95 C
I (651325) mpu6050 stream: AX:0.033 AY:0.081 AZ:-0.959 | GX:0.198 GY:-0.443 GZ:2.443 | T:24.95 C
I (651335) mpu6050 stream: AX:0.031 AY:0.080 AZ:-0.964 | GX:-0.092 GY:-0.473 GZ:2.443 | T:24.95 C
I (651345) mpu6050 stream: AX:0.028 AY:0.081 AZ:-0.963 | GX:0.122 GY:-0.198 GZ:2.519 | T:25.05 C
I (651355) mpu6050 stream: AX:0.027 AY:0.077 AZ:-0.969 | GX:0.504 GY:0.061 GZ:2.489 | T:24.95 C
I (651365) mpu6050 stream: AX:0.028 AY:0.081 AZ:-0.970 | GX:0.763 GY:0.290 GZ:2.489 | T:25.05 C
I (651375) mpu6050 stream: AX:0.024 AY:0.074 AZ:-0.965 | GX:0.824 GY:0.763 GZ:2.458 | T:25.00 C
I (651385) mpu6050 stream: AX:0.032 AY:0.071 AZ:-0.957 | GX:0.840 GY:0.641 GZ:2.443 | T:24.81 C
I (651395) mpu6050 stream: AX:0.027 AY:0.076 AZ:-0.963 | GX:0.702 GY:1.038 GZ:2.290 | T:24.91 C
I (651405) mpu6050 stream: AX:0.022 AY:0.070 AZ:-0.957 | GX:0.260 GY:0.672 GZ:2.076 | T:24.91 C
I (651415) mpu6050 stream: AX:0.033 AY:0.070 AZ:-0.955 | GX:0.046 GY:0.687 GZ:1.878 | T:24.91 C
I (651425) mpu6050 stream: AX:0.033 AY:0.069 AZ:-0.959 | GX:0.000 GY:0.458 GZ:1.725 | T:25.00 C
I (651435) mpu6050 stream: AX:0.030 AY:0.075 AZ:-0.951 | GX:0.092 GY:0.458 GZ:1.664 | T:25.00 C
I (651445) mpu6050 stream: AX:0.031 AY:0.077 AZ:-0.955 | GX:0.260 GY:0.290 GZ:1.405 | T:25.00 C
